make_model_tank,panel_year,n_total,n_tx,n_ctl,has_both
Single-Walled|Diesel-Only|1k-5k|1985,1986,2045,249,1796,1
Single-Walled|Diesel-Only|1k-5k|1985,1987,2037,247,1790,1
Single-Walled|Diesel-Only|1k-5k|1985,1988,2021,246,1775,1
Single-Walled|Diesel-Only|1k-5k|1985,1989,1969,237,1732,1
Single-Walled|Gasoline-Only|1k-5k|1991,1992,1268,91,1177,1
Single-Walled|Gasoline-Only|1k-5k|1991,1993,1260,91,1169,1
Single-Walled|Gasoline-Only|1k-5k|1991,1994,1256,91,1165,1
Single-Walled|Gasoline-Only|1k-5k|1991,1995,1238,87,1151,1
Single-Walled|Gasoline-Only|1k-5k|1991,1996,1225,86,1139,1
Single-Walled|Gasoline-Only|1k-5k|1991,1997,1209,81,1128,1
Single-Walled|Gasoline-Only|1k-5k|1991,1998,1185,81,1104,1
Single-Walled|Gasoline-Only|1k-5k|1991,1999,1146,76,1070,1
Single-Walled|Gasoline-Only|1k-5k|1991,2000,1121,70,1051,1
Single-Walled|Gasoline-Only|1k-5k|1991,2001,1107,69,1038,1
Single-Walled|Gasoline-Only|1k-5k|1991,2002,1080,64,1016,1
Single-Walled|Gasoline-Only|1k-5k|1991,2003,1054,60,994,1
Single-Walled|Gasoline-Only|1k-5k|1991,2004,1034,60,974,1
Single-Walled|Gasoline-Only|1k-5k|1991,2005,1006,58,948,1
Single-Walled|Gasoline-Only|1k-5k|1991,2006,975,52,923,1
Single-Walled|Gasoline-Only|1k-5k|1991,2007,924,51,873,1
Single-Walled|Gasoline-Only|1k-5k|1991,2008,894,47,847,1
Single-Walled|Gasoline-Only|1k-5k|1991,2009,855,46,809,1
Single-Walled|Gasoline-Only|1k-5k|1991,2010,830,44,786,1
Single-Walled|Gasoline-Only|1k-5k|1991,2011,801,43,758,1
Single-Walled|Gasoline-Only|1k-5k|1991,2012,779,40,739,1
Single-Walled|Gasoline-Only|1k-5k|1991,2013,767,40,727,1
Single-Walled|Gasoline-Only|1k-5k|1991,2014,754,40,714,1
Single-Walled|Gasoline-Only|1k-5k|1991,2015,742,40,702,1
Single-Walled|Gasoline-Only|1k-5k|1991,2016,733,40,693,1
Single-Walled|Gasoline-Only|1k-5k|1991,2017,719,40,679,1
Single-Walled|Gasoline-Only|1k-5k|1991,2018,690,40,650,1
Single-Walled|Gasoline-Only|1k-5k|1991,2019,683,40,643,1
Single-Walled|Gasoline-Only|1k-5k|1991,2020,670,40,630,1
Single-Walled|Gasoline-Only|1k-5k|1956,1985,2985,522,2463,1
Single-Walled|Gasoline-Only|1k-5k|1956,1986,2960,519,2441,1
Single-Walled|Gasoline-Only|1k-5k|1956,1987,2851,513,2338,1
Single-Walled|Gasoline-Only|1k-5k|1956,1988,2726,493,2233,1
Single-Walled|Gasoline-Only|1k-5k|1956,1989,2490,470,2020,1
Single-Walled|Gasoline-Only|Under-1k|1956,1985,824,150,674,1
Single-Walled|Gasoline-Only|Under-1k|1956,1986,808,146,662,1
Single-Walled|Gasoline-Only|Under-1k|1956,1987,796,143,653,1
Single-Walled|Gasoline-Only|Under-1k|1956,1988,767,131,636,1
Single-Walled|Gasoline-Only|Under-1k|1956,1989,706,127,579,1
Single-Walled|Gasoline-Only|1k-5k|1976,1985,10695,2064,8631,1
Single-Walled|Gasoline-Only|1k-5k|1976,1986,10626,2048,8578,1
Single-Walled|Gasoline-Only|1k-5k|1976,1987,10419,2021,8398,1
Single-Walled|Gasoline-Only|1k-5k|1976,1988,10117,1938,8179,1
Single-Walled|Gasoline-Only|1k-5k|1976,1989,9377,1839,7538,1
Single-Walled|Diesel-Only|1k-5k|1991,1992,695,65,630,1
Single-Walled|Diesel-Only|1k-5k|1991,1993,693,65,628,1
Single-Walled|Diesel-Only|1k-5k|1991,1994,689,65,624,1
Single-Walled|Diesel-Only|1k-5k|1991,1995,685,65,620,1
Single-Walled|Diesel-Only|1k-5k|1991,1996,680,64,616,1
Single-Walled|Diesel-Only|1k-5k|1991,1997,678,63,615,1
Single-Walled|Diesel-Only|1k-5k|1991,1998,666,63,603,1
Single-Walled|Diesel-Only|1k-5k|1991,1999,647,62,585,1
Single-Walled|Diesel-Only|1k-5k|1991,2000,634,55,579,1
Single-Walled|Diesel-Only|1k-5k|1991,2001,622,51,571,1
Single-Walled|Diesel-Only|1k-5k|1991,2002,615,50,565,1
Single-Walled|Diesel-Only|1k-5k|1991,2003,604,49,555,1
Single-Walled|Diesel-Only|1k-5k|1991,2004,593,49,544,1
Single-Walled|Diesel-Only|1k-5k|1991,2005,585,48,537,1
Single-Walled|Diesel-Only|1k-5k|1991,2006,574,45,529,1
Single-Walled|Diesel-Only|1k-5k|1991,2007,566,44,522,1
Single-Walled|Diesel-Only|1k-5k|1991,2008,556,42,514,1
Single-Walled|Diesel-Only|1k-5k|1991,2009,548,42,506,1
Single-Walled|Diesel-Only|1k-5k|1991,2010,536,42,494,1
Single-Walled|Diesel-Only|1k-5k|1991,2011,520,40,480,1
