mm_wall,mm_fuel,mm_capacity,cohort,group,n,group_total,share
Double-Walled,Diesel-Only,12k-25k,1985,Texas,168,912746,0.000184059968490686
Double-Walled,Diesel-Only,12k-25k,1985,Control States,198,3811999,0.000051941251820895
Double-Walled,Diesel-Only,12k-25k,1986,Texas,318,912746,0.000348399226071656
Double-Walled,Diesel-Only,12k-25k,1986,Control States,537,3811999,0.000140870970847579
Double-Walled,Diesel-Only,12k-25k,1987,Texas,401,912746,0.00043933361526646
Double-Walled,Diesel-Only,12k-25k,1987,Control States,955,3811999,0.000250524724691691
Double-Walled,Diesel-Only,12k-25k,1988,Texas,434,912746,0.000475488251934273
Double-Walled,Diesel-Only,12k-25k,1988,Control States,1579,3811999,0.000414218366793905
Double-Walled,Diesel-Only,12k-25k,1989,Texas,489,912746,0.000535745979713962
Double-Walled,Diesel-Only,12k-25k,1989,Control States,3424,3811999,0.000898216395124973
Double-Walled,Diesel-Only,12k-25k,1990,Texas,853,912746,0.000934542578110449
Double-Walled,Diesel-Only,12k-25k,1990,Control States,3970,3811999,0.00104144833196441
Double-Walled,Diesel-Only,12k-25k,1991,Texas,532,912746,0.000582856566887173
Double-Walled,Diesel-Only,12k-25k,1991,Control States,4273,3811999,0.00112093418702366
Double-Walled,Diesel-Only,12k-25k,1992,Texas,851,912746,0.00093235138800937
Double-Walled,Diesel-Only,12k-25k,1992,Control States,4140,3811999,0.00108604435625508
Double-Walled,Diesel-Only,12k-25k,1993,Texas,670,912746,0.000734048683861666
Double-Walled,Diesel-Only,12k-25k,1993,Control States,3308,3811999,0.000867786166785458
Double-Walled,Diesel-Only,12k-25k,1994,Texas,704,912746,0.000771298915580019
Double-Walled,Diesel-Only,12k-25k,1994,Control States,4254,3811999,0.00111594992548529
Double-Walled,Diesel-Only,12k-25k,1995,Texas,928,912746,0.00101671220690093
Double-Walled,Diesel-Only,12k-25k,1995,Control States,4246,3811999,0.00111385128904808
Double-Walled,Diesel-Only,12k-25k,1996,Texas,1200,912746,0.00131471406064776
Double-Walled,Diesel-Only,12k-25k,1996,Control States,4200,3811999,0.00110178412953414
Double-Walled,Diesel-Only,12k-25k,1997,Texas,1200,912746,0.00131471406064776
Double-Walled,Diesel-Only,12k-25k,1997,Control States,3738,3811999,0.000980587875285382
Double-Walled,Diesel-Only,1k-5k,1985,Texas,236,912746,0.000258560431927393
Double-Walled,Diesel-Only,1k-5k,1985,Control States,737,3811999,0.000193336881777776
Double-Walled,Diesel-Only,1k-5k,1986,Texas,265,912746,0.000290332688393047
Double-Walled,Diesel-Only,1k-5k,1986,Control States,1390,3811999,0.000364638080964869
Double-Walled,Diesel-Only,1k-5k,1987,Texas,458,912746,0.000501782533147228
Double-Walled,Diesel-Only,1k-5k,1987,Control States,1914,3811999,0.000502098767601985
Double-Walled,Diesel-Only,1k-5k,1988,Texas,361,912746,0.000395509813244868
Double-Walled,Diesel-Only,1k-5k,1988,Control States,3223,3811999,0.000845488154640125
Double-Walled,Diesel-Only,1k-5k,1989,Texas,255,912746,0.000279376737887649
Double-Walled,Diesel-Only,1k-5k,1989,Control States,4565,3811999,0.00119753441698175
Double-Walled,Diesel-Only,1k-5k,1990,Texas,253,912746,0.000277185547786569
Double-Walled,Diesel-Only,1k-5k,1990,Control States,7456,3811999,0.00195592915947774
Double-Walled,Diesel-Only,1k-5k,1991,Texas,401,912746,0.00043933361526646
Double-Walled,Diesel-Only,1k-5k,1991,Control States,6465,3811999,0.00169596057081862
Double-Walled,Diesel-Only,1k-5k,1992,Texas,195,912746,0.000213641034855261
Double-Walled,Diesel-Only,1k-5k,1992,Control States,5691,3811999,0.00149291749551876
Double-Walled,Diesel-Only,1k-5k,1993,Texas,257,912746,0.000281567927988729
Double-Walled,Diesel-Only,1k-5k,1993,Control States,5359,3811999,0.00140582408337463
Double-Walled,Diesel-Only,1k-5k,1994,Texas,90,912746,0.000098603554548582
Double-Walled,Diesel-Only,1k-5k,1994,Control States,5077,3811999,0.00133184714896305
Double-Walled,Diesel-Only,1k-5k,1995,Texas,121,912746,0.000132567001115316
Double-Walled,Diesel-Only,1k-5k,1995,Control States,3815,3811999,0.00100078725099351
Double-Walled,Diesel-Only,1k-5k,1996,Texas,209,912746,0.000228979365562818
