scalar,value
n_fy_full,3573549
n_fac_full,224380
n_fy_reform,2605863
n_fac_reform,105245
n_tx_reform,18914
n_ctl_reform,86331
n_cells_reform,53
n_fy_es,2605863
panel_start,1990
panel_end,2018
post_year,1999
t1_any_closure_beta,0.0129630216963081
t1_any_closure_se,0.00465994363288375
t1_any_closure_p,0.0127855636642825
t2_exit_beta,0.0126804800639415
t2_exit_se,0.00459761860396363
t2_exit_p,0.0134391061457918
t2_upgrade_beta,0.00113834425292791
t2_upgrade_se,0.00084713485004574
t2_upgrade_p,0.19668845335038
t2_shrink_beta,0.0116940510703954
t2_shrink_se,0.00444803820920131
t2_shrink_p,0.0175897950031415
lust_total_beta,-0.011309555851993
lust_total_se,0.00328937547864102
lust_total_p,0.00313722487934356
lust_back_beta,-0.00665053920093986
lust_back_se,0.00250695479927594
lust_back_p,0.0167416708651027
hd_any_closure_bd_rm,0.3
hd_any_closure_bd_sd,0.0003
hd_exit_bd_rm,0.1
hd_exit_bd_sd,0.0001
hd_lust_back_bd_rm,0
hd_lust_back_bd_sd,0.0002
