make_model_fac,n_tx,n_ctl,n_total,has_both,share_of_sample
All-SW_Mixed-Or-Other_20yr-Plus,3485,6797,10282,1,10.4
All-SW_Gasoline-Only_20yr-Plus,1957,6141,8098,1,8.19
All-SW_Mixed-Or-Other_15-19yr,2942,4423,7365,1,7.45
All-SW_Mixed-Or-Other_12-14yr,1917,4158,6075,1,6.14
All-SW_Mixed-Or-Other_9-11yr,1570,4189,5759,1,5.82
All-SW_Gasoline-Only_15-19yr,1222,3564,4786,1,4.84
All-SW_Mixed-Or-Other_6-8yr,904,3041,3945,1,3.99
All-SW_Gasoline-Only_9-11yr,711,2619,3330,1,3.37
All-SW_Gasoline-Only_12-14yr,668,2541,3209,1,3.25
Unknown-Wall_Mixed-Or-Other_20yr-Plus,229,2786,3015,1,3.05
All-SW_Mixed-Or-Other_3-5yr,773,1971,2744,1,2.77
Unknown-Wall_Gasoline-Only_20yr-Plus,86,2557,2643,1,2.67
All-SW_Mixed-Or-Other_0-2yr,688,1647,2335,1,2.36
All-SW_Gasoline-Only_6-8yr,338,1982,2320,1,2.35
All-SW_Gasoline-Only_3-5yr,368,1503,1871,1,1.89
All-DW_Mixed-Or-Other_6-8yr,311,1400,1711,1,1.73
Unknown-Wall_Mixed-Or-Other_15-19yr,107,1557,1664,1,1.68
Unknown-Wall_Mixed-Or-Other_9-11yr,303,1338,1641,1,1.66
All-SW_Gasoline-Only_0-2yr,298,1170,1468,1,1.48
All-DW_Mixed-Or-Other_0-2yr,327,1017,1344,1,1.36
All-DW_Mixed-Or-Other_3-5yr,303,1032,1335,1,1.35
Unknown-Wall_Mixed-Or-Other_12-14yr,52,1234,1286,1,1.3
Unknown-Wall_Gasoline-Only_15-19yr,53,1186,1239,1,1.25
All-DW_Gasoline-Only_6-8yr,122,915,1037,1,1.05
All-SW_Diesel-Only_20yr-Plus,182,827,1009,1,1.02
All-DW_Gasoline-Only_0-2yr,191,793,984,1,1
Unknown-Wall_Gasoline-Only_9-11yr,107,843,950,1,0.96
All-DW_Mixed-Or-Other_9-11yr,253,651,904,1,0.91
Unknown-Wall_Mixed-Or-Other_6-8yr,9,895,904,1,0.91
All-SW_Diesel-Only_15-19yr,186,707,893,1,0.9
All-DW_Gasoline-Only_3-5yr,162,712,874,1,0.88
Unknown-Wall_Mixed-Or-Other_3-5yr,5,810,815,1,0.82
All-SW_Diesel-Only_9-11yr,77,666,743,1,0.75
All-SW_Diesel-Only_12-14yr,97,633,730,1,0.74
Unknown-Wall_Gasoline-Only_12-14yr,13,695,708,1,0.72
All-DW_Diesel-Only_6-8yr,56,604,660,1,0.67
All-SW_Diesel-Only_6-8yr,41,562,603,1,0.61
Unknown-Wall_Mixed-Or-Other_0-2yr,4,553,557,1,0.56
