panel_id,n_tanks,n_sw,n_dw,n_closed,n_closed_sw,n_closed_dw,any_closed,has_both_types
ID1-050006_ID,3,3,0,0,0,0,0,0
ID1-090047_ID,2,2,0,0,0,0,0,0
ID1-090062_ID,4,4,0,0,0,0,0,0
ID1-090065_ID,4,4,0,0,0,0,0,0
ID1-090073_ID,1,1,0,1,1,0,1,0
ID1-090083_ID,2,2,0,0,0,0,0,0
ID1-090105_ID,1,1,0,0,0,0,0,0
ID1-090111_ID,6,6,0,3,3,0,1,0
ID1-090115_ID,2,2,0,0,0,0,0,0
ID1-090606_ID,1,1,0,0,0,0,0,0
ID1-090610_ID,3,1,2,0,0,0,0,1
ID1-090620_ID,1,1,0,0,0,0,0,0
ID1-110003_ID,1,1,0,1,1,0,1,0
ID1-110005_ID,4,4,0,0,0,0,0,0
ID1-110022_ID,4,4,0,0,0,0,0,0
ID1-110600_ID,3,3,0,0,0,0,0,0
ID1-110606_ID,8,6,2,0,0,0,0,1
ID1-110611_ID,1,1,0,1,1,0,1,0
ID1-110612_ID,4,4,0,2,2,0,1,0
ID1-110619_ID,3,3,0,0,0,0,0,0
ID1-110624_ID,3,3,0,0,0,0,0,0
ID1-280079_ID,3,3,0,0,0,0,0,0
ID1-280148_ID,1,1,0,0,0,0,0,0
ID1-280600_ID,1,1,0,1,1,0,1,0
ID1-280604_ID,1,1,0,1,1,0,1,0
ID1-280615_ID,2,2,0,0,0,0,0,0
ID1-280629_ID,2,2,0,2,2,0,1,0
ID1-280688_ID,2,2,0,0,0,0,0,0
ID1-280706_ID,3,1,2,0,0,0,0,1
ID1-280708_ID,2,2,0,0,0,0,0,0
ID1-280727_ID,1,1,0,1,1,0,1,0
ID1-400021_ID,3,3,0,0,0,0,0,0
ID1-400035_ID,5,5,0,0,0,0,0,0
ID1-400044_ID,1,1,0,0,0,0,0,0
ID1-400060_ID,2,2,0,2,2,0,1,0
ID1-400607_ID,3,3,0,0,0,0,0,0
ID1-400617_ID,2,2,0,2,2,0,1,0
ID2-180056_ID,2,2,0,0,0,0,0,0
ID2-180600_ID,5,5,0,0,0,0,0,0
ID2-250086_ID,3,3,0,0,0,0,0,0
ID2-250087_ID,3,3,0,0,0,0,0,0
ID2-250609_ID,3,3,0,3,3,0,1,0
ID2-250616_ID,3,3,0,0,0,0,0,0
ID2-250621_ID,1,1,0,1,1,0,1,0
ID2-250623_ID,2,2,0,0,0,0,0,0
ID2-250629_ID,1,1,0,1,1,0,1,0
ID2-290026_ID,3,3,0,0,0,0,0,0
ID2-290038_ID,3,3,0,3,3,0,1,0
ID2-290046_ID,2,2,0,0,0,0,0,0
ID2-290098_ID,4,4,0,0,0,0,0,0
ID2-290609_ID,3,3,0,0,0,0,0,0
ID2-290613_ID,2,2,0,0,0,0,0,0
ID2-290632_ID,3,3,0,0,0,0,0,0
ID2-350034_ID,4,4,0,1,1,0,1,0
ID2-350035_ID,2,2,0,0,0,0,0,0
ID2-350038_ID,5,5,0,0,0,0,0,0
ID2-350044_ID,3,3,0,3,3,0,1,0
ID2-350046_ID,3,3,0,0,0,0,0,0
ID2-350060_ID,1,1,0,0,0,0,0,0
ID2-350070_ID,3,3,0,0,0,0,0,0
ID2-350601_ID,3,3,0,0,0,0,0,0
ID2-350619_ID,2,2,0,0,0,0,0,0
ID3-010105_ID,3,3,0,0,0,0,0,0
ID3-010113_ID,2,2,0,0,0,0,0,0
ID3-010136_ID,2,2,0,2,2,0,1,0
ID3-010139_ID,4,4,0,0,0,0,0,0
ID3-010148_ID,2,2,0,0,0,0,0,0
ID3-010171_ID,1,1,0,1,1,0,1,0
ID3-010183_ID,2,2,0,0,0,0,0,0
ID3-010198_ID,2,2,0,0,0,0,0,0
ID3-010207_ID,1,1,0,1,1,0,1,0
ID3-010225_ID,3,3,0,3,3,0,1,0
ID3-010272_ID,2,2,0,0,0,0,0,0
ID3-010317_ID,2,2,0,0,0,0,0,0
ID3-010321_ID,2,2,0,2,2,0,1,0
ID3-010339_ID,3,3,0,0,0,0,0,0
ID3-010396_ID,5,5,0,0,0,0,0,0
ID3-010475_ID,4,4,0,0,0,0,0,0
ID3-010488_ID,2,2,0,2,2,0,1,0
ID3-010491_ID,3,3,0,0,0,0,0,0
ID3-010505_ID,5,5,0,0,0,0,0,0
ID3-010515_ID,4,4,0,0,0,0,0,0
ID3-010600_ID,4,4,0,0,0,0,0,0
ID3-010627_ID,2,2,0,0,0,0,0,0
ID3-010640_ID,1,1,0,0,0,0,0,0
ID3-010654_ID,1,1,0,0,0,0,0,0
ID3-010673_ID,1,1,0,0,0,0,0,0
ID3-010676_ID,2,2,0,0,0,0,0,0
ID3-010681_ID,3,1,2,0,0,0,0,1
ID3-010706_ID,1,1,0,0,0,0,0,0
ID3-010716_ID,3,3,0,3,3,0,1,0
ID3-010727_ID,1,1,0,1,1,0,1,0
ID3-010732_ID,2,2,0,0,0,0,0,0
ID3-010744_ID,3,3,0,0,0,0,0,0
ID3-010759_ID,2,2,0,0,0,0,0,0
ID3-010762_ID,1,1,0,0,0,0,0,0
ID3-010780_ID,2,2,0,2,2,0,1,0
ID3-010792_ID,3,3,0,3,3,0,1,0
ID3-010793_ID,3,3,0,0,0,0,0,0
ID3-010805_ID,2,2,0,2,2,0,1,0
ID3-010886_ID,2,2,0,2,2,0,1,0
ID3-010903_ID,1,1,0,1,1,0,1,0
ID3-020025_ID,4,4,0,0,0,0,0,0
ID3-080015_ID,3,3,0,0,0,0,0,0
ID3-140046_ID,1,1,0,1,1,0,1,0
ID3-140066_ID,3,3,0,0,0,0,0,0
ID3-140093_ID,3,3,0,0,0,0,0,0
ID3-140101_ID,3,3,0,0,0,0,0,0
ID3-140107_ID,2,2,0,2,2,0,1,0
ID3-140131_ID,2,2,0,2,2,0,1,0
ID3-140133_ID,1,1,0,0,0,0,0,0
ID3-140146_ID,3,3,0,0,0,0,0,0
ID3-140150_ID,3,3,0,0,0,0,0,0
ID3-140223_ID,4,4,0,0,0,0,0,0
ID3-140240_ID,3,3,0,3,3,0,1,0
ID3-140602_ID,4,4,0,0,0,0,0,0
ID3-140607_ID,2,2,0,2,2,0,1,0
ID3-140609_ID,2,2,0,0,0,0,0,0
ID3-140611_ID,3,3,0,0,0,0,0,0
ID3-140630_ID,1,1,0,0,0,0,0,0
ID3-140639_ID,2,2,0,2,2,0,1,0
ID3-140642_ID,1,1,0,1,1,0,1,0
ID3-140648_ID,1,1,0,0,0,0,0,0
ID3-140649_ID,2,2,0,2,2,0,1,0
ID3-140666_ID,2,2,0,0,0,0,0,0
ID3-140667_ID,3,3,0,0,0,0,0,0
ID3-140678_ID,3,3,0,0,0,0,0,0
ID3-200025_ID,2,2,0,0,0,0,0,0
ID3-200033_ID,1,1,0,1,1,0,1,0
ID3-200060_ID,2,2,0,2,2,0,1,0
ID3-200067_ID,3,3,0,0,0,0,0,0
ID3-200068_ID,2,2,0,0,0,0,0,0
ID3-200617_ID,3,3,0,0,0,0,0,0
ID3-230003_ID,3,3,0,0,0,0,0,0
ID3-230023_ID,2,2,0,0,0,0,0,0
ID3-230602_ID,3,3,0,0,0,0,0,0
ID3-230605_ID,4,4,0,0,0,0,0,0
ID3-230606_ID,2,2,0,0,0,0,0,0
ID3-370022_ID,4,4,0,0,0,0,0,0
ID3-370027_ID,1,1,0,1,1,0,1,0
ID3-370609_ID,2,2,0,0,0,0,0,0
ID3-380004_ID,4,4,0,0,0,0,0,0
ID3-380024_ID,2,2,0,2,2,0,1,0
ID3-380047_ID,1,1,0,1,1,0,1,0
ID3-380050_ID,4,4,0,0,0,0,0,0
ID3-380611_ID,3,3,0,0,0,0,0,0
ID3-430001_ID,2,2,0,0,0,0,0,0
ID3-430011_ID,1,1,0,0,0,0,0,0
ID3-430024_ID,3,3,0,0,0,0,0,0
ID3-430049_ID,2,2,0,2,2,0,1,0
ID3-430064_ID,2,2,0,0,0,0,0,0
ID3-430614_ID,1,1,0,0,0,0,0,0
ID3-430617_ID,2,2,0,2,2,0,1,0
ID3-430623_ID,3,3,0,0,0,0,0,0
ID3-440040_ID,3,3,0,3,3,0,1,0
ID3-440605_ID,2,2,0,0,0,0,0,0
ID4-070006_ID,1,1,0,1,1,0,1,0
ID4-070022_ID,4,4,0,0,0,0,0,0
ID4-070039_ID,2,2,0,0,0,0,0,0
ID4-070062_ID,4,4,0,0,0,0,0,0
ID4-070609_ID,1,1,0,0,0,0,0,0
ID4-070640_ID,1,1,0,1,1,0,1,0
ID4-070643_ID,1,1,0,1,1,0,1,0
ID4-070645_ID,1,1,0,1,1,0,1,0
ID4-160036_ID,3,3,0,0,0,0,0,0
ID4-160065_ID,2,2,0,0,0,0,0,0
ID4-160080_ID,1,1,0,1,1,0,1,0
ID4-160091_ID,3,3,0,0,0,0,0,0
ID4-160122_ID,1,1,0,1,1,0,1,0
ID4-160126_ID,3,3,0,3,3,0,1,0
ID4-160614_ID,2,2,0,2,2,0,1,0
ID4-160639_ID,2,2,0,2,2,0,1,0
ID4-160646_ID,3,3,0,0,0,0,0,0
ID4-160648_ID,2,2,0,0,0,0,0,0
ID4-240018_ID,4,4,0,0,0,0,0,0
ID4-240604_ID,2,2,0,0,0,0,0,0
ID4-270012_ID,3,3,0,0,0,0,0,0
ID4-270025_ID,1,1,0,0,0,0,0,0
ID4-270030_ID,1,1,0,0,0,0,0,0
ID4-270035_ID,3,3,0,0,0,0,0,0
ID4-270041_ID,3,1,2,1,0,1,1,1
ID4-270071_ID,3,3,0,3,3,0,1,0
ID4-270608_ID,9,9,0,3,3,0,1,0
ID4-270613_ID,4,4,0,1,1,0,1,0
ID4-270628_ID,4,4,0,4,4,0,1,0
ID4-320006_ID,2,2,0,0,0,0,0,0
ID4-320010_ID,1,1,0,0,0,0,0,0
ID4-320614_ID,1,1,0,0,0,0,0,0
ID4-340006_ID,5,5,0,0,0,0,0,0
ID4-340008_ID,4,4,0,0,0,0,0,0
ID4-340066_ID,1,1,0,1,1,0,1,0
ID4-340630_ID,1,1,0,0,0,0,0,0
ID4-340631_ID,3,3,0,0,0,0,0,0
ID4-340632_ID,6,6,0,0,0,0,0,0
ID4-420006_ID,5,5,0,5,5,0,1,0
