mm_install_cohort,n_tanks,n_tx,n_ctl
222,1,1,0
1800,4,4,0
1889,1,0,1
1899,2996,0,2996
1900,95,0,95
1901,4,1,3
1902,15,0,15
1904,8,0,8
1905,9,0,9
1906,9,0,9
1907,5,0,5
1908,2,0,2
1909,17,0,17
1910,26,0,26
1911,8,0,8
1912,15,0,15
1913,3,0,3
1914,7,0,7
1915,10,0,10
1916,23,0,23
1917,10,0,10
1918,25,0,25
1919,14,0,14
1920,127,19,108
1921,33,1,32
1922,23,8,15
1923,25,1,24
1924,38,2,36
1925,52,4,48
1926,86,11,75
1927,42,3,39
1928,74,6,68
1929,41,7,34
1930,336,43,293
1931,122,15,107
1932,73,19,54
1933,66,6,60
1934,82,16,66
1935,159,18,141
1936,391,88,303
1937,165,12,153
1938,232,22,210
1939,197,39,158
1940,1061,130,931
1941,487,103,384
1942,402,79,323
1943,364,69,295
1944,250,30,220
1945,495,47,448
1946,1703,302,1401
1947,697,68,629
1948,700,125,575
1949,683,117,566
1950,2631,300,2331
1951,2145,382,1763
1952,1357,248,1109
1953,1673,258,1415
1954,1911,287,1624
1955,2415,440,1975
1956,7980,1674,6306
1957,2550,355,2195
1958,2835,424,2411
1959,3219,474,2745
1960,6026,893,5133
1961,11099,2293,8806
1962,4004,748,3256
1963,4808,853,3955
1964,9887,951,8936
1965,7699,1248,6451
1966,26369,5001,21368
1967,6966,1198,5768
1968,11570,2129,9441
1969,12324,1700,10624
1970,8848,2409,6439
1971,30336,5990,24346
1972,15380,2949,12431
1973,12800,2374,10426
1974,21505,4232,17273
1975,15942,2569,13373
1976,34363,7499,26864
1977,15495,3047,12448
1978,23909,4823,19086
1979,20866,4406,16460
1980,27107,4940,22167
1981,27106,5648,21458
1982,22387,5227,17160
1983,22895,5343,17552
1984,23682,5567,18115
1985,27584,6669,20915
1986,20326,3529,16797
1987,32581,16829,15752
1988,21540,3132,18408
1989,17374,2408,14966
1990,16983,2368,14615
1991,12407,1717,10690
1992,9258,1330,7928
1993,7998,1189,6809
1994,8664,1459,7205
1995,8336,1510,6826
1996,8299,1499,6800
1997,8821,1331,7490
1998,11708,1369,10339
1999,9103,1540,7563
2000,5351,1231,4120
2001,4703,1000,3703
2002,3597,708,2889
2003,3200,678,2522
2004,3043,653,2390
2005,3091,591,2500
2006,3344,602,2742
2007,2854,519,2335
2008,2636,600,2036
2009,1942,394,1548
2010,2111,486,1625
2011,2249,552,1697
2012,2645,791,1854
2013,2761,817,1944
2014,3009,833,2176
2015,3047,911,2136
2016,2899,862,2037
2017,2881,802,2079
2018,1931,736,1195
2019,1380,718,662
2020,1369,756,613
