tank_panel_id,panel_id
100195_TX_5,100195_TX
101919_TX_1,101919_TX
102330_TX_1,102330_TX
102448_TX_1,102448_TX
102639_TX_1,102639_TX
103098_TX_1,103098_TX
108416_TX_1,108416_TX
109325_TX_1,109325_TX
109378_TX_1,109378_TX
109412_TX_1,109412_TX
109657_TX_1,109657_TX
109657_TX_2,109657_TX
109657_TX_3,109657_TX
109658_TX_1,109658_TX
109658_TX_2,109658_TX
109658_TX_3,109658_TX
109658_TX_4,109658_TX
110749_TX_1,110749_TX
110749_TX_2,110749_TX
110766_TX_1,110766_TX
122599_TX_2,122599_TX
122599_TX_3,122599_TX
131051_TX_1,131051_TX
131051_TX_2,131051_TX
131051_TX_3,131051_TX
136283_TX_1,136283_TX
42704_TX_1,42704_TX
43253_TX_1,43253_TX
43253_TX_2,43253_TX
43253_TX_3,43253_TX
43253_TX_4,43253_TX
44091_TX_1,44091_TX
44091_TX_2,44091_TX
45317_TX_1,45317_TX
45317_TX_2,45317_TX
45317_TX_3,45317_TX
45317_TX_4,45317_TX
45323_TX_1,45323_TX
45323_TX_2,45323_TX
45323_TX_3,45323_TX
45323_TX_4,45323_TX
45623_TX_1,45623_TX
45624_TX_1,45624_TX
46106_TX_2,46106_TX
47370_TX_1,47370_TX
47370_TX_2,47370_TX
47391_TX_1,47391_TX
47393_TX_1,47393_TX
47395_TX_1,47395_TX
48811_TX_1,48811_TX
48842_TX_1,48842_TX
48842_TX_2,48842_TX
48842_TX_3,48842_TX
48842_TX_4,48842_TX
48852_TX_3,48852_TX
49078_TX_1,49078_TX
49078_TX_2,49078_TX
49934_TX_1,49934_TX
49934_TX_2,49934_TX
50149_TX_1,50149_TX
50149_TX_2,50149_TX
50149_TX_3,50149_TX
50188_TX_3,50188_TX
52716_TX_1,52716_TX
52716_TX_2,52716_TX
53723_TX_1,53723_TX
54674_TX_1,54674_TX
55562_TX_4,55562_TX
56456_TX_1,56456_TX
56456_TX_2,56456_TX
56456_TX_3,56456_TX
56456_TX_4,56456_TX
57980_TX_1A,57980_TX
57980_TX_2A,57980_TX
57980_TX_3,57980_TX
57980_TX_4,57980_TX
57980_TX_5,57980_TX
58112_TX_1,58112_TX
58112_TX_2,58112_TX
58370_TX_1,58370_TX
58370_TX_2,58370_TX
58370_TX_3,58370_TX
58370_TX_4,58370_TX
59877_TX_4,59877_TX
59980_TX_1,59980_TX
61391_TX_5,61391_TX
62007_TX_1,62007_TX
62021_TX_1,62021_TX
62894_TX_1,62894_TX
63093_TX_1,63093_TX
64130_TX_1,64130_TX
64137_TX_1,64137_TX
64137_TX_2,64137_TX
64137_TX_3,64137_TX
64253_TX_1,64253_TX
64253_TX_2,64253_TX
64566_TX_1,64566_TX
64566_TX_2,64566_TX
64644_TX_1,64644_TX
64644_TX_2,64644_TX
64711_TX_1,64711_TX
65330_TX_1,65330_TX
65330_TX_2,65330_TX
65330_TX_3,65330_TX
65330_TX_4,65330_TX
65370_TX_1,65370_TX
65370_TX_2,65370_TX
65370_TX_3,65370_TX
65370_TX_4,65370_TX
65815_TX_1,65815_TX
65815_TX_2,65815_TX
65815_TX_3,65815_TX
65940_TX_1,65940_TX
65941_TX_1,65941_TX
65941_TX_2,65941_TX
65941_TX_3,65941_TX
67520_TX_1,67520_TX
67520_TX_2,67520_TX
67520_TX_3,67520_TX
68399_TX_1,68399_TX
68399_TX_2,68399_TX
68399_TX_3,68399_TX
68522_TX_1,68522_TX
68549_TX_1,68549_TX
68549_TX_2,68549_TX
68549_TX_3,68549_TX
68780_TX_1,68780_TX
68780_TX_2,68780_TX
68780_TX_3,68780_TX
68875_TX_1,68875_TX
68875_TX_2,68875_TX
68885_TX_1,68885_TX
68885_TX_2,68885_TX
68885_TX_3,68885_TX
68885_TX_4,68885_TX
69397_TX_4,69397_TX
69805_TX_1,69805_TX
69805_TX_2,69805_TX
70407_TX_1,70407_TX
70407_TX_2,70407_TX
70407_TX_3,70407_TX
70727_TX_1,70727_TX
70727_TX_2,70727_TX
70727_TX_3,70727_TX
71764_TX_1,71764_TX
71764_TX_2,71764_TX
71764_TX_3,71764_TX
71764_TX_4,71764_TX
71865_TX_2,71865_TX
72226_TX_1,72226_TX
73266_TX_1,73266_TX
75604_TX_4,75604_TX
75991_TX_1,75991_TX
75991_TX_2,75991_TX
75991_TX_3,75991_TX
75991_TX_4,75991_TX
76902_TX_1,76902_TX
77612_TX_A,77612_TX
77612_TX_B,77612_TX
77612_TX_C,77612_TX
78540_TX_2,78540_TX
78671_TX_1,78671_TX
78671_TX_2,78671_TX
78768_TX_1,78768_TX
78768_TX_2,78768_TX
78768_TX_3,78768_TX
80615_TX_1,80615_TX
80615_TX_2,80615_TX
80616_TX_2,80616_TX
80759_TX_1,80759_TX
80759_TX_2,80759_TX
80759_TX_3,80759_TX
80759_TX_4,80759_TX
80759_TX_5,80759_TX
80759_TX_6,80759_TX
80759_TX_7,80759_TX
80942_TX_1,80942_TX
82890_TX_2,82890_TX
83284_TX_1,83284_TX
83284_TX_2,83284_TX
83866_TX_1,83866_TX
84606_TX_1,84606_TX
84606_TX_2,84606_TX
84638_TX_1,84638_TX
84638_TX_2,84638_TX
84638_TX_3,84638_TX
85009_TX_1,85009_TX
85009_TX_2,85009_TX
85407_TX_1,85407_TX
85407_TX_2,85407_TX
85407_TX_3,85407_TX
85878_TX_1,85878_TX
85878_TX_2,85878_TX
86251_TX_1,86251_TX
86295_TX_1,86295_TX
86295_TX_2,86295_TX
86295_TX_3,86295_TX
86662_TX_1,86662_TX
87552_TX_1,87552_TX
87552_TX_2,87552_TX
87552_TX_3,87552_TX
87552_TX_4,87552_TX
87700_TX_1,87700_TX
87700_TX_2,87700_TX
87700_TX_3,87700_TX
89975_TX_1,89975_TX
89975_TX_2,89975_TX
90106_TX_1,90106_TX
90106_TX_2,90106_TX
90109_TX_1,90109_TX
90472_TX_1,90472_TX
90490_TX_8,90490_TX
91239_TX_1,91239_TX
91239_TX_2,91239_TX
91640_TX_3,91640_TX
91746_TX_1,91746_TX
91746_TX_2,91746_TX
91762_TX_1,91762_TX
91762_TX_2,91762_TX
91795_TX_1REG,91795_TX
91795_TX_2UL,91795_TX
92780_TX_4,92780_TX
92952_TX_1,92952_TX
92952_TX_2,92952_TX
92952_TX_3,92952_TX
93181_TX_1,93181_TX
93279_TX_1,93279_TX
93279_TX_2,93279_TX
93279_TX_3,93279_TX
94245_TX_1,94245_TX
94423_TX_4,94423_TX
94610_TX_2,94610_TX
