make_model_tank,closure_rate_Control,closure_rate_Texas,n_Control,n_Texas,pre_gap
Unknown-Wall_Other-Fuel_Under-1k_1991,0.0108735048930772,1,2759,2,0.989126495106923
Unknown-Wall_Other-Fuel_Under-1k_1990,0.0114879649890591,1,3656,1,0.988512035010941
Double-Walled_Gasoline-Only_Under-1k_1990,0.0159045725646123,1,503,1,0.984095427435388
Single-Walled_Gasoline-Only_Under-1k_1996,0.13986013986014,1,286,1,0.86013986013986
Single-Walled_Gasoline-Only_Under-1k_1993,0.03486529318542,0.5,631,2,0.46513470681458
Single-Walled_Other-Fuel_Under-1k_1997,0.342995169082126,0,414,6,-0.342995169082126
Unknown-Wall_Other-Fuel_12k-25k_1989,0.00248344370860927,0.333333333333333,1208,9,0.330849889624724
Unknown-Wall_Gasoline-Only_25k-Plus_1989,0.00265957446808511,0.333333333333333,376,3,0.330673758865248
Unknown-Wall_Diesel-Only_Under-1k_1989,0.00587467362924282,0.333333333333333,1532,3,0.327458659704091
Single-Walled_Other-Fuel_25k-Plus_1992,0.272727272727273,0,11,7,-0.272727272727273
Unknown-Wall_Other-Fuel_1k-5k_1991,0.00362027353177796,0.25,7458,4,0.246379726468222
Unknown-Wall_Gasoline-Only_12k-25k_1989,0.0054945054945055,0.222222222222222,9464,9,0.216727716727717
Unknown-Wall_Diesel-Only_5k-12k_1989,0.00414801877524288,0.214285714285714,9161,14,0.210137695510471
Single-Walled_Gasoline-Only_Under-1k_1997,0.309352517985612,0.5,278,4,0.190647482014388
Unknown-Wall_Other-Fuel_5k-12k_1990,0.00171107308726473,0.181818181818182,8182,11,0.180107108730917
Unknown-Wall_Gasoline-Only_Under-1k_1989,0.0272536687631027,0.2,954,25,0.172746331236897
Unknown-Wall_Other-Fuel_5k-12k_1992,0.000847457627118644,0.166666666666667,3540,18,0.165819209039548
Single-Walled_Other-Fuel_Under-1k_1996,0.158767772511848,0,422,3,-0.158767772511848
Single-Walled_Gasoline-Only_25k-Plus_1997,0.142857142857143,0,14,6,-0.142857142857143
Unknown-Wall_Other-Fuel_1k-5k_1992,0.00240562546262028,0.142857142857143,5404,7,0.140451517394523
Single-Walled_Other-Fuel_Under-1k_1995,0.125541125541126,0,693,16,-0.125541125541126
Unknown-Wall_Other-Fuel_12k-25k_1990,0.00390243902439024,0.129032258064516,1025,31,0.125129819040126
Double-Walled_Diesel-Only_Under-1k_1990,0.0100222717149221,0.133333333333333,898,30,0.123311061618411
Single-Walled_Diesel-Only_Under-1k_1997,0.120300751879699,0,133,2,-0.120300751879699
Double-Walled_Motor-Fuel-Mixed_1k-5k_1991,0.0105263157894737,0.125,95,8,0.114473684210526
Single-Walled_Gasoline-Only_25k-Plus_1991,0.114285714285714,0,35,16,-0.114285714285714
Single-Walled_Diesel-Only_Under-1k_1994,0.0163934426229508,0.125,366,8,0.108606557377049
Double-Walled_Diesel-Only_Under-1k_1989,0.00169779286926995,0.10958904109589,589,73,0.10789124822662
Double-Walled_Diesel-Only_Under-1k_1992,0.00957854406130268,0.111111111111111,522,9,0.101532567049808
Single-Walled_Diesel-Only_25k-Plus_1990,0.0240384615384615,0.125,208,8,0.100961538461538
Unknown-Wall_Gasoline-Only_1k-5k_1991,0.0105263157894737,0.111111111111111,4275,9,0.100584795321637
Unknown-Wall_Other-Fuel_Under-1k_1989,0.0155502392344498,0.114285714285714,5016,70,0.0987354750512645
Double-Walled_Motor-Fuel-Mixed_5k-12k_1997,0.0985915492957746,0,71,8,-0.0985915492957746
Single-Walled_Gasoline-Only_25k-Plus_1995,0.0967741935483871,0,31,12,-0.0967741935483871
Unknown-Wall_Gasoline-Only_1k-5k_1989,0.0112142982302436,0.10752688172043,11414,93,0.0963125834901865
Unknown-Wall_Gasoline-Only_5k-12k_1989,0.00372398200075366,0.0916030534351145,45113,131,0.0878790714343609
Unknown-Wall_Other-Fuel_1k-5k_1990,0.00358203739297571,0.0909090909090909,11446,22,0.0873270535161152
Unknown-Wall_Diesel-Only_1k-5k_1989,0.0076530612244898,0.0930232558139535,6664,43,0.0853701945894637
Single-Walled_Gasoline-Only_Under-1k_1991,0.0318181818181818,0.111111111111111,880,9,0.0792929292929293
Single-Walled_Other-Fuel_25k-Plus_1991,0.0779220779220779,0,77,32,-0.0779220779220779
Unknown-Wall_Other-Fuel_Under-1k_1993,0.00807265388496468,0.0833333333333333,991,12,0.0752606794483686
Double-Walled_Gasoline-Only_Under-1k_1989,0.00792393026941363,0.0813953488372093,631,86,0.0734714185677957
Double-Walled_Gasoline-Only_Under-1k_1992,0.00420168067226891,0.0769230769230769,238,13,0.072721396250808
Unknown-Wall_Other-Fuel_5k-12k_1989,0.00145348837209302,0.0735294117647059,8944,68,0.0720759233926129
Double-Walled_Diesel-Only_Under-1k_1991,0.0157232704402516,0.0869565217391304,636,23,0.0712332512988789
Single-Walled_Other-Fuel_1k-5k_1996,0.0692419825072886,0,1372,60,-0.0692419825072886
Single-Walled_Other-Fuel_Under-1k_1994,0.107940446650124,0.0392156862745098,806,51,-0.0687247603756143
Single-Walled_Other-Fuel_1k-5k_1995,0.0896516393442623,0.0223880597014925,1952,134,-0.0672635796427698
Single-Walled_Other-Fuel_5k-12k_1995,0.0684505289359054,0.00176991150442478,1607,565,-0.0666806174314806
Double-Walled_Motor-Fuel-Mixed_5k-12k_1995,0.0666666666666667,0,90,24,-0.0666666666666667
Double-Walled_Other-Fuel_Under-1k_1989,0.0144128868164476,0.0807453416149068,2359,161,0.0663324547984592
Single-Walled_Other-Fuel_Under-1k_1992,0.0261538461538462,0.0909090909090909,1950,22,0.0647552447552448
Unknown-Wall_Other-Fuel_1k-5k_1989,0.00437769806043655,0.0689655172413793,16447,116,0.0645878191809428
Double-Walled_Other-Fuel_Under-1k_1991,0.0169683257918552,0.079136690647482,1768,139,0.0621683648556268
Single-Walled_Gasoline-Only_1k-5k_1996,0.0609159626500667,0,2249,36,-0.0609159626500667
Single-Walled_Diesel-Only_Under-1k_1991,0.0129589632829374,0.0731707317073171,926,41,0.0602117684243797
Double-Walled_Diesel-Only_1k-5k_1995,0.00357909806728704,0.0625,1397,32,0.058920901932713
Double-Walled_Diesel-Only_1k-5k_1994,0.00198216055500496,0.0588235294117647,2018,34,0.0568413688567598
Double-Walled_Other-Fuel_Under-1k_1993,0.0134994807892004,0.0689655172413793,963,58,0.0554660364521789
Double-Walled_Diesel-Only_1k-5k_1991,0.00288259958071279,0.0569620253164557,3816,158,0.0540794257357429
Double-Walled_Motor-Fuel-Mixed_12k-25k_1997,0.0531914893617021,0,188,86,-0.0531914893617021
Single-Walled_Diesel-Only_25k-Plus_1989,0,0.0526315789473684,100,19,0.0526315789473684
Single-Walled_Diesel-Only_Under-1k_1989,0.0294252873563218,0.0813953488372093,2175,86,0.0519700614808875
Single-Walled_Other-Fuel_12k-25k_1993,0.051063829787234,0,705,324,-0.051063829787234
Single-Walled_Other-Fuel_12k-25k_1992,0.049469964664311,0,849,336,-0.049469964664311
Double-Walled_Other-Fuel_1k-5k_1991,0.0119344495903099,0.0606060606060606,5614,231,0.0486716110157507
Single-Walled_Gasoline-Only_1k-5k_1995,0.0599309695638532,0.107438016528926,3187,121,0.0475070469650725
Double-Walled_Other-Fuel_1k-5k_1990,0.0131813812989153,0.0598086124401914,7283,418,0.0466272311412761
Single-Walled_Other-Fuel_5k-12k_1994,0.0463414634146341,0,2050,815,-0.0463414634146341
Single-Walled_Other-Fuel_5k-12k_1997,0.0453972257250946,0,793,160,-0.0453972257250946
Single-Walled_Other-Fuel_Under-1k_1993,0.0399709302325581,0.0833333333333333,1376,24,0.0433624031007752
Double-Walled_Diesel-Only_1k-5k_1990,0.00566037735849057,0.0472972972972973,4770,148,0.0416369199388067
Single-Walled_Other-Fuel_1k-5k_1994,0.0567490879610863,0.0170940170940171,2467,234,-0.0396550708670692
Double-Walled_Diesel-Only_1k-5k_1989,0.00611280911364268,0.0454545454545455,3599,132,0.0393417363409028
Single-Walled_Other-Fuel_5k-12k_1993,0.0392484342379958,0,2395,876,-0.0392484342379958
Double-Walled_Other-Fuel_25k-Plus_1996,0.037037037037037,0,81,3,-0.037037037037037
Single-Walled_Other-Fuel_1k-5k_1997,0.100704934541793,0.0638297872340426,993,47,-0.03687514730775
