state,mm_install_cohort,panel_year,n_at_risk,n_closed,rate
AR,1990,1990,1139,15,0.0131694468832309
AR,1990,1991,1124,54,0.0480427046263345
AR,1990,1992,1070,24,0.0224299065420561
AR,1990,1993,1046,30,0.0286806883365201
AR,1990,1994,1016,20,0.0196850393700787
AR,1990,1995,996,19,0.0190763052208835
AR,1990,1996,977,33,0.0337768679631525
AR,1990,1997,944,31,0.0328389830508475
AR,1990,1998,913,61,0.0668127053669222
AR,1990,1999,852,44,0.0516431924882629
AR,1990,2000,808,13,0.0160891089108911
AR,1990,2001,795,29,0.0364779874213837
AR,1990,2002,766,16,0.02088772845953
AR,1990,2003,750,14,0.0186666666666667
AR,1990,2004,736,34,0.046195652173913
AR,1990,2005,702,7,0.00997150997150997
AR,1990,2006,695,18,0.0258992805755396
AR,1991,1991,908,58,0.0638766519823789
AR,1991,1992,850,22,0.0258823529411765
AR,1991,1993,828,4,0.00483091787439614
AR,1991,1994,824,27,0.0327669902912621
AR,1991,1995,797,16,0.0200752823086575
AR,1991,1996,781,15,0.0192061459667093
AR,1991,1997,766,16,0.02088772845953
AR,1991,1998,750,43,0.0573333333333333
AR,1991,1999,707,31,0.0438472418670438
AR,1991,2000,676,7,0.0103550295857988
AR,1991,2001,669,15,0.0224215246636771
AR,1991,2002,654,14,0.0214067278287462
AR,1991,2003,640,9,0.0140625
AR,1991,2004,631,9,0.0142630744849445
AR,1991,2005,622,7,0.0112540192926045
AR,1991,2006,615,21,0.0341463414634146
AR,1992,1992,316,3,0.00949367088607595
AR,1992,1993,313,2,0.00638977635782748
AR,1992,1994,311,1,0.00321543408360129
AR,1992,1995,310,0,0
AR,1992,1996,310,0,0
AR,1992,1997,310,2,0.00645161290322581
AR,1992,1998,308,4,0.012987012987013
AR,1992,1999,304,2,0.00657894736842105
AR,1992,2000,302,4,0.0132450331125828
AR,1992,2001,298,4,0.0134228187919463
AR,1992,2002,294,2,0.00680272108843537
AR,1992,2003,292,2,0.00684931506849315
AR,1992,2004,290,0,0
AR,1992,2005,290,2,0.00689655172413793
AR,1992,2006,288,2,0.00694444444444444
AR,1993,1993,277,3,0.0108303249097473
AR,1993,1994,274,3,0.0109489051094891
AR,1993,1995,271,0,0
AR,1993,1996,271,1,0.003690036900369
AR,1993,1997,270,0,0
AR,1993,1998,270,1,0.0037037037037037
AR,1993,1999,269,3,0.0111524163568773
AR,1993,2000,266,0,0
AR,1993,2001,266,5,0.018796992481203
AR,1993,2002,261,2,0.00766283524904215
AR,1993,2003,259,6,0.0231660231660232
AR,1993,2004,253,1,0.00395256916996047
AR,1993,2005,252,4,0.0158730158730159
AR,1993,2006,248,0,0
AR,1994,1994,305,4,0.0131147540983607
AR,1994,1995,301,1,0.00332225913621262
AR,1994,1996,300,1,0.00333333333333333
AR,1994,1997,299,1,0.00334448160535117
AR,1994,1998,298,2,0.00671140939597315
AR,1994,1999,296,1,0.00337837837837838
AR,1994,2000,295,1,0.00338983050847458
AR,1994,2001,294,1,0.00340136054421769
AR,1994,2002,293,3,0.0102389078498294
AR,1994,2003,290,6,0.0206896551724138
AR,1994,2004,284,0,0
AR,1994,2005,284,2,0.00704225352112676
AR,1994,2006,282,2,0.00709219858156028
AR,1995,1995,339,8,0.0235988200589971
AR,1995,1996,331,0,0
AR,1995,1997,331,2,0.00604229607250755
AR,1995,1998,329,2,0.0060790273556231
AR,1995,1999,327,2,0.00611620795107034
AR,1995,2000,325,4,0.0123076923076923
AR,1995,2001,321,3,0.00934579439252336
AR,1995,2002,318,7,0.0220125786163522
AR,1995,2003,311,8,0.0257234726688103
AR,1995,2004,303,0,0
AR,1995,2005,303,5,0.0165016501650165
AR,1995,2006,298,4,0.0134228187919463
AR,1996,1996,370,5,0.0135135135135135
AR,1996,1997,365,0,0
AR,1996,1998,365,6,0.0164383561643836
AR,1996,1999,359,1,0.00278551532033426
AR,1996,2000,358,1,0.00279329608938548
AR,1996,2001,357,4,0.0112044817927171
AR,1996,2002,353,4,0.0113314447592068
AR,1996,2003,349,3,0.00859598853868195
AR,1996,2004,346,3,0.00867052023121387
AR,1996,2005,343,8,0.0233236151603499
AR,1996,2006,335,0,0
AR,1997,1997,343,8,0.0233236151603499
AR,1997,1998,335,2,0.00597014925373134
AR,1997,1999,333,1,0.003003003003003
AR,1997,2000,332,3,0.00903614457831325
AR,1997,2001,329,0,0
AR,1997,2002,329,4,0.0121580547112462
AR,1997,2003,325,3,0.00923076923076923
AR,1997,2004,322,3,0.0093167701863354
AR,1997,2005,319,2,0.00626959247648903
AR,1997,2006,317,3,0.00946372239747634
CO,1990,1990,470,3,0.00638297872340426
CO,1990,1991,467,2,0.00428265524625268
CO,1990,1992,465,0,0
CO,1990,1993,465,4,0.00860215053763441
CO,1990,1994,461,3,0.00650759219088937
CO,1990,1995,458,4,0.00873362445414847
CO,1990,1996,454,6,0.013215859030837
CO,1990,1997,448,6,0.0133928571428571
CO,1990,1998,442,4,0.00904977375565611
