mm_install_cohort,state_group,n_tanks,exit_pre_reform,exit_post_reform,pct_exit_pre,pct_exit_post
1989,Control States,41336,4617,9200,0.111694406812464,0.222566286046062
1990,Control States,39419,2984,8640,0.0756995357568685,0.219183642405946
1991,Control States,27895,1602,5736,0.0574296468901237,0.205628248790106
1992,Control States,20804,847,3652,0.0407133243606999,0.175543164776005
1993,Control States,18485,618,2912,0.0334325128482553,0.157533134974303
1994,Control States,19456,779,2819,0.0400390625,0.144891036184211
1995,Control States,19430,869,2282,0.0447246525990736,0.117447246525991
1996,Control States,18928,549,1891,0.0290046491969569,0.0999049027895182
1997,Control States,20534,830,1880,0.0404207655595598,0.0915554689782799
1989,Texas,2486,327,867,0.131536604987932,0.34875301689461
1990,Texas,2379,222,800,0.0933165195460277,0.336275746111812
1991,Texas,1716,165,556,0.0961538461538462,0.324009324009324
1992,Texas,1332,73,421,0.0548048048048048,0.316066066066066
1993,Texas,1187,47,357,0.0395956192080876,0.300758213984836
1994,Texas,1459,28,365,0.0191912268677176,0.25017135023989
1995,Texas,1507,35,325,0.0232249502322495,0.215660252156603
1996,Texas,1496,5,298,0.00334224598930481,0.199197860962567
1997,Texas,1334,18,200,0.0134932533733133,0.149925037481259
