make_model_tank,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Double-Walled_Diesel-Only_12k-25k_1985,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.444444444444444,0.375,0.375,0.375,0.375,0.6,0.6,0.6,0.6,0.6,0.6
Double-Walled_Diesel-Only_12k-25k_1986,,0.424242424242424,0.424242424242424,0.424242424242424,0.424242424242424,0.424242424242424,0.424242424242424,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.344827586206897,0.357142857142857,0.357142857142857,0.357142857142857,0.4,0.375,0.375,0.375,0.409090909090909,0.277777777777778,0.277777777777778,0.277777777777778,0.277777777777778,0.277777777777778,0.277777777777778,0.294117647058824,0.3125,0.3125,0.3125,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
Double-Walled_Diesel-Only_12k-25k_1987,,,0.384615384615385,0.384615384615385,0.384615384615385,0.384615384615385,0.384615384615385,0.392156862745098,0.340909090909091,0.325581395348837,0.30952380952381,0.292682926829268,0.275,0.275,0.256410256410256,0.256410256410256,0.263157894736842,0.263157894736842,0.27027027027027,0.27027027027027,0.27027027027027,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.264705882352941,0.28125,0.28125
Double-Walled_Diesel-Only_12k-25k_1988,,,,0.225352112676056,0.228571428571429,0.228571428571429,0.228571428571429,0.228571428571429,0.228571428571429,0.231884057971015,0.235294117647059,0.235294117647059,0.223880597014925,0.223880597014925,0.222222222222222,0.222222222222222,0.209677419354839,0.213114754098361,0.213114754098361,0.216666666666667,0.216666666666667,0.203389830508475,0.203389830508475,0.189655172413793,0.196428571428571,0.196428571428571,0.2,0.2,0.2,0.2,0.203703703703704,0.203703703703704,0.203703703703704,0.215686274509804,0.215686274509804,0.215686274509804
Double-Walled_Diesel-Only_12k-25k_1989,,,,,0.147058823529412,0.150375939849624,0.150375939849624,0.150375939849624,0.150375939849624,0.150375939849624,0.143939393939394,0.124031007751938,0.124031007751938,0.124031007751938,0.125,0.119047619047619,0.12,0.12,0.12,0.12,0.112903225806452,0.113821138211382,0.113821138211382,0.108333333333333,0.109243697478992,0.109243697478992,0.109243697478992,0.111111111111111,0.11304347826087,0.115044247787611,0.117117117117117,0.119266055045872,0.119266055045872,0.12037037037037,0.121495327102804,0.12621359223301
Double-Walled_Diesel-Only_12k-25k_1990,,,,,,0.189655172413793,0.192982456140351,0.192982456140351,0.192982456140351,0.188235294117647,0.189349112426036,0.189349112426036,0.189349112426036,0.175757575757576,0.175757575757576,0.177914110429448,0.179012345679012,0.180124223602484,0.182389937106918,0.177215189873418,0.171974522292994,0.168831168831169,0.168831168831169,0.157894736842105,0.157894736842105,0.16,0.162162162162162,0.163265306122449,0.166666666666667,0.167832167832168,0.170212765957447,0.172661870503597,0.173913043478261,0.175182481751825,0.176470588235294,0.17910447761194
Double-Walled_Diesel-Only_12k-25k_1991,,,,,,,0.106741573033708,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111764705882353,0.111764705882353,0.111764705882353,0.112426035502959,0.112426035502959,0.113095238095238,0.102409638554217,0.103658536585366,0.103658536585366,0.103658536585366,0.104294478527607,0.105590062111801,0.105590062111801,0.106918238993711,0.10828025477707,0.108974358974359,0.108974358974359,0.111111111111111,0.113333333333333,0.114864864864865,0.118055555555556,0.118055555555556,0.120567375886525,0.122302158273381,0.124087591240876
Double-Walled_Diesel-Only_12k-25k_1992,,,,,,,,0.193877551020408,0.196891191709845,0.196891191709845,0.192708333333333,0.194736842105263,0.19047619047619,0.19047619047619,0.18716577540107,0.173913043478261,0.173913043478261,0.173913043478261,0.169398907103825,0.17032967032967,0.171270718232044,0.173184357541899,0.168539325842697,0.154761904761905,0.149700598802395,0.152439024390244,0.14375,0.144654088050314,0.147435897435897,0.149350649350649,0.150326797385621,0.152317880794702,0.156462585034014,0.156462585034014,0.163120567375887,0.164285714285714
Double-Walled_Diesel-Only_12k-25k_1993,,,,,,,,,0.188311688311688,0.19205298013245,0.19205298013245,0.19205298013245,0.19205298013245,0.19205298013245,0.19205298013245,0.19205298013245,0.186666666666667,0.186666666666667,0.186666666666667,0.171232876712329,0.172413793103448,0.15,0.151079136690647,0.151079136690647,0.151079136690647,0.145985401459854,0.145985401459854,0.145985401459854,0.148148148148148,0.149253731343284,0.149253731343284,0.150375939849624,0.150375939849624,0.153846153846154,0.153846153846154,0.155038759689923
Double-Walled_Diesel-Only_12k-25k_1994,,,,,,,,,,0.142857142857143,0.147368421052632,0.147368421052632,0.147368421052632,0.147368421052632,0.147368421052632,0.142857142857143,0.142857142857143,0.142857142857143,0.143617021276596,0.13903743315508,0.139784946236559,0.140540540540541,0.136612021857924,0.138121546961326,0.138121546961326,0.138121546961326,0.138888888888889,0.138888888888889,0.138888888888889,0.140449438202247,0.140449438202247,0.141242937853107,0.142045454545455,0.142857142857143,0.142857142857143,0.14367816091954
