make_model_tank,n_tx,n_ctl,n_total,has_both
Single-Walled_Gasoline-Only_5k-12k_1989,649,7513,8162,1
Single-Walled_Gasoline-Only_5k-12k_1990,553,6894,7447,1
Single-Walled_Gasoline-Only_5k-12k_1991,326,4165,4491,1
Unknown-Wall_Gasoline-Only_5k-12k_1989,9,4435,4444,1
Unknown-Wall_Gasoline-Only_5k-12k_1990,2,3440,3442,1
Single-Walled_Gasoline-Only_5k-12k_1992,306,2990,3296,1
Double-Walled_Gasoline-Only_5k-12k_1990,147,2824,2971,1
Single-Walled_Gasoline-Only_5k-12k_1994,326,2638,2964,1
Single-Walled_Gasoline-Only_5k-12k_1995,279,2550,2829,1
Single-Walled_Gasoline-Only_5k-12k_1993,258,2508,2766,1
Single-Walled_Gasoline-Only_1k-5k_1989,119,2518,2637,1
Single-Walled_Gasoline-Only_1k-5k_1990,102,2521,2623,1
Single-Walled_Gasoline-Only_5k-12k_1996,243,2290,2533,1
Double-Walled_Gasoline-Only_5k-12k_1991,128,2400,2528,1
Single-Walled_Gasoline-Only_5k-12k_1997,155,2248,2403,1
Double-Walled_Gasoline-Only_5k-12k_1989,182,2182,2364,1
Double-Walled_Gasoline-Only_12k-25k_1997,269,1859,2128,1
Double-Walled_Gasoline-Only_12k-25k_1996,205,1772,1977,1
Unknown-Wall_Gasoline-Only_5k-12k_1991,1,1924,1925,1
Single-Walled_Diesel-Only_5k-12k_1989,161,1702,1863,1
Single-Walled_Diesel-Only_5k-12k_1990,130,1725,1855,1
Double-Walled_Gasoline-Only_5k-12k_1992,71,1759,1830,1
Double-Walled_Gasoline-Only_5k-12k_1997,49,1732,1781,1
Double-Walled_Gasoline-Only_5k-12k_1996,88,1687,1775,1
Single-Walled_Gasoline-Only_1k-5k_1991,81,1659,1740,1
Double-Walled_Gasoline-Only_12k-25k_1995,154,1572,1726,1
Double-Walled_Gasoline-Only_5k-12k_1995,111,1592,1703,1
Single-Walled_Gasoline-Only_12k-25k_1997,258,1440,1698,1
Double-Walled_Gasoline-Only_5k-12k_1994,89,1600,1689,1
Single-Walled_Other-Fuel_5k-12k_1989,376,1284,1660,1
Unknown-Wall_Other-Fuel_1k-5k_1989,8,1613,1621,1
Double-Walled_Gasoline-Only_5k-12k_1993,56,1559,1615,1
Single-Walled_Other-Fuel_1k-5k_1989,122,1392,1514,1
Single-Walled_Gasoline-Only_12k-25k_1996,244,1250,1494,1
Single-Walled_Gasoline-Only_12k-25k_1995,218,1272,1490,1
Single-Walled_Gasoline-Only_12k-25k_1990,193,1284,1477,1
Single-Walled_Other-Fuel_5k-12k_1990,337,1135,1472,1
Unknown-Wall_Gasoline-Only_5k-12k_1996,0,1466,1466,0
Unknown-Wall_Gasoline-Only_5k-12k_1995,0,1449,1449,0
Double-Walled_Gasoline-Only_12k-25k_1994,116,1332,1448,1
Single-Walled_Gasoline-Only_12k-25k_1989,130,1275,1405,1
Unknown-Wall_Gasoline-Only_5k-12k_1992,1,1365,1366,1
Unknown-Wall_Gasoline-Only_5k-12k_1994,0,1349,1349,0
Single-Walled_Diesel-Only_1k-5k_1990,45,1303,1348,1
Single-Walled_Gasoline-Only_12k-25k_1991,141,1204,1345,1
Single-Walled_Diesel-Only_1k-5k_1989,55,1270,1325,1
Single-Walled_Other-Fuel_1k-5k_1990,121,1170,1291,1
Double-Walled_Gasoline-Only_12k-25k_1990,103,1169,1272,1
Single-Walled_Diesel-Only_5k-12k_1991,78,1193,1271,1
Single-Walled_Gasoline-Only_12k-25k_1994,164,1093,1257,1
Unknown-Wall_Other-Fuel_1k-5k_1990,2,1255,1257,1
Unknown-Wall_Gasoline-Only_5k-12k_1997,3,1245,1248,1
Unknown-Wall_Gasoline-Only_5k-12k_1993,0,1247,1247,0
Single-Walled_Gasoline-Only_1k-5k_1992,53,1173,1226,1
Double-Walled_Gasoline-Only_12k-25k_1989,59,1153,1212,1
Double-Walled_Other-Fuel_5k-12k_1990,88,1100,1188,1
Double-Walled_Gasoline-Only_12k-25k_1991,81,1069,1150,1
Single-Walled_Gasoline-Only_1k-5k_1993,32,1115,1147,1
Unknown-Wall_Gasoline-Only_1k-5k_1989,5,1092,1097,1
Unknown-Wall_Gasoline-Only_12k-25k_1990,0,1058,1058,0
Double-Walled_Gasoline-Only_12k-25k_1992,69,955,1024,1
Double-Walled_Gasoline-Only_12k-25k_1993,60,958,1018,1
Double-Walled_Other-Fuel_5k-12k_1991,66,929,995,1
Single-Walled_Gasoline-Only_12k-25k_1992,114,876,990,1
Single-Walled_Gasoline-Only_12k-25k_1993,122,821,943,1
Single-Walled_Diesel-Only_5k-12k_1992,65,874,939,1
Single-Walled_Diesel-Only_1k-5k_1991,63,871,934,1
Unknown-Wall_Gasoline-Only_12k-25k_1989,0,926,926,0
Unknown-Wall_Other-Fuel_1k-5k_1991,0,924,924,0
Single-Walled_Diesel-Only_5k-12k_1997,49,865,914,1
Unknown-Wall_Gasoline-Only_12k-25k_1991,0,913,913,0
Unknown-Wall_Gasoline-Only_12k-25k_1997,0,906,906,0
Unknown-Wall_Other-Fuel_5k-12k_1990,1,904,905,1
Single-Walled_Gasoline-Only_1k-5k_1994,35,869,904,1
Unknown-Wall_Diesel-Only_5k-12k_1989,0,896,896,0
Unknown-Wall_Other-Fuel_5k-12k_1989,3,887,890,1
Unknown-Wall_Gasoline-Only_1k-5k_1990,4,884,888,1
Unknown-Wall_Gasoline-Only_12k-25k_1996,0,857,857,0
Double-Walled_Diesel-Only_5k-12k_1990,37,811,848,1
Single-Walled_Diesel-Only_5k-12k_1995,88,744,832,1
Double-Walled_Other-Fuel_1k-5k_1990,34,768,802,1
Unknown-Wall_Gasoline-Only_12k-25k_1995,0,799,799,0
Single-Walled_Diesel-Only_5k-12k_1994,77,721,798,1
Single-Walled_Diesel-Only_5k-12k_1993,64,730,794,1
Unknown-Wall_Diesel-Only_5k-12k_1990,0,791,791,0
Single-Walled_Gasoline-Only_1k-5k_1997,17,767,784,1
Single-Walled_Gasoline-Only_1k-5k_1995,27,747,774,1
Unknown-Wall_Other-Fuel_1k-5k_1992,1,767,768,1
Double-Walled_Diesel-Only_5k-12k_1997,16,749,765,1
Unknown-Wall_Other-Fuel_5k-12k_1991,5,755,760,1
Double-Walled_Diesel-Only_5k-12k_1991,53,703,756,1
Unknown-Wall_Gasoline-Only_12k-25k_1994,0,755,755,0
Single-Walled_Diesel-Only_5k-12k_1996,69,681,750,1
Single-Walled_Other-Fuel_1k-5k_1991,77,668,745,1
Double-Walled_Diesel-Only_5k-12k_1989,40,694,734,1
Unknown-Wall_Other-Fuel_1k-5k_1993,1,725,726,1
Single-Walled_Other-Fuel_5k-12k_1991,194,529,723,1
Single-Walled_Gasoline-Only_1k-5k_1996,12,704,716,1
Single-Walled_Diesel-Only_1k-5k_1992,28,684,712,1
Unknown-Wall_Other-Fuel_1k-5k_1994,1,709,710,1
Double-Walled_Other-Fuel_1k-5k_1991,22,667,689,1
Double-Walled_Diesel-Only_5k-12k_1996,30,642,672,1
Double-Walled_Other-Fuel_5k-12k_1989,70,586,656,1
Unknown-Wall_Diesel-Only_1k-5k_1989,2,645,647,1
Unknown-Wall_Other-Fuel_1k-5k_1997,0,647,647,0
Single-Walled_Diesel-Only_1k-5k_1994,24,620,644,1
Double-Walled_Diesel-Only_5k-12k_1994,27,610,637,1
Single-Walled_Diesel-Only_1k-5k_1993,20,616,636,1
Double-Walled_Gasoline-Only_1k-5k_1990,23,612,635,1
Unknown-Wall_Gasoline-Only_12k-25k_1992,0,634,634,0
Single-Walled_Other-Fuel_1k-5k_1992,48,581,629,1
Single-Walled_Other-Fuel_Under-1k_1989,19,607,626,1
Double-Walled_Diesel-Only_5k-12k_1995,26,600,626,1
