vintage_cohort,wall_type_cell,tank_count_cell,actuarial_cell,n_TX,n_Control,has_both,tx_only,ctrl_only,sparse
Post-1988,Majority_SW,4plus_tanks,Post-1988 | Majority_SW | 4plus_tanks,4854,17990,TRUE,FALSE,FALSE,FALSE
Post-1988,Majority_SW,2-3_tanks,Post-1988 | Majority_SW | 2-3_tanks,2706,9232,TRUE,FALSE,FALSE,FALSE
1980-1984,Majority_SW,2-3_tanks,1980-1984 | Majority_SW | 2-3_tanks,2637,5071,TRUE,FALSE,FALSE,FALSE
1985-1988,Majority_SW,2-3_tanks,1985-1988 | Majority_SW | 2-3_tanks,2592,5335,TRUE,FALSE,FALSE,FALSE
1975-1979,Majority_SW,2-3_tanks,1975-1979 | Majority_SW | 2-3_tanks,1812,3424,TRUE,FALSE,FALSE,FALSE
1965-1974,Majority_SW,2-3_tanks,1965-1974 | Majority_SW | 2-3_tanks,1515,3235,TRUE,FALSE,FALSE,FALSE
1980-1984,Majority_SW,4plus_tanks,1980-1984 | Majority_SW | 4plus_tanks,1464,3302,TRUE,FALSE,FALSE,FALSE
1985-1988,Majority_SW,4plus_tanks,1985-1988 | Majority_SW | 4plus_tanks,1393,4223,TRUE,FALSE,FALSE,FALSE
Post-1988,Majority_DW,4plus_tanks,Post-1988 | Majority_DW | 4plus_tanks,1104,6080,TRUE,FALSE,FALSE,FALSE
Post-1988,Majority_DW,2-3_tanks,Post-1988 | Majority_DW | 2-3_tanks,1066,6110,TRUE,FALSE,FALSE,FALSE
Post-1988,Majority_SW,1_tank,Post-1988 | Majority_SW | 1_tank,799,3516,TRUE,FALSE,FALSE,FALSE
1965-1974,Majority_SW,4plus_tanks,1965-1974 | Majority_SW | 4plus_tanks,742,2212,TRUE,FALSE,FALSE,FALSE
1975-1979,Majority_SW,4plus_tanks,1975-1979 | Majority_SW | 4plus_tanks,607,1831,TRUE,FALSE,FALSE,FALSE
1985-1988,Majority_SW,1_tank,1985-1988 | Majority_SW | 1_tank,542,2033,TRUE,FALSE,FALSE,FALSE
1980-1984,Majority_SW,1_tank,1980-1984 | Majority_SW | 1_tank,521,1581,TRUE,FALSE,FALSE,FALSE
Post-1988,Majority_DW,1_tank,Post-1988 | Majority_DW | 1_tank,461,3659,TRUE,FALSE,FALSE,FALSE
1985-1988,Majority_DW,2-3_tanks,1985-1988 | Majority_DW | 2-3_tanks,423,1940,TRUE,FALSE,FALSE,FALSE
1975-1979,Majority_SW,1_tank,1975-1979 | Majority_SW | 1_tank,342,989,TRUE,FALSE,FALSE,FALSE
1965-1974,Majority_SW,1_tank,1965-1974 | Majority_SW | 1_tank,280,957,TRUE,FALSE,FALSE,FALSE
1985-1988,Majority_DW,1_tank,1985-1988 | Majority_DW | 1_tank,256,930,TRUE,FALSE,FALSE,FALSE
Pre-1965,Majority_SW,2-3_tanks,Pre-1965 | Majority_SW | 2-3_tanks,239,850,TRUE,FALSE,FALSE,FALSE
Pre-1965,Majority_SW,4plus_tanks,Pre-1965 | Majority_SW | 4plus_tanks,155,699,TRUE,FALSE,FALSE,FALSE
1985-1988,Majority_DW,4plus_tanks,1985-1988 | Majority_DW | 4plus_tanks,147,1086,TRUE,FALSE,FALSE,FALSE
1980-1984,Majority_DW,2-3_tanks,1980-1984 | Majority_DW | 2-3_tanks,133,1434,TRUE,FALSE,FALSE,FALSE
1975-1979,Majority_DW,2-3_tanks,1975-1979 | Majority_DW | 2-3_tanks,82,1076,TRUE,FALSE,FALSE,FALSE
Pre-1965,Majority_SW,1_tank,Pre-1965 | Majority_SW | 1_tank,74,560,TRUE,FALSE,FALSE,FALSE
1980-1984,Majority_DW,1_tank,1980-1984 | Majority_DW | 1_tank,72,674,TRUE,FALSE,FALSE,FALSE
1965-1974,Majority_DW,2-3_tanks,1965-1974 | Majority_DW | 2-3_tanks,70,872,TRUE,FALSE,FALSE,FALSE
1975-1979,Majority_DW,1_tank,1975-1979 | Majority_DW | 1_tank,51,414,TRUE,FALSE,FALSE,FALSE
1980-1984,Majority_DW,4plus_tanks,1980-1984 | Majority_DW | 4plus_tanks,42,725,TRUE,FALSE,FALSE,FALSE
1965-1974,Majority_DW,1_tank,1965-1974 | Majority_DW | 1_tank,31,376,TRUE,FALSE,FALSE,FALSE
1965-1974,Majority_DW,4plus_tanks,1965-1974 | Majority_DW | 4plus_tanks,25,464,TRUE,FALSE,FALSE,FALSE
Pre-1965,Majority_DW,2-3_tanks,Pre-1965 | Majority_DW | 2-3_tanks,21,527,TRUE,FALSE,FALSE,FALSE
1975-1979,Majority_DW,4plus_tanks,1975-1979 | Majority_DW | 4plus_tanks,16,405,TRUE,FALSE,FALSE,FALSE
Pre-1965,Majority_DW,1_tank,Pre-1965 | Majority_DW | 1_tank,12,468,TRUE,FALSE,FALSE,FALSE
Pre-1965,Majority_DW,4plus_tanks,Pre-1965 | Majority_DW | 4plus_tanks,8,302,TRUE,FALSE,FALSE,FALSE
