term,estimate,std.error,statistic,p.value,conf.low,conf.high,rel_year,period,stem,depvar,main_paper,sample
rel_year_bin::-9:texas_treated,0.017967904733195,0.00614802964087007,2.92254686180274,0.00949740032275094,0.00499669602390639,0.0309391134424837,-9,Pre,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::-8:texas_treated,0.022638292382449,0.00603412045491515,3.75171370071155,0.00158900052570965,0.00990741104814636,0.0353691737167517,-8,Pre,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::-7:texas_treated,0.0171778738170859,0.00547884227511743,3.13531088403484,0.00603018156189465,0.00561852703655141,0.0287372205976204,-7,Pre,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::-6:texas_treated,0.0129853862555994,0.00642713063543543,2.02040179236526,0.0593851632474934,-0.000574674079811998,0.0265454465910108,-6,Pre,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::-5:texas_treated,0.0118338683813517,0.00674897500047837,1.75343194789029,0.0975386005174009,-0.00240522420906521,0.0260729609717685,-5,Pre,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::-4:texas_treated,0.0141936363798248,0.00519505863328745,2.73214171037046,0.0141889722282713,0.00323302074755747,0.0251542520120921,-4,Pre,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::-3:texas_treated,0.015650081920399,0.00445479545932383,3.5130865296281,0.00266727714457864,0.00625128506425645,0.0250488787765415,-3,Pre,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::-2:texas_treated,0.00907792902134357,0.00381659157909087,2.37854348132948,0.0293723392524047,0.0010256246535502,0.0171302333891369,-2,Pre,AnyClosure,any_closure,TRUE,reform_cem
ref,0,0,,,0,0,-1,Ref,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::0:texas_treated,0.0377371011232729,0.00564204514663993,6.68855001022935,0.00000381188732744031,0.0258334263820532,0.0496407758644927,0,Post,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::1:texas_treated,0.0244206146154441,0.00618021358702639,3.95141919798829,0.00103016230179946,0.0113815037151988,0.0374597255156895,1,Post,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::2:texas_treated,0.0283478818549026,0.0059574229607516,4.75841350222449,0.000182197166877997,0.015778818088567,0.0409169456212382,2,Post,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::3:texas_treated,0.0292228892061221,0.00617095867178556,4.73555095089731,0.000191234614425082,0.0162033044702233,0.0422424739420208,3,Post,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::4:texas_treated,0.0312402651515536,0.00611181246799577,5.11145675937243,0.0000868429963603148,0.0183454679977803,0.044135062305327,4,Post,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::5:texas_treated,0.0259177991918267,0.00611345563602293,4.23946794331975,0.000552524280931246,0.0130195352565526,0.0388160631271007,5,Post,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::6:texas_treated,0.024318700814119,0.00577741335634163,4.20927140126218,0.000589706521244755,0.0121294241153271,0.0365079775129108,6,Post,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::7:texas_treated,0.0226833860013798,0.00606533799900355,3.73983873695189,0.00163050546793596,0.00988664140625771,0.0354801305965018,7,Post,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::8:texas_treated,0.0361970727594159,0.006122125907484,5.91250054416012,0.0000170466056740469,0.0232805161503492,0.0491136293684826,8,Post,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::9:texas_treated,0.0269025821584747,0.00599452920532666,4.4878557159367,0.000324060401492453,0.0142552310592998,0.0395499332576497,9,Post,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::10:texas_treated,0.0238050973291599,0.00574906982976594,4.14068676047531,0.000683840379363814,0.0116756202442682,0.0359345744140516,10,Post,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::11:texas_treated,0.0280410579605496,0.00515037054591895,5.44447388989686,0.0000437148702476349,0.0171747259511559,0.0389073899699433,11,Post,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::12:texas_treated,0.0262961854849218,0.00485774864658677,5.4132453937069,0.0000465953346538528,0.0160472317171543,0.0365451392526892,12,Post,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::13:texas_treated,0.0266954861509319,0.00519225487808504,5.14140518478891,0.0000816017486369539,0.0157407859250671,0.0376501863767968,13,Post,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::14:texas_treated,0.0273463190357909,0.0049258685298945,5.55157306164982,0.0000351543738980159,0.0169536448770606,0.0377389931945212,14,Post,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::15:texas_treated,0.0323824622887295,0.00526870203610965,6.14619351536537,0.0000107658094487118,0.0212664726579832,0.0434984519194757,15,Post,AnyClosure,any_closure,TRUE,reform_cem
rel_year_bin::-9:texas_treated,-0.00408161252930115,0.000436964473145009,-9.34083382093774,0.0000000416637817306901,-0.00500352698170221,-0.00315969807690008,-9,Pre,FacilityExit,facility_exit,FALSE,reform_cem
rel_year_bin::-8:texas_treated,-0.00394970665004854,0.000418911951345483,-9.42848882053297,0.000000036423298026356,-0.00483353361073779,-0.00306587968935928,-8,Pre,FacilityExit,facility_exit,FALSE,reform_cem
rel_year_bin::-7:texas_treated,-0.00390994810807907,0.000423635514958721,-9.22950973187423,0.0000000494825333383051,-0.00480374091686241,-0.00301615529929572,-7,Pre,FacilityExit,facility_exit,FALSE,reform_cem
rel_year_bin::-6:texas_treated,-0.00380967418423832,0.000411798590114547,-9.25130458357958,0.0000000478387552443929,-0.00467849326459179,-0.00294085510388485,-6,Pre,FacilityExit,facility_exit,FALSE,reform_cem
rel_year_bin::-5:texas_treated,-0.00361424035774296,0.00038990428011013,-9.26955804825253,0.0000000465061234348026,-0.0044368664817832,-0.00279161423370273,-5,Pre,FacilityExit,facility_exit,FALSE,reform_cem
rel_year_bin::-4:texas_treated,-0.00314091398339164,0.000404475686155875,-7.76539626706069,0.000000546063310863658,-0.00399428308689813,-0.00228754487988516,-4,Pre,FacilityExit,facility_exit,FALSE,reform_cem
rel_year_bin::-3:texas_treated,-0.00292866724312752,0.000354247122673518,-8.26730001651036,0.000000232647954065439,-0.00367606334094674,-0.0021812711453083,-3,Pre,FacilityExit,facility_exit,FALSE,reform_cem
rel_year_bin::-2:texas_treated,-0.00251377876169456,0.000339780329478445,-7.3982468777788,0.00000104077919206616,-0.00323065259386952,-0.0017969049295196,-2,Pre,FacilityExit,facility_exit,FALSE,reform_cem
ref,0,0,,,0,0,-1,Ref,FacilityExit,facility_exit,FALSE,reform_cem
rel_year_bin::0:texas_treated,0.0210626651605383,0.00547969076266551,3.84376894113139,0.00130115776960616,0.00950152822775725,0.0326238020933193,0,Post,FacilityExit,facility_exit,FALSE,reform_cem
rel_year_bin::1:texas_treated,0.00555783912852959,0.0032955016340591,1.68649260285268,0.109964170607598,-0.00139506155578344,0.0125107398128426,1,Post,FacilityExit,facility_exit,FALSE,reform_cem
rel_year_bin::2:texas_treated,0.00785330593970225,0.00321190817624453,2.44505929459185,0.0256698752967414,0.00107677203489134,0.0146298398445132,2,Post,FacilityExit,facility_exit,FALSE,reform_cem
rel_year_bin::3:texas_treated,0.00996731644650598,0.00336137961446794,2.96524569959459,0.00867356049356032,0.00287542537289018,0.0170592075201218,3,Post,FacilityExit,facility_exit,FALSE,reform_cem
rel_year_bin::4:texas_treated,0.00952213109395986,0.00358640623783603,2.65506204888416,0.0166643636856081,0.00195547534493482,0.0170887868429849,4,Post,FacilityExit,facility_exit,FALSE,reform_cem
