term,estimate,std.error,statistic,p.value,conf.low,conf.high,rel_year,period,stem,depvar,main_paper,sample
rel_year_bin::-12:texas_treated,0.0173149158007371,0.00583824354628861,2.9657748368076,0.00866380027939219,0.0049972986195926,0.0296325329818817,-12,Pre,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::-11:texas_treated,0.00984093006769324,0.00628507104880467,1.56576274019446,0.135828028840192,-0.00341941073886403,0.0231012708742505,-11,Pre,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::-10:texas_treated,0.0129138393568211,0.00582257111096949,2.2178929395112,0.040472648780239,0.000629288123855459,0.0251983905897868,-10,Pre,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::-9:texas_treated,0.0171607837361175,0.00603318867058428,2.84439699686295,0.0112060487507645,0.00443186829491129,0.0298896991773237,-9,Pre,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::-8:texas_treated,0.0217237680948876,0.00577757733350572,3.76001338292879,0.00156062114515651,0.00953414543452051,0.0339133907552546,-8,Pre,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::-7:texas_treated,0.0163517565260795,0.00519271922897254,3.14897759825827,0.00585583226147453,0.00539607660547859,0.0273074364466803,-7,Pre,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::-6:texas_treated,0.0121876229299267,0.00616195910905874,1.97788117613594,0.0643848297622118,-0.000812974388337369,0.0251882202481907,-6,Pre,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::-5:texas_treated,0.0111517253249008,0.00651150225913797,1.71261943574555,0.104960497075084,-0.00258634357652537,0.0248897942263269,-5,Pre,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::-4:texas_treated,0.0136867871879069,0.00486536752806458,2.81310447956054,0.0119705187400201,0.00342175898531182,0.0239518153905019,-4,Pre,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::-3:texas_treated,0.0151303871877382,0.00420594645533658,3.59737988783488,0.00222150147024921,0.00625661583673626,0.0240041585387401,-3,Pre,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::-2:texas_treated,0.00877841356690619,0.00361871996199868,2.42583390234422,0.0266922716797766,0.001143581819265,0.0164132453145474,-2,Pre,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
ref,0,0,,,0,0,-1,Ref,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::0:texas_treated,0.0370193616494155,0.00544570699971731,6.79789817030867,0.00000310696186396603,0.0255299241890959,0.048508799109735,0,Post,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::1:texas_treated,0.0230018381023334,0.00577614183760129,3.98221490209901,0.000963637815589217,0.0108152440735875,0.0351884321310794,1,Post,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::2:texas_treated,0.0267908479840791,0.00556156375581814,4.81714301235013,0.000160927644583507,0.0150569741349408,0.0385247218332174,2,Post,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::3:texas_treated,0.0274687919673469,0.00575130889871456,4.77609400765908,0.000175507946006525,0.0153345908599076,0.0396029930747863,3,Post,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::4:texas_treated,0.0294495897240788,0.00568653382126315,5.17882960863796,0.0000755051391538567,0.0174520520841018,0.0414471273640558,4,Post,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::5:texas_treated,0.0240322583587736,0.00567389105170023,4.2355868556151,0.000557167136045595,0.0120613946309674,0.0360031220865798,5,Post,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::6:texas_treated,0.0223759040617873,0.00531736081248695,4.20808458384866,0.000591218533680317,0.0111572533866419,0.0335945547369327,6,Post,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::7:texas_treated,0.020712113714705,0.00564765045583175,3.66738591148425,0.00190829597900456,0.00879661280483369,0.0326276146245762,7,Post,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::8:texas_treated,0.0342124521492717,0.0056352484596156,6.07115238918951,0.00001246790947532,0.0223231171642136,0.0461017871343299,8,Post,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
rel_year_bin::9:texas_treated,0.0248175430838788,0.00551367720935341,4.50108741254898,0.000315017398545588,0.0131847010164405,0.0364503851513172,9,Post,AnyClosure,any_closure,TRUE,sec1_ref-1_naive
