term,estimate,std.error,statistic,p.value,conf.low,conf.high,rel_year,period,stem,depvar,rq,sample
rel_year_bin::-9:texas_treated,-0.0841623293605127,0.0164622152874973,-5.11245466607597,0.0000866629092091949,-0.11889456761972,-0.0494300911013052,-9,Pre,Exit,facility_exit,RQ1,birth_cem
rel_year_bin::-8:texas_treated,-0.042971002969112,0.0137371241816951,-3.12809307106441,0.00612430369872763,-0.0719538015622831,-0.0139882043759408,-8,Pre,Exit,facility_exit,RQ1,birth_cem
rel_year_bin::-7:texas_treated,-0.0258995325746094,0.011908431169166,-2.17489039544269,0.0440433399875982,-0.0510241261628717,-0.000774938986347222,-7,Pre,Exit,facility_exit,RQ1,birth_cem
rel_year_bin::-6:texas_treated,-0.0367186510770224,0.0108978643021608,-3.36934375937697,0.00364146180439069,-0.0597111349468347,-0.01372616720721,-6,Pre,Exit,facility_exit,RQ1,birth_cem
rel_year_bin::-5:texas_treated,-0.0349605283341064,0.0101868812294424,-3.43191675122926,0.00318026032791045,-0.0564529690415219,-0.013468087626691,-5,Pre,Exit,facility_exit,RQ1,birth_cem
rel_year_bin::-4:texas_treated,-0.0353929215438245,0.00854629988577181,-4.14131519100423,0.000682912311171192,-0.053424038175661,-0.017361804911988,-4,Pre,Exit,facility_exit,RQ1,birth_cem
rel_year_bin::-3:texas_treated,-0.0303437461218368,0.0079263830129372,-3.8281957952714,0.00134589214303052,-0.0470669524784051,-0.0136205397652686,-3,Pre,Exit,facility_exit,RQ1,birth_cem
rel_year_bin::-2:texas_treated,-0.0389084889346076,0.00615143863552173,-6.32510396997687,0.00000761007064510303,-0.0518868899939171,-0.0259300878752981,-2,Pre,Exit,facility_exit,RQ1,birth_cem
ref,0,0,,,0,0,-1,Ref,Exit,facility_exit,RQ1,birth_cem
rel_year_bin::0:texas_treated,-0.0171376604582136,0.00687948582669555,-2.49112519306482,0.0233682265054423,-0.0316521068228594,-0.00262321409356784,0,Post,Exit,facility_exit,RQ1,birth_cem
