label,sample,n_pre_coefs,F_stat,p_val
CapacityChange,birth_cem,8,6.365,0
Exit,birth_cem,8,73.969,0
LUSTInduced,birth_cem,8,1.935,0.0504
LUSTStandalone,birth_cem,8,325.637,0
LUSTTotal,birth_cem,8,121.152,0
NetTankChange,birth_cem,8,58.081,0
PermanentClosure,birth_cem,8,82.289,0
ReplacementClosure,birth_cem,8,23.895,0
SingleToDouble,birth_cem,8,4.168,0.0001
CapacityChange,reform_cem,8,4.503,0
Exit,reform_cem,8,21.922,0
LUSTInduced,reform_cem,8,2.486,0.0108
LUSTStandalone,reform_cem,8,58.134,0
LUSTTotal,reform_cem,8,81.207,0
NetTankChange,reform_cem,8,5.707,0
PermanentClosure,reform_cem,8,4.531,0
ReplacementClosure,reform_cem,8,21.427,0
SingleToDouble,reform_cem,8,3.148,0.0014
