term,estimate,std.error,conf.low,conf.high,year,spec
rel_year::-13:texas_treated,0.00115298440498003,0.00656084515921926,-0.0126891889156931,0.0149951577256531,-13,pooled
rel_year::-12:texas_treated,-0.000609468526726725,0.00661201199637071,-0.0145595944374904,0.013340657384037,-12,pooled
rel_year::-11:texas_treated,-0.0570123369471109,0.00695998197276803,-0.071696615334696,-0.0423280585595259,-11,pooled
rel_year::-10:texas_treated,-0.0454901736198616,0.00603766421227157,-0.0582285316286389,-0.0327518156110843,-10,pooled
rel_year::-9:texas_treated,-0.0259748064713352,0.00565393375648527,-0.0379035639868054,-0.0140460489558649,-9,pooled
rel_year::-8:texas_treated,0.00379061863274394,0.00532253779810793,-0.00743895452731081,0.0150201917927987,-8,pooled
rel_year::-7:texas_treated,0.0140709359812039,0.00474646811064287,0.00405676362168056,0.0240851083407273,-7,pooled
rel_year::-6:texas_treated,0.0160738072057891,0.00389532441224584,0.00785539108011846,0.0242922233314598,-6,pooled
rel_year::-5:texas_treated,0.00398909996432754,0.00284971526843157,-0.00202327370139884,0.0100014736300539,-5,pooled
rel_year::-4:texas_treated,0.00689660774865596,0.00245690627830286,0.0017129886094161,0.0120802268878958,-4,pooled
rel_year::-3:texas_treated,0.00506101833898455,0.00199216337408251,0.000857921018756289,0.00926411565921281,-3,pooled
rel_year::-2:texas_treated,0.0075068802983588,0.00168015165333426,0.00396207016703179,0.0110516904296858,-2,pooled
ref_-1,0,0,0,0,-1,pooled
rel_year::0:texas_treated,0.00903727247983452,0.00412850999595911,0.000326877777119429,0.0177476671825496,0,pooled
rel_year::1:texas_treated,0.0112029125122611,0.00244189234306214,0.00605097000747669,0.0163548550170455,1,pooled
rel_year::2:texas_treated,0.0051287003101131,0.00204044593505751,0.000823735690602091,0.0094336649296241,2,pooled
rel_year::3:texas_treated,0.00284960062457346,0.00236338137448614,-0.0021366982156785,0.00783589946482543,3,pooled
rel_year::4:texas_treated,0.0055052919093492,0.00217974662198203,0.000906428530561961,0.0101041552881364,4,pooled
rel_year::5:texas_treated,0.0064488726767681,0.00257932419224396,0.00100697431568946,0.0118907710378467,5,pooled
rel_year::6:texas_treated,0.00322439095604578,0.00249008209154331,-0.00202922303077607,0.00847800494286762,6,pooled
rel_year::7:texas_treated,0.00194477636151365,0.0028474805322392,-0.00406288242298172,0.00795243514600903,7,pooled
rel_year::8:texas_treated,0.00169436842574996,0.00266188903447235,-0.00392172652564348,0.00731046337714341,8,pooled
rel_year::9:texas_treated,0.00550092073420728,0.00602787409905255,-0.00721678194119176,0.0182186234096063,9,pooled
rel_year::10:texas_treated,0.00326641739862815,0.00323929139262529,-0.00356789004267405,0.0101007248399304,10,pooled
rel_year::11:texas_treated,-0.000783334497426138,0.00349509088702245,-0.00815733169680937,0.0065906627019571,11,pooled
rel_year::12:texas_treated,-0.000481677150632068,0.0032829841614913,-0.00740816827632646,0.00644481397506232,12,pooled
rel_year::13:texas_treated,0.00240954430399871,0.00336002200016522,-0.00467948245381254,0.00949857106180995,13,pooled
rel_year::14:texas_treated,-0.000905023347781841,0.00400112920811497,-0.00934666807998669,0.00753662138442301,14,pooled
rel_year::15:texas_treated,0.000216838044537059,0.00435266017812582,-0.00896647220428753,0.00940014829336164,15,pooled
rel_year::16:texas_treated,0.00279384059941403,0.0048765195566398,-0.00749471632679344,0.0130823975256215,16,pooled
rel_year::17:texas_treated,0.00563858539565191,0.00510310758633514,-0.00512803048535734,0.0164052012766612,17,pooled
rel_year::18:texas_treated,0.00954859432062985,0.00548896518854976,-0.00203210994035723,0.0211292985816169,18,pooled
rel_year::19:texas_treated,0.00159451388703306,0.00792558935501326,-0.0151270179976838,0.01831604577175,19,pooled
rel_year::20:texas_treated,0.0119111141979233,0.00519259744879099,0.000955691211046559,0.0228665371848001,20,pooled
rel_year::21:texas_treated,0.0229855345663349,0.00439038649295303,0.0137226287507936,0.0322484403818762,21,pooled
rel_year::22:texas_treated,0.0207240553274228,0.0033001884869736,0.0137612662478198,0.0276868444070259,22,pooled
