spec,F,p,df
Pooled (birth-CEM),410.774524060924,0,11
Pooled + linear trends,310.550818925326,0,11
Below-median age,9.67694418673198,0.00000000296515502130248,5
Above-median age,9.94976628020543,0.00000000000000000236414770304302,11
Birth-PSM pooled,263.989026221119,0,11
Birth-PSM above-median,4.3540494811086,0.00000149148095537502,11
Reform-CEM pooled,21.6936280263745,0.00000000000000000000000000000000000000000000669345850054498,11
Reform-CEM above-median,0.000595299271051605,1,11
Single-walled only,470.172354937781,0,11
Double-walled placebo,28.6517374834066,0.000000000000000000000000000000000000000000000000000000000000571630446724867,11
Drop border states,1911.91347272153,0,11
Post-1988 installs only,43.4075892894764,0.0000000000000000000000000000000000000000000000000000000000000917733231070395,7
