lust_id,panel_id,claim_year,claim_start_year,claim_start_month,facility_id,claims_start_date,claims_end_date,total_cost,claim_end_year,state,cpi_factor,total_cost_2023,min_year,max_year,in_panel,in_window,active_tanks,avg_tank_age,age_bins,single_tanks,double_tanks,total_capacity,has_single_walled,has_double_walled,link_strategy,linked_lust_id,link_report_date,link_date_diff_days,flag_negative_cost,flag_zero_cost,flag_na_cost,flag_no_tank_chars,flag_out_of_panel,flag_weak_link,flag_multi_incident
12100,9459_CO,2014,2014,8,9459,2014-08-15,,-10000,,CO,1.28317611387181,-12831.7611387181,1976,2015,TRUE,TRUE,3,38.7241615331964,24+,3,0,22000,1,0,B_date_proximity,REL-015336,2014-08-15,0,1,0,0,0,0,0,0
12501,1352_CO,2016,2016,4,1352,2016-04-14,2018-08-16,-10000,2018,CO,1.27495062596238,-12749.5062596238,1976,2016,TRUE,TRUE,2,23.8083504449008,21-23,2,0,2000,1,0,B_date_proximity,REL-009458,2016-04-14,0,1,0,0,0,0,0,0
13077,10422_CO,2018,2018,7,10422,2018-07-10,2018-12-18,-196.23,2018,CO,1.21292205052266,-238.011693974062,1982,2025,TRUE,TRUE,2,24.9993155373032,24+,2,0,18000,1,0,B_date_proximity,REL-010482,2018-07-10,0,1,0,0,0,0,0,0
13197,8539_CO,2018,2018,11,8539,2018-11-16,2019-04-18,-8325.81,2019,CO,1.20629547811904,-10043.3869546783,1976,2025,TRUE,TRUE,3,42.6392881587953,24+,3,0,36000,1,0,B_date_proximity,REL-002526,2018-11-16,0,1,0,0,0,0,0,0
1386,3772_CO,1991,1991,1,3772,1991-01-02,1996-04-04,-10000,1996,CO,2.2620861172977,-22620.861172977,1970,2025,TRUE,TRUE,3,0.752908966461328,0-2,3,0,30000,1,0,B_date_proximity,REL-005392,1991-01-02,0,1,0,0,0,0,0,0
17374,10138_CO,2023,2023,5,10138,2023-05-02,2023-08-31,-979.73,2023,CO,1.00451317689412,-984.151694798473,,,FALSE,FALSE,,,,,,,,,B_date_proximity,REL-016380,2023-05-02,0,1,0,0,1,1,0,0
1849,3319_CO,1990,1990,11,3319,1990-11-30,1992-03-17,-3862.2,1992,CO,2.27900523560209,-8801.97402094241,1970,2015,TRUE,TRUE,0,,"",0,0,0,0,0,B_date_proximity,REL-001571,1990-11-30,0,1,0,0,0,0,0,0
1968,10157_CO,1990,1990,9,10157,1990-09-21,1998-04-01,-10000,1998,CO,2.29964528301887,-22996.4528301887,1980,2025,TRUE,TRUE,2,0.082135523613963,0-2,2,0,20000,1,0,B_date_proximity,REL-009623,1990-09-21,0,1,0,0,0,0,0,0
2203,4873_CO,1990,1990,12,4873,1990-12-27,1998-09-01,-10000,1998,CO,2.27051415797318,-22705.1415797318,1970,1998,TRUE,TRUE,1,,"",0,0,2000,0,0,B_date_proximity,REL-001149,1990-12-27,0,1,0,0,0,0,0,0
2211,3272_CO,1991,1991,11,3272,1991-11-11,2010-06-16,-1000,2010,CO,2.21119738751814,-2211.19738751814,1970,1991,TRUE,TRUE,1,25.5715263518138,24+,1,0,1000,1,0,B_date_proximity,REL-010068,1991-11-11,0,1,0,0,0,0,0,0
4633,13683_CO,1997,1997,5,13683,1997-05-07,1999-08-30,-2372.39,1999,CO,1.90558474046279,-4520.79018242652,,,FALSE,FALSE,,,,,,,,,B_date_proximity,REL-006707,1997-05-07,0,1,0,0,1,1,0,0
5211,807_CO,1994,1997,3,807,1997-03-21,1998-06-19,-10000,1998,CO,1.90677722152691,-19067.7722152691,1973,1994,TRUE,FALSE,4,19.1745379876797,18-20,4,0,25000,1,0,B_date_proximity,REL-003683,1997-03-21,0,1,0,0,0,0,0,0
522,3809_CO,1991,1991,1,3809,1991-01-17,1994-06-21,-3700,1994,CO,2.2620861172977,-8369.71863400149,1970,2014,TRUE,TRUE,3,21.6262833675565,21-23,3,0,26000,1,0,C_year_only,,,,1,0,0,0,0,1,1
522,3809_CO,1991,1991,1,3809,1991-01-17,1994-06-21,-3700,1994,CO,2.2620861172977,-8369.71863400149,1970,2014,TRUE,TRUE,3,21.6262833675565,21-23,3,0,26000,1,0,B_date_proximity,REL-005393,1991-01-17,0,1,0,0,0,0,0,1
5350,12556_CO,1989,1989,12,12556,1989-12-15,1996-02-22,-5469.76,1996,CO,2.41253365003959,-13195.9800576405,,,FALSE,FALSE,,,,,,,,,B_date_proximity,REL-003260,1989-12-15,0,1,0,0,1,1,0,0
5790,11748_CO,1990,1990,10,11748,1990-10-22,1990-11-02,-1682.54,1990,CO,2.28413043478261,-3843.14082173913,1970,1990,TRUE,TRUE,1,,"",1,0,1000,1,0,B_date_proximity,REL-010193,1990-10-22,0,1,0,0,0,0,0,0
5799,3396_CO,1995,1995,12,3396,1995-12-06,1999-07-07,-684.15,1999,CO,1.97987654320988,-1354.53253703704,1974,1995,TRUE,TRUE,2,17.4346338124572,15-17,2,0,5000,1,0,B_date_proximity,REL-003603,1995-12-06,0,1,0,0,0,0,0,0
6273,1041_CO,1997,1998,1,1041,1998-01-14,1999-02-17,-405.7,1999,CO,1.88088271604938,-763.074117901235,1977,1997,TRUE,FALSE,2,20.3997262149213,18-20,2,0,1100,1,0,B_date_proximity,REL-012086,1998-01-14,0,1,0,0,0,0,0,0
6450,9334_CO,1998,1998,4,9334,1998-04-02,1998-12-21,-373.05,1998,CO,1.87856350184957,-700.798114364982,1972,2015,TRUE,TRUE,2,4.16700889801506,3-5,0,2,2000,0,1,B_date_proximity,REL-006673,1998-04-02,0,1,0,0,0,0,0,0
826,109_CO,1994,1994,6,109,1994-06-17,,-7253.21,,CO,2.06019607843137,-14943.0347980392,,,FALSE,FALSE,,,,,,,,,B_date_proximity,REL-009194,1994-06-17,0,1,0,0,1,1,0,1
826,109_CO,1994,1994,6,109,1994-06-17,,-7253.21,,CO,2.06019607843137,-14943.0347980392,,,FALSE,FALSE,,,,,,,,,C_year_only,,,,1,0,0,1,1,1,1
8371,2490_CO,1997,1997,8,2490,1997-08-25,2000-11-08,-6123.35,2000,CO,1.89491915422886,-11603.2532030473,1989,2025,TRUE,TRUE,3,8.91444216290212,6-8,3,0,18000,1,0,B_date_proximity,REL-006765,1997-08-25,0,1,0,0,0,0,0,0
