decile,mean_predicted,mean_actual,n_fac_years,n_first_leaks
1,0.00477133364111657,0.0050389663138121,78786,397
2,0.00775629558342924,0.00659521846661171,78845,520
3,0.00967404672523593,0.00888137832892864,78704,699
4,0.0112255587136285,0.0118512879076259,78810,934
5,0.0126917640758685,0.0131679195449004,78752,1037
6,0.0141064079978187,0.0143759833527889,78812,1133
7,0.0157234066703091,0.0163822005486132,78744,1290
8,0.0177178000004992,0.0181153440899801,78773,1427
9,0.020083182955124,0.0191539290924082,78835,1510
10,0.0245187722594843,0.0247071974797388,78722,1945
