YEAR,total_market_fac,CR4,CR10
2007,7803,0.703831859541202,0.977444572600282
2008,12254,0.723600456993635,0.970948261792068
2009,12716,0.687244416483171,0.938502673796791
2010,12200,0.644672131147541,0.914426229508197
2011,11409,0.617845560522395,0.890787974406171
2012,13346,0.620260752285329,0.893151506069234
2013,14947,0.573158493343146,0.868334782899579
2014,14846,0.571938569311599,0.898154385019534
2015,14474,0.573442033991986,0.901962139007876
2016,14103,0.619868113167411,0.911579096646104
2017,14023,0.633958496755331,0.899023033587677
2018,14237,0.661937205872024,0.891971623235232
2019,13804,0.744494349463924,0.917487684729064
2020,13862,0.763526186697446,0.941927571778964
