YEAR,Plot_Issuer,n_fac,annual_total,market_share
2007,MID-CONTINENT INS CO,1372,7803,0.175829809047802
2008,MID-CONTINENT INS CO,2325,12254,0.189733964419781
2010,MID-CONTINENT INS CO,2757,12200,0.225983606557377
2011,MID-CONTINENT INS CO,2977,11409,0.260934350074503
2014,MID-CONTINENT INS CO,3701,14846,0.249292738784858
2015,MID-CONTINENT INS CO,3804,14474,0.262816084012712
2016,MID-CONTINENT INS CO,3930,14103,0.278664114018294
2017,MID-CONTINENT INS CO,4297,14023,0.306425158667903
2018,MID-CONTINENT INS CO,4517,14237,0.317271897169347
2019,MID-CONTINENT INS CO,7151,13804,0.518038249782672
2020,MID-CONTINENT INS CO,7428,13862,0.535853412206031
2009,MID-CONTINENT INS CO,2473,12716,0.194479396036489
2012,MID-CONTINENT INS CO,3585,13346,0.26861981117938
2013,MID-CONTINENT INS CO,3532,14947,0.236301598983074
2007,COLONY INS CO,971,7803,0.124439318210945
2009,COLONY INS CO,1428,12716,0.112299465240642
2011,COLONY INS CO,1168,11409,0.102375317731615
2012,COLONY INS CO,1225,13346,0.0917878015884909
2013,COLONY INS CO,1457,14947,0.0974777547333913
2015,COLONY INS CO,1193,14474,0.0824236562111372
2016,COLONY INS CO,1039,14103,0.0736722683117067
2008,COLONY INS CO,1591,12254,0.129835155867472
2010,COLONY INS CO,1328,12200,0.108852459016393
2011,,2163,11409,0.189587168025243
2012,,2486,13346,0.186273040611419
2013,,3856,14947,0.257978189603265
2014,CRUM & FORSTER SPECIALTY INS,573,14846,0.0385962548834703
2015,CRUM & FORSTER SPECIALTY INS,752,14474,0.0519552300677076
2008,TANK OWNERS MEMBERS INS CO,2334,12254,0.1904684184756
2009,TANK OWNERS MEMBERS INS CO,2452,12716,0.192827933312362
2011,TANK OWNERS MEMBERS INS CO,2084,11409,0.182662810062232
2012,TANK OWNERS MEMBERS INS CO,2426,13346,0.181777311554024
2013,TANK OWNERS MEMBERS INS CO,2283,14947,0.152739680203385
2014,TANK OWNERS MEMBERS INS CO,2322,14846,0.156405765862859
2015,TANK OWNERS MEMBERS INS CO,2190,14474,0.151305789691861
2016,TANK OWNERS MEMBERS INS CO,2153,14103,0.152662554066511
2017,TANK OWNERS MEMBERS INS CO,1943,14023,0.138558083149112
2018,TANK OWNERS MEMBERS INS CO,1917,14237,0.134649153613823
2008,ZURICH AMERICAN INS CO,2617,12254,0.213562918230782
2009,ZURICH AMERICAN INS CO,2386,12716,0.187637621893677
2010,GREAT AMERICAN ALLIANCE INS CO,978,12200,0.0801639344262295
2011,GREAT AMERICAN ALLIANCE INS CO,820,11409,0.0718730826540451
2012,GREAT AMERICAN ALLIANCE INS CO,1042,13346,0.0780758279634347
2013,GREAT AMERICAN ALLIANCE INS CO,1295,14947,0.0866394594232957
2014,GREAT AMERICAN ALLIANCE INS CO,1204,14846,0.0810992860029638
2015,GREAT AMERICAN ALLIANCE INS CO,1113,14474,0.0768965040762747
2016,GREAT AMERICAN ALLIANCE INS CO,1004,14103,0.0711905268382614
2017,GREAT AMERICAN ALLIANCE INS CO,928,14023,0.0661769949368894
2018,GREAT AMERICAN ALLIANCE INS CO,941,14237,0.0660953852637494
2010,,2008,12200,0.164590163934426
2016,CRUM & FORSTER SPECIALTY INS,685,14103,0.0485712259802879
2018,CRUM & FORSTER SPECIALTY INS,646,14237,0.0453747278218726
2019,CRUM & FORSTER SPECIALTY INS,652,13804,0.0472326861779195
2020,CRUM & FORSTER SPECIALTY INS,621,13862,0.044798730341942
2010,TANK OWNERS MEMBERS INS CO,2213,12200,0.181393442622951
2014,COLONY INS CO,1264,14846,0.0851407786609188
2014,,2814,14846,0.18954600565809
2016,IRONSHORE SPECIALTY INS CO,1620,14103,0.1148691767709
2016,OLD REPUBLIC INS CO,1012,14103,0.0717577820321917
2017,IRONSHORE SPECIALTY INS CO,1679,14023,0.119731869072238
2017,OLD REPUBLIC INS CO,971,14023,0.0692433858660772
2018,IRONSHORE SPECIALTY INS CO,2049,14237,0.143920769825104
2019,IRONSHORE SPECIALTY INS CO,1771,13804,0.128296146044625
2020,IRONSHORE SPECIALTY INS CO,1896,13862,0.136776799884577
2010,ZURICH AMERICAN INS CO,1567,12200,0.12844262295082
2011,ZURICH AMERICAN INS CO,795,11409,0.0696818301341047
2012,ZURICH AMERICAN INS CO,711,13346,0.0532743893301364
2013,ACE AMERICAN INS CO,833,14947,0.0557302468722821
2013,ZURICH AMERICAN INS CO,221,14947,0.0147855757008095
2014,ACE AMERICAN INS CO,876,14846,0.0590057928061431
2015,,2247,14474,0.155243885587951
2017,,1687,14023,0.120302360407901
2019,,2227,13804,0.161330049261084
2020,,1940,13862,0.139950945029577
2011,ACE AMERICAN INS CO,341,11409,0.029888684371987
2012,ACE AMERICAN INS CO,559,13346,0.0418852090514012
2007,ZURICH AMERICAN INS CO,1893,7803,0.242599000384468
2017,CRUM & FORSTER SPECIALTY INS,621,14023,0.0442843899308279
2015,IRONSHORE SPECIALTY INS CO,1071,14474,0.0739947492054719
2016,,1488,14103,0.105509466071049
2018,,2248,14237,0.157898433658776
2007,,1489,7803,0.190824042035115
2008,,1896,12254,0.154724987759099
2009,,1928,12716,0.151620006291287
2014,OLD REPUBLIC INS CO,997,14846,0.067156136333019
2015,OLD REPUBLIC INS CO,991,14474,0.0684675970706094
2013,IRONSHORE SPECIALTY INS CO,859,14947,0.057469726366495
2014,IRONSHORE SPECIALTY INS CO,817,14846,0.055031658359154
2009,IRONSHORE SPECIALTY INS CO,174,12716,0.0136835482856244
2010,IRONSHORE SPECIALTY INS CO,179,12200,0.014672131147541
2011,IRONSHORE SPECIALTY INS CO,175,11409,0.0153387676395828
2012,IRONSHORE SPECIALTY INS CO,766,13346,0.0573954742994156
2007,TANK OWNERS MEMBERS INS CO,1115,7803,0.142893758810714
2017,COLONY INS CO,664,14023,0.0473507808600157
2017,ACE AMERICAN INS CO,846,14023,0.0603294587463453
2018,ACE AMERICAN INS CO,791,14237,0.0555594577509307
2018,COLONY INS CO,243,14237,0.0170682025707663
2019,COLONY INS CO,193,13804,0.0139814546508258
2020,COLONY INS CO,147,13862,0.0106045303707979
2009,GREAT AMERICAN ALLIANCE INS CO,824,12716,0.0648002516514627
2019,GREAT AMERICAN ALLIANCE INS CO,216,13804,0.0156476383656911
2020,GREAT AMERICAN ALLIANCE INS CO,315,13862,0.0227239936517097
2015,ACE AMERICAN INS CO,826,14474,0.0570678457924554
2016,ACE AMERICAN INS CO,871,14103,0.061759909239169
2010,ILLINOIS UNION INS CO,608,12200,0.0498360655737705
2011,ILLINOIS UNION INS CO,614,11409,0.0538171618897362
2012,ILLINOIS UNION INS CO,305,13346,0.0228532893750937
2013,ILLINOIS UNION INS CO,309,14947,0.0206730447581454
2008,ACE AMERICAN INS CO,217,12254,0.0177085033458463
2018,OLD REPUBLIC INS CO,479,14237,0.0336447285242678
2019,OLD REPUBLIC INS CO,470,13804,0.0340481019994205
2020,OLD REPUBLIC INS CO,476,13862,0.0343384792959169
2019,ACE AMERICAN INS CO,703,13804,0.0509272674587076
2020,ACE AMERICAN INS CO,639,13862,0.0460972442648968
2008,GREAT AMERICAN ALLIANCE INS CO,719,12254,0.0586747184592786
2007,ACE AMERICAN INS CO,223,7803,0.0285787517621428
2007,ILLINOIS UNION INS CO,390,7803,0.0499807766243753
2008,ILLINOIS UNION INS CO,531,12254,0.043332789293292
2009,ILLINOIS UNION INS CO,532,12716,0.0418370556778861
2013,CRUM & FORSTER SPECIALTY INS,62,14947,0.00414798956312303
2010,OLD REPUBLIC INS CO,273,12200,0.0223770491803279
2011,OLD REPUBLIC INS CO,272,11409,0.0238408274169515
2012,OLD REPUBLIC INS CO,240,13346,0.0179829162295819
2013,OLD REPUBLIC INS CO,240,14947,0.0160567337927343
2019,ILLINOIS UNION INS CO,309,13804,0.0223848159953637
2020,ILLINOIS UNION INS CO,366,13862,0.0264031164334151
2007,GREAT AMERICAN ALLIANCE INS CO,327,7803,0.0419069588619762
2016,ILLINOIS UNION INS CO,298,14103,0.0211302559739063
2017,ILLINOIS UNION INS CO,383,14023,0.0273122726948585
2018,ILLINOIS UNION INS CO,374,14237,0.0262695792652947
2009,ACE AMERICAN INS CO,262,12716,0.0206039635105379
2010,ACE AMERICAN INS CO,289,12200,0.0236885245901639
2019,TANK OWNERS MEMBERS INS CO,80,13804,0.00579542161692263
2014,ILLINOIS UNION INS CO,266,14846,0.0179172841169339
2015,ILLINOIS UNION INS CO,284,14474,0.0196213900787619
2015,ZURICH AMERICAN INS CO,3,14474,0.000207268205057344
2016,ZURICH AMERICAN INS CO,3,14103,0.000212720697723889
2017,ZURICH AMERICAN INS CO,4,14023,0.00028524566783142
2018,ZURICH AMERICAN INS CO,32,14237,0.00224766453606799
2019,ZURICH AMERICAN INS CO,32,13804,0.00231816864676905
2020,ZURICH AMERICAN INS CO,33,13862,0.00238060885875054
