YEAR,Plot_Issuer,market_share,HHI
2007,ZURICH AMERICAN INS CO,0.229404564479191,1487.93846039635
2007,MID-CONTINENT INS CO,0.189962883992734,1487.93846039635
2007,TANK OWNERS MEMBERS INS CO,0.167934138829661,1487.93846039635
2007,COLONY INS CO,0.126739319276633,1487.93846039635
2007,Other Private Insurers,0.250517254994867,1487.93846039635
2007,GREAT AMERICAN ALLIANCE INS CO,0.0354418384269131,1487.93846039635
2008,ZURICH AMERICAN INS CO,0.218102005439492,1524.34260009385
2008,TANK OWNERS MEMBERS INS CO,0.193899747950226,1524.34260009385
2008,MID-CONTINENT INS CO,0.183544910686709,1524.34260009385
2008,COLONY INS CO,0.132816656206106,1524.34260009385
2008,Other Private Insurers,0.218353183498217,1524.34260009385
2008,GREAT AMERICAN ALLIANCE INS CO,0.0532834962192499,1524.34260009385
2009,ZURICH AMERICAN INS CO,0.207662552654439,1517.33399299816
2009,TANK OWNERS MEMBERS INS CO,0.198288013636879,1517.33399299816
2009,MID-CONTINENT INS CO,0.198143543201809,1517.33399299816
2009,COLONY INS CO,0.124763801375399,1517.33399299816
2009,Other Private Insurers,0.215943026667327,1517.33399299816
2009,GREAT AMERICAN ALLIANCE INS CO,0.0551990624641462,1517.33399299816
2010,MID-CONTINENT INS CO,0.220334835264385,1385.98447446935
2010,TANK OWNERS MEMBERS INS CO,0.196536022505123,1385.98447446935
2010,ZURICH AMERICAN INS CO,0.16300231249702,1385.98447446935
2010,COLONY INS CO,0.113912530396226,1385.98447446935
2010,GREAT AMERICAN ALLIANCE INS CO,0.0751770133028195,1385.98447446935
2010,Other Private Insurers,0.231037286034427,1385.98447446935
2011,MID-CONTINENT INS CO,0.255451701822555,1364.63069998627
2011,TANK OWNERS MEMBERS INS CO,0.192631255680787,1364.63069998627
2011,COLONY INS CO,0.106795154703263,1364.63069998627
2011,ZURICH AMERICAN INS CO,0.081885118618631,1364.63069998627
2011,GREAT AMERICAN ALLIANCE INS CO,0.0754309971196702,1364.63069998627
