margin,size_term,odds_ratio,coef,se,p,n
Exit,size_bin2,0.708551152367471,-0.344533024338335,0.101837235835566,0.00071653383847803,2281442
Exit,size_bin3,0.55946295731687,-0.580777960183549,0.133013644227604,1.26366778458378e-05,2281442
Exit,size_bin4+,0.451747189331292,-0.79463257126398,0.118410842929086,1.93548084153844e-11,2281442
Replace-upgrade,size_bin2,2.3009262954551,0.833311779012654,0.121291082066951,6.40460803361796e-12,1922503
Replace-upgrade,size_bin3,5.72697849690175,1.74518807871666,0.182399963821074,1.09079055180726e-21,1922503
Replace-upgrade,size_bin4+,6.00189906362912,1.79207592975399,0.140524121697002,3.00748285828057e-37,1922503
Replace-samewall,size_bin2,1.66140982759964,0.507666535657322,0.115919985510946,1.18975659523713e-05,2281442
Replace-samewall,size_bin3,2.66795413869409,0.981311938510617,0.146860879670658,2.35839554674709e-11,2281442
Replace-samewall,size_bin4+,4.18952576118841,1.43258754404106,0.172549831149586,1.01980112458476e-16,2281442
Downsize,size_bin2,6.27706753093783,1.83690291775097,0.183565587399866,1.42289768216128e-23,2255796
Downsize,size_bin3,7.52733341982757,2.01854085158091,0.148954032730684,7.76965212434153e-42,2255796
Downsize,size_bin4+,18.3621978477817,2.9102940865127,0.151545572977238,3.42097903319046e-82,2255796
