did_term,make_model_tank,N
0,Single-Walled_Motor-Fuel-Mixed_25k-Plus_1997,30
0,Double-Walled_Diesel-Only_5k-12k_1992,15472
0,Double-Walled_Diesel-Only_12k-25k_1991,12981
0,Double-Walled_Diesel-Only_12k-25k_1997,10870
0,Single-Walled_Diesel-Only_5k-12k_1989,51955
0,Single-Walled_Gasoline-Only_5k-12k_1989,222966
0,Single-Walled_Diesel-Only_1k-5k_1989,36451
0,Single-Walled_Gasoline-Only_1k-5k_1989,68747
0,Double-Walled_Gasoline-Only_1k-5k_1991,12588
0,Double-Walled_Diesel-Only_5k-12k_1991,20536
0,Double-Walled_Motor-Fuel-Mixed_12k-25k_1996,1777
0,Double-Walled_Other-Fuel_5k-12k_1990,30272
0,Single-Walled_Gasoline-Only_5k-12k_1992,81564
0,Single-Walled_Diesel-Only_1k-5k_1992,18430
0,Single-Walled_Gasoline-Only_12k-25k_1992,24734
0,Single-Walled_Other-Fuel_1k-5k_1992,15111
0,Single-Walled_Gasoline-Only_5k-12k_1994,67997
0,Single-Walled_Gasoline-Only_12k-25k_1994,28581
0,Single-Walled_Motor-Fuel-Mixed_5k-12k_1994,669
0,Single-Walled_Gasoline-Only_5k-12k_1990,200165
0,Single-Walled_Gasoline-Only_12k-25k_1990,38835
0,Single-Walled_Gasoline-Only_5k-12k_1993,67189
0,Single-Walled_Gasoline-Only_12k-25k_1993,22290
0,Unknown-Wall_Gasoline-Only_5k-12k_1989,134696
0,Unknown-Wall_Gasoline-Only_12k-25k_1989,27805
0,Double-Walled_Gasoline-Only_5k-12k_1989,66414
0,Double-Walled_Gasoline-Only_12k-25k_1989,35081
0,Single-Walled_Diesel-Only_5k-12k_1996,16492
0,Single-Walled_Gasoline-Only_12k-25k_1996,30544
0,Single-Walled_Gasoline-Only_5k-12k_1996,55520
0,Double-Walled_Diesel-Only_1k-5k_1992,13050
0,Double-Walled_Gasoline-Only_12k-25k_1995,40156
0,Double-Walled_Gasoline-Only_5k-12k_1995,39819
0,Single-Walled_Diesel-Only_5k-12k_1995,18820
0,Double-Walled_Diesel-Only_1k-5k_1991,13201
0,Double-Walled_Gasoline-Only_12k-25k_1991,30749
0,Double-Walled_Gasoline-Only_5k-12k_1991,67813
0,Double-Walled_Other-Fuel_Under-1k_1992,4784
0,Double-Walled_Gasoline-Only_5k-12k_1992,47733
0,Single-Walled_Other-Fuel_Under-1k_1989,15175
0,Double-Walled_Gasoline-Only_1k-5k_1989,11286
0,Single-Walled_Diesel-Only_12k-25k_1989,15312
0,Double-Walled_Diesel-Only_5k-12k_1995,15260
0,Double-Walled_Diesel-Only_12k-25k_1996,12047
0,Double-Walled_Motor-Fuel-Mixed_1k-5k_1997,380
0,Double-Walled_Gasoline-Only_5k-12k_1997,39778
0,Double-Walled_Diesel-Only_12k-25k_1992,11282
0,Single-Walled_Diesel-Only_5k-12k_1993,19861
0,Single-Walled_Diesel-Only_12k-25k_1991,12489
0,Double-Walled_Other-Fuel_5k-12k_1992,14549
0,Double-Walled_Diesel-Only_12k-25k_1994,10777
0,Double-Walled_Gasoline-Only_5k-12k_1994,41159
0,Double-Walled_Diesel-Only_5k-12k_1994,15879
0,Double-Walled_Gasoline-Only_12k-25k_1994,35119
0,Single-Walled_Diesel-Only_1k-5k_1990,36475
0,Single-Walled_Gasoline-Only_12k-25k_1995,32415
0,Single-Walled_Diesel-Only_12k-25k_1995,8336
0,Single-Walled_Other-Fuel_1k-5k_1995,10682
0,Single-Walled_Diesel-Only_1k-5k_1991,24054
0,Double-Walled_Diesel-Only_1k-5k_1993,12066
0,Double-Walled_Motor-Fuel-Mixed_1k-5k_1994,146
0,Single-Walled_Gasoline-Only_12k-25k_1991,34131
0,Double-Walled_Gasoline-Only_12k-25k_1996,43440
0,Double-Walled_Motor-Fuel-Mixed_5k-12k_1996,861
0,Single-Walled_Gasoline-Only_12k-25k_1989,38774
0,Single-Walled_Gasoline-Only_1k-5k_1991,43357
0,Single-Walled_Diesel-Only_12k-25k_1992,9262
0,Double-Walled_Motor-Fuel-Mixed_12k-25k_1994,1261
0,Double-Walled_Other-Fuel_12k-25k_1995,5297
0,Single-Walled_Gasoline-Only_1k-5k_1992,30550
0,Double-Walled_Motor-Fuel-Mixed_12k-25k_1997,2152
0,Single-Walled_Gasoline-Only_1k-5k_1990,66753
0,Double-Walled_Gasoline-Only_1k-5k_1990,16322
0,Single-Walled_Other-Fuel_1k-5k_1990,31749
0,Unknown-Wall_Diesel-Only_1k-5k_1990,16136
0,Double-Walled_Diesel-Only_12k-25k_1990,12654
0,Double-Walled_Gasoline-Only_12k-25k_1990,34989
0,Double-Walled_Other-Fuel_1k-5k_1990,19735
0,Double-Walled_Diesel-Only_12k-25k_1995,12787
0,Double-Walled_Other-Fuel_5k-12k_1995,12328
0,Single-Walled_Motor-Fuel-Mixed_5k-12k_1992,531
0,Single-Walled_Other-Fuel_12k-25k_1994,3633
0,Single-Walled_Diesel-Only_5k-12k_1994,18869
0,Single-Walled_Gasoline-Only_5k-12k_1991,116872
0,Single-Walled_Diesel-Only_5k-12k_1990,50888
0,Single-Walled_Other-Fuel_5k-12k_1990,34346
0,Double-Walled_Motor-Fuel-Mixed_5k-12k_1994,799
0,Double-Walled_Gasoline-Only_Under-1k_1990,1427
0,Single-Walled_Motor-Fuel-Mixed_5k-12k_1989,689
0,Single-Walled_Other-Fuel_1k-5k_1989,38540
0,Double-Walled_Diesel-Only_1k-5k_1994,9213
0,Double-Walled_Gasoline-Only_1k-5k_1994,7283
0,Double-Walled_Motor-Fuel-Mixed_12k-25k_1992,1432
0,Double-Walled_Gasoline-Only_5k-12k_1990,81523
0,Double-Walled_Diesel-Only_1k-5k_1990,14553
0,Single-Walled_Other-Fuel_Under-1k_1991,6479
0,Single-Walled_Diesel-Only_Under-1k_1989,4847
0,Single-Walled_Diesel-Only_5k-12k_1992,24498
0,Double-Walled_Motor-Fuel-Mixed_12k-25k_1991,706
0,Double-Walled_Gasoline-Only_12k-25k_1997,43901
0,Single-Walled_Diesel-Only_12k-25k_1990,16392
0,Double-Walled_Diesel-Only_5k-12k_1993,13510
0,Double-Walled_Motor-Fuel-Mixed_5k-12k_1991,827
0,Double-Walled_Gasoline-Only_12k-25k_1992,27223
0,Single-Walled_Diesel-Only_12k-25k_1996,8127
0,Single-Walled_Diesel-Only_1k-5k_1993,16013
0,Single-Walled_Diesel-Only_5k-12k_1991,33771
0,Unknown-Wall_Other-Fuel_Under-1k_1990,11173
0,Single-Walled_Gasoline-Only_5k-12k_1995,63712
0,Double-Walled_Other-Fuel_1k-5k_1995,8411
0,Double-Walled_Gasoline-Only_5k-12k_1996,40708
0,Double-Walled_Diesel-Only_5k-12k_1996,15503
0,Single-Walled_Motor-Fuel-Mixed_12k-25k_1991,780
0,Single-Walled_Motor-Fuel-Mixed_1k-5k_1991,271
0,Double-Walled_Gasoline-Only_1k-5k_1993,10021
0,Single-Walled_Other-Fuel_1k-5k_1991,17528
0,Double-Walled_Diesel-Only_5k-12k_1989,20961
0,Single-Walled_Gasoline-Only_12k-25k_1997,34045
0,Double-Walled_Gasoline-Only_1k-5k_1995,5865
0,Double-Walled_Gasoline-Only_5k-12k_1993,41494
0,Double-Walled_Diesel-Only_5k-12k_1990,23814
0,Single-Walled_Other-Fuel_Under-1k_1994,3320
0,Single-Walled_Motor-Fuel-Mixed_12k-25k_1995,1235
0,Double-Walled_Motor-Fuel-Mixed_1k-5k_1996,369
0,Single-Walled_Diesel-Only_1k-5k_1994,15368
0,Double-Walled_Motor-Fuel-Mixed_5k-12k_1992,588
0,Double-Walled_Motor-Fuel-Mixed_12k-25k_1995,1017
0,Double-Walled_Other-Fuel_5k-12k_1991,24767
0,Single-Walled_Gasoline-Only_Under-1k_1990,3393
0,Double-Walled_Gasoline-Only_12k-25k_1993,25765
0,Single-Walled_Motor-Fuel-Mixed_12k-25k_1993,1009
0,Double-Walled_Diesel-Only_25k-Plus_1992,791
0,Double-Walled_Other-Fuel_1k-5k_1992,11585
0,Single-Walled_Gasoline-Only_1k-5k_1995,18060
0,Double-Walled_Diesel-Only_5k-12k_1997,17600
0,Single-Walled_Other-Fuel_Under-1k_1990,11762
0,Double-Walled_Diesel-Only_12k-25k_1989,12359
0,Double-Walled_Other-Fuel_1k-5k_1991,16602
0,Double-Walled_Other-Fuel_1k-5k_1989,12824
0,Single-Walled_Gasoline-Only_5k-12k_1997,51819
0,Single-Walled_Diesel-Only_1k-5k_1997,13024
0,Single-Walled_Diesel-Only_1k-5k_1995,13914
0,Single-Walled_Gasoline-Only_1k-5k_1997,17212
0,Double-Walled_Other-Fuel_1k-5k_1994,8645
0,Single-Walled_Motor-Fuel-Mixed_5k-12k_1996,712
0,Single-Walled_Other-Fuel_1k-5k_1994,11716
0,Single-Walled_Diesel-Only_5k-12k_1997,20247
0,Unknown-Wall_Other-Fuel_5k-12k_1989,27854
0,Double-Walled_Gasoline-Only_25k-Plus_1995,92
0,Single-Walled_Gasoline-Only_1k-5k_1993,28258
0,Single-Walled_Other-Fuel_5k-12k_1991,16069
0,Single-Walled_Other-Fuel_12k-25k_1991,6519
0,Double-Walled_Other-Fuel_1k-5k_1993,9545
0,Single-Walled_Gasoline-Only_1k-5k_1994,21247
0,Double-Walled_Gasoline-Only_1k-5k_1992,10885
0,Double-Walled_Gasoline-Only_Under-1k_1994,559
0,Double-Walled_Other-Fuel_5k-12k_1989,16904
0,Double-Walled_Other-Fuel_12k-25k_1989,4048
0,Double-Walled_Other-Fuel_12k-25k_1993,5656
0,Double-Walled_Diesel-Only_12k-25k_1993,9363
0,Double-Walled_Diesel-Only_1k-5k_1995,8371
0,Double-Walled_Motor-Fuel-Mixed_25k-Plus_1997,266
0,Double-Walled_Gasoline-Only_1k-5k_1997,8303
0,Double-Walled_Motor-Fuel-Mixed_12k-25k_1993,1001
