metric,bin,n_events,pct_of_events
delta_tanks,<=-5,863,3.32140245545164
delta_tanks,-4,812,3.12512027094639
delta_tanks,-3,2073,7.97829349959589
delta_tanks,-2,4403,16.9456952622869
delta_tanks,-1,7128,27.4333217873225
delta_tanks,0,7959,30.6315667936728
delta_tanks,+1,1924,7.4048416272178
delta_tanks,+2,568,2.18604472154871
delta_tanks,+3,170,0.654273948350845
delta_tanks,+4,61,0.234768887349421
delta_tanks,>=+5,22,0.0846707462571682
delta_cap_gal,<=-10000,4377,16.845629834892
delta_cap_gal,-10000 to -5000,2486,9.56779432706
delta_cap_gal,-5000 to -2000,2572,9.89877997151984
delta_cap_gal,-2000 to -500,1357,5.22264557595351
delta_cap_gal,-500 to <0,241,0.927529538544433
delta_cap_gal,0 (no change),2490,9.58318900819767
delta_cap_gal,>0 to 500,503,1.93588115306162
delta_cap_gal,500 to 2000,2090,8.04372089443097
delta_cap_gal,2000 to 5000,2455,9.44848554824308
delta_cap_gal,5000 to 10000,3285,12.642881884309
delta_cap_gal,>10000,4127,15.8834622637879
