delta_tanks_bin,n_events,pct_of_events,mean_cap_pct,median_cap_pct,p25_cap_pct,p75_cap_pct,share_cap_preserving
<=-5,863,3.32140245545164,418.530897188476,-48.2758620689655,-73.7986270022883,-19.5670199726008,16.6859791425261
-4,812,3.12512027094639,6615.06461706093,-39.719833593129,-71.3902376693075,-10.3639107831628,24.8768472906404
-3,2073,7.97829349959589,5526.74243413754,-26.8292682926829,-52.3809523809524,-1.35635018495684,32.9474191992282
-2,4403,16.9456952622869,3323.16238140288,-14.5785876993166,-40,13.6902197328738,45.7869634340223
-1,7128,27.4333217873225,7164.99111367453,0,-25,33.0376940133038,61.6442199775533
0,7959,30.6315667936728,5383.87742678469,10.7011070110701,0,54.5454545454546,84.5709259957281
+1,1924,7.4048416272178,18929.9222153746,64.4461191626409,25,150,95.2182952182952
+2,568,2.18604472154871,33859.8252013199,132.575757575758,53.5119047619048,353.015222482436,97.5352112676056
+3,170,0.654273948350845,42317.1616681775,237.5,88.9107611548556,937.5,99.4117647058824
+4,61,0.234768887349421,61864.9945249991,336.95652173913,136.363636363636,950,96.7213114754098
>=+5,22,0.0846707462571682,2297.6945548351,527.146171693736,61.6604740190283,2625,100
