s_idx,age,wall,regime,A_bin,w_state,rho_state,n_obs,n_maint,n_exit,n_replace,n_close,P_M,P_E,P_R,P_close,P_E_cond,P_R_cond,cell_pct
1,0-5,SW,FF,1,1,1,46709,45931,684,94,778,0.983343681089298,0.0146438587852448,0.00201246012545762,0.0166563189107024,0.879177377892031,0.120822622107969,2.04618582533671
2,5-10,SW,FF,2,1,1,97999,96548,1108,343,1451,0.985193726466597,0.0113062378187533,0.00350003571465015,0.0148062735334034,0.763611302549966,0.236388697450035,4.29305197493358
3,10-15,SW,FF,3,1,1,180163,175635,3916,612,4528,0.974867203587862,0.0217358725154443,0.00339692389669355,0.0251327964121379,0.864840989399293,0.135159010600707,7.89241852427023
4,15-20,SW,FF,4,1,1,240344,233490,6202,652,6854,0.971482541690244,0.0258046799587258,0.00271277835103019,0.028517458309756,0.904873066822294,0.0951269331777064,10.5287735983371
5,20-25,SW,FF,5,1,1,255278,248110,6724,444,7168,0.97192080790354,0.0263399117824489,0.00173928031401061,0.0280791920964595,0.938058035714286,0.0619419642857143,11.1829888269992
6,25-30,SW,FF,6,1,1,234030,228621,5145,264,5409,0.976887578515575,0.0219843609793616,0.00112806050506345,0.0231124214844251,0.951192457016084,0.0488075429839157,10.2521755700946
7,30-35,SW,FF,7,1,1,191377,187463,3738,176,3914,0.979548221573125,0.019532127685145,0.000919650741729675,0.0204517784268747,0.955033214103219,0.0449667858967808,8.38367134161434
8,35+,SW,FF,8,1,1,410728,404641,5954,133,6087,0.985179973120898,0.0144962116047603,0.000323815274342144,0.0148200268791025,0.978150156070314,0.0218498439296862,17.9928024935001
9,0-5,DW,FF,1,2,1,64621,64557,0,64,64,0.999009609879142,0,0.000990390120858544,0.000990390120858544,0,1,2.83085859725286
10,5-10,DW,FF,2,2,1,77103,76613,0,490,490,0.993644864661557,0,0.00635513533844338,0.00635513533844338,0,1,3.3776588171645
11,10-15,DW,FF,3,2,1,77966,77249,0,717,717,0.990803683656979,0,0.00919631634302132,0.00919631634302132,0,1,3.41546434430628
12,15-20,DW,FF,4,2,1,62241,61577,0,664,664,0.989331790941662,0,0.0106682090583378,0.0106682090583378,0,1,2.72659769968919
13,20-25,DW,FF,5,2,1,41520,41235,0,285,285,0.993135838150289,0,0.00686416184971098,0.00686416184971098,0,1,1.81887078438803
14,25-30,DW,FF,6,2,1,20407,20353,0,54,54,0.997353849169403,0,0.00264615083059734,0.00264615083059734,0,1,0.893971485958729
15,30-35,DW,FF,7,2,1,4872,4846,0,26,26,0.994663382594417,0,0.00533661740558292,0.00533661740558292,0,1,0.213428190306803
16,35+,DW,FF,8,2,1,2867,2856,0,11,11,0.996163236832926,0,0.0038367631670736,0.0038367631670736,0,1,0.125594955174385
17,0-5,SW,RB,1,1,2,3350,3329,18,3,21,0.993731343283582,0.00537313432835821,0.000895522388059701,0.00626865671641791,0.857142857142857,0.142857142857143,0.146753784385835
18,5-10,SW,RB,2,1,2,9999,9880,112,7,119,0.988098809880988,0.0112011201120112,0.0007000700070007,0.0119011901190119,0.941176470588235,0.0588235294117647,0.438027191066856
19,10-15,SW,RB,3,1,2,19093,18851,199,43,242,0.987325197716441,0.0104226679935055,0.00225213429005395,0.0126748022835594,0.822314049586777,0.177685950413223,0.836408956799629
20,15-20,SW,RB,4,1,2,26212,25621,539,52,591,0.977453074927514,0.0205631008698306,0.00198382420265527,0.0225469250724859,0.912013536379019,0.0879864636209814,1.14827170039448
21,20-25,SW,RB,5,1,2,36841,35835,951,55,1006,0.972693466518281,0.0258136315518037,0.00149290192991504,0.0273065334817187,0.945328031809145,0.0546719681908549,1.61389736434584
22,25-30,SW,RB,6,1,2,37789,36775,939,75,1014,0.973166794569848,0.0248485008865014,0.00198470454365027,0.0268332054301516,0.92603550295858,0.0739644970414201,1.65542649497204
23,30-35,SW,RB,7,1,2,31888,30885,932,71,1003,0.968546161565479,0.0292272955343703,0.00222654290015053,0.0314538384345208,0.929212362911266,0.0707876370887338,1.39692079895389
24,35+,SW,RB,8,1,2,30722,29428,1231,63,1294,0.957880346331619,0.0400690059240935,0.00205064774428748,0.042119653668381,0.951313755795981,0.0486862442040186,1.34584172056765
25,0-5,DW,RB,1,2,2,18813,18803,0,10,10,0.99946845266571,0,0.000531547334290119,0.000531547334290119,0,1,0.824142968850962
26,5-10,DW,RB,2,2,2,16557,16463,0,94,94,0.99432264299088,0,0.00567735700912001,0.00567735700912001,0,1,0.72531415166456
27,10-15,DW,RB,3,2,2,14499,14392,0,107,107,0.992620180702117,0,0.00737981929788261,0.00737981929788261,0,1,0.635159140241859
28,15-20,DW,RB,4,2,2,13106,12847,0,259,259,0.980238058904319,0,0.0197619410956814,0.0197619410956814,0,1,0.574135850197242
29,20-25,DW,RB,5,2,2,8677,8459,0,218,218,0.974876109254351,0,0.0251238907456494,0.0251238907456494,0,1,0.380114205109222
30,25-30,DW,RB,6,2,2,4218,4146,0,72,72,0.982930298719772,0,0.0170697012802276,0.0170697012802276,0,1,0.184778347026703
31,30-35,DW,RB,7,2,2,1770,1736,0,34,34,0.980790960451978,0,0.0192090395480226,0.0192090395480226,0,1,0.0775385666755011
32,35+,DW,RB,8,2,2,976,958,0,18,18,0.98155737704918,0,0.0184426229508197,0.0184426229508197,0,1,0.0427557294210673
