size_bin,s_idx,age,wall,regime,A_bin,w_state,rho_state,n_obs,n_close,P_M,P_E,P_R,P_close,P_E_cond,P_R_cond
1,1,0-5,SW,FF,1,1,1,9914,424,0.957232196893282,0.0390357070808957,0.00373209602582207,0.0427678031067178,0.912735849056604,0.0872641509433962
1,2,5-10,SW,FF,2,1,1,19280,575,0.970176348547718,0.0261929460580913,0.00363070539419087,0.0298236514522822,0.878260869565217,0.121739130434783
1,3,10-15,SW,FF,3,1,1,33079,1698,0.94866833942985,0.049729435593579,0.00160222497657124,0.0513316605701503,0.968786808009423,0.0312131919905772
1,4,15-20,SW,FF,4,1,1,43487,2150,0.950559937452572,0.0485432428081956,0.000896819739232414,0.049440062547428,0.981860465116279,0.0181395348837209
1,5,20-25,SW,FF,5,1,1,48906,2299,0.952991452991453,0.0467836257309942,0.000224921277552857,0.047008547008547,0.995215311004785,0.00478468899521531
1,6,25-30,SW,FF,6,1,1,49233,1539,0.968740478947048,0.0310970284158999,0.000162492637052384,0.0312595210529523,0.994801819363223,0.00519818063677713
1,7,30-35,SW,FF,7,1,1,46427,1009,0.978266956727766,0.0215822689383333,0.000150774333900532,0.0217330432722338,0.993062438057483,0.00693756194251734
1,8,35+,SW,FF,8,1,1,146549,1936,0.98678940149711,0.0131696565653809,4.09419375089561e-05,0.0132105985028898,0.996900826446281,0.00309917355371901
1,9,0-5,DW,FF,1,2,1,12009,19,0.998417853276709,0,0.00158214672329087,0.00158214672329087,0,1
1,10,5-10,DW,FF,2,2,1,17907,84,0.995309097001173,0,0.00469090299882728,0.00469090299882728,0,1
1,11,10-15,DW,FF,3,2,1,20331,45,0.997786631252767,0,0.00221336874723329,0.00221336874723329,0,1
1,12,15-20,DW,FF,4,2,1,17177,18,0.998952087093206,0,0.00104791290679397,0.00104791290679397,0,1
1,13,20-25,DW,FF,5,2,1,12403,1,0.999919374344917,0,8.06256550834476e-05,8.06256550834476e-05,0,1
1,14,25-30,DW,FF,6,2,1,6584,0,1,0,0,0,0,0
1,15,30-35,DW,FF,7,2,1,1468,0,1,0,0,0,0,0
1,16,35+,DW,FF,8,2,1,1083,0,1,0,0,0,0,0
1,17,0-5,SW,RB,1,1,2,1113,9,0.991913746630728,0.00628930817610063,0.00179694519317161,0.00808625336927224,0.777777777777778,0.222222222222222
1,18,5-10,SW,RB,2,1,2,3059,45,0.985289310232102,0.014710689767898,0,0.014710689767898,1,0
1,19,10-15,SW,RB,3,1,2,5029,61,0.98787035195864,0.0113342612845496,0.000795386756810499,0.0121296480413601,0.934426229508197,0.0655737704918033
1,20,15-20,SW,RB,4,1,2,5123,211,0.958813195393324,0.0406012102283818,0.000585594378293968,0.0411868046066758,0.985781990521327,0.014218009478673
1,21,20-25,SW,RB,5,1,2,4360,277,0.936467889908257,0.0635321100917431,0,0.0635321100917431,1,0
1,22,25-30,SW,RB,6,1,2,2896,210,0.927486187845304,0.0725138121546961,0,0.0725138121546961,1,0
1,23,30-35,SW,RB,7,1,2,2183,155,0.928996793403573,0.070545121392579,0.000458085203847916,0.0710032065964269,0.993548387096774,0.00645161290322581
1,24,35+,SW,RB,8,1,2,2597,176,0.932229495571814,0.0670003850596843,0.000770119368502118,0.0677705044281864,0.988636363636364,0.0113636363636364
1,25,0-5,DW,RB,1,2,2,4786,5,0.998955286251567,0,0.00104471374843293,0.00104471374843293,0,1
1,26,5-10,DW,RB,2,2,2,3769,13,0.996550809233218,0,0.00344919076678164,0.00344919076678164,0,1
1,27,10-15,DW,RB,3,2,2,3278,3,0.99908480780964,0,0.000915192190359976,0.000915192190359976,0,1
1,28,15-20,DW,RB,4,2,2,2942,2,0.999320190346703,0,0.000679809653297077,0.000679809653297077,0,1
1,29,20-25,DW,RB,5,2,2,1861,1,0.999462654486835,0,0.000537345513164965,0.000537345513164965,0,1
1,30,25-30,DW,RB,6,2,2,797,0,1,0,0,0,0,0
1,31,30-35,DW,RB,7,2,2,242,0,1,0,0,0,0,0
1,32,35+,DW,RB,8,2,2,78,0,1,0,0,0,0,0
2,1,0-5,SW,FF,1,1,1,16757,203,0.987885659724294,0.0106821030017306,0.00143223727397506,0.0121143402757057,0.881773399014778,0.118226600985222
2,2,5-10,SW,FF,2,1,1,31727,391,0.987676111829041,0.00986541431588237,0.00245847385507612,0.0123238881709585,0.800511508951407,0.199488491048593
2,3,10-15,SW,FF,3,1,1,45930,1186,0.974178097104289,0.0229697365556281,0.00285216634008274,0.0258219028957109,0.889544688026982,0.110455311973019
2,4,15-20,SW,FF,4,1,1,53940,1653,0.969354838709677,0.0293659621802002,0.00127919911012236,0.0306451612903226,0.958257713248639,0.0417422867513612
2,5,20-25,SW,FF,5,1,1,53894,1643,0.969514231639886,0.0295394663598916,0.000946302000222659,0.0304857683601143,0.96895922093731,0.0310407790626902
2,6,25-30,SW,FF,6,1,1,46106,1133,0.975426191818852,0.024096646857242,0.000477161323905782,0.0245738081811478,0.980582524271845,0.0194174757281553
2,7,30-35,SW,FF,7,1,1,38146,811,0.978739579510303,0.0208671944633776,0.000393226026319929,0.0212604204896975,0.981504315659679,0.0184956843403206
2,8,35+,SW,FF,8,1,1,97096,1572,0.983809837686414,0.0159738815193211,0.000216280794265469,0.0161901623135866,0.986641221374046,0.0133587786259542
2,9,0-5,DW,FF,1,2,1,23515,20,0.999149479055922,0,0.000850520944078248,0.000850520944078248,0,1
2,10,5-10,DW,FF,2,2,1,25952,94,0.996377928483354,0,0.00362207151664612,0.00362207151664612,0,1
2,11,10-15,DW,FF,3,2,1,23585,100,0.995760016959932,0,0.00423998304006784,0.00423998304006784,0,1
2,12,15-20,DW,FF,4,2,1,17922,60,0.996652159357215,0,0.0033478406427854,0.0033478406427854,0,1
2,13,20-25,DW,FF,5,2,1,10741,21,0.998044874778885,0,0.00195512522111535,0.00195512522111535,0,1
2,14,25-30,DW,FF,6,2,1,4352,6,0.998621323529412,0,0.00137867647058824,0.00137867647058824,0,1
2,15,30-35,DW,FF,7,2,1,951,1,0.998948475289169,0,0.0010515247108307,0.0010515247108307,0,1
2,16,35+,DW,FF,8,2,1,548,2,0.996350364963504,0,0.00364963503649635,0.00364963503649635,0,1
2,17,0-5,SW,RB,1,1,2,1884,11,0.99416135881104,0.00530785562632696,0.000530785562632696,0.00583864118895966,0.909090909090909,0.0909090909090909
2,18,5-10,SW,RB,2,1,2,5426,59,0.989126428308146,0.0103206782159971,0.000552893475856985,0.010873571691854,0.949152542372881,0.0508474576271187
2,19,10-15,SW,RB,3,1,2,9565,100,0.989545216936749,0.0100365917407214,0.000418191322530058,0.0104547830632514,0.96,0.04
2,20,15-20,SW,RB,4,1,2,10207,181,0.982267071617517,0.016557264622318,0.00117566376016459,0.0177329283824826,0.933701657458563,0.0662983425414365
2,21,20-25,SW,RB,5,1,2,8980,226,0.974832962138085,0.0241648106904232,0.0010022271714922,0.0251670378619154,0.960176991150442,0.0398230088495575
2,22,25-30,SW,RB,6,1,2,6680,233,0.965119760479042,0.0335329341317365,0.00134730538922156,0.0348802395209581,0.96137339055794,0.0386266094420601
2,23,30-35,SW,RB,7,1,2,5552,246,0.955691642651297,0.0435878962536023,0.000720461095100865,0.0443083573487032,0.983739837398374,0.016260162601626
2,24,35+,SW,RB,8,1,2,6884,315,0.954241719930273,0.0450319581638582,0.000726321905868681,0.0457582800697269,0.984126984126984,0.0158730158730159
2,25,0-5,DW,RB,1,2,2,9926,3,0.999697763449527,0,0.000302236550473504,0.000302236550473504,0,1
2,26,5-10,DW,RB,2,2,2,8611,59,0.993148298687725,0,0.006851701312275,0.006851701312275,0,1
2,27,10-15,DW,RB,3,2,2,6826,25,0.996337532962203,0,0.00366246703779666,0.00366246703779666,0,1
2,28,15-20,DW,RB,4,2,2,5368,36,0.993293591654247,0,0.00670640834575261,0.00670640834575261,0,1
2,29,20-25,DW,RB,5,2,2,2763,14,0.994933043792979,0,0.00506695620702135,0.00506695620702135,0,1
2,30,25-30,DW,RB,6,2,2,900,9,0.99,0,0.01,0.01,0,1
2,31,30-35,DW,RB,7,2,2,300,3,0.99,0,0.01,0.01,0,1
2,32,35+,DW,RB,8,2,2,204,1,0.995098039215686,0,0.00490196078431373,0.00490196078431373,0,1
3,1,0-5,SW,FF,1,1,1,11875,76,0.9936,0.00513684210526316,0.00126315789473684,0.0064,0.802631578947369,0.197368421052632
3,2,5-10,SW,FF,2,1,1,26390,284,0.989238347859038,0.00765441455096628,0.00310723758999621,0.0107616521409625,0.711267605633803,0.288732394366197
3,3,10-15,SW,FF,3,1,1,50962,885,0.98263411954005,0.0143047761076881,0.00306110435226247,0.0173658804599506,0.823728813559322,0.176271186440678
3,4,15-20,SW,FF,4,1,1,68760,1614,0.97652705061082,0.02065154159395,0.00282140779522979,0.0234729493891798,0.879801734820322,0.120198265179678
3,5,20-25,SW,FF,5,1,1,73388,1669,0.977257862320815,0.0212160026162315,0.00152613506295307,0.0227421376791846,0.932893948472139,0.067106051527861
3,6,25-30,SW,FF,6,1,1,66403,1458,0.978043160700571,0.0208424318178396,0.00111440748158969,0.0219568392994292,0.949245541838135,0.0507544581618656
