size_bin,regime,n_closure_events,n_partial,n_full_exit,n_full_replace,pct_partial,pct_full_exit,pct_full_replace
1,Control_FF,55774,2739,52189,846,4.91089037902966,93.5722738193424,1.516835801628
1,TX_FF,13039,375,12514,150,2.87598742234834,95.9736176087123,1.15039496893934
1,TX_RB,2453,56,2377,20,2.28291887484713,96.9017529555646,0.815328169588259
2,Control_FF,42909,9029,33023,857,21.0422055978932,76.9605444079331,1.99724999417372
2,TX_FF,9998,1239,8579,180,12.3924784956991,85.8071614322865,1.8003600720144
2,TX_RB,2825,378,2379,68,13.3805309734513,84.212389380531,2.4070796460177
3,Control_FF,35826,11810,22880,1136,32.9648858371016,63.8642326801764,3.17088148272205
3,TX_FF,8203,1946,5918,339,23.7230281604291,72.1443374375229,4.13263440204803
3,TX_RB,4117,993,2882,242,24.1195044935633,70.0024289531212,5.87806655331552
4+,Control_FF,47737,27157,19180,1400,56.8887864758992,40.1784779102164,2.93273561388441
4+,TX_FF,9276,4310,4614,352,46.4639931004744,49.7412677878396,3.79473911168607
4+,TX_RB,3036,1101,1793,142,36.2648221343874,59.0579710144928,4.6772068511199
