s_idx,A_bin,w_state,rho_state,size_boy,n,P_M,P_E,P_R,P_cl
1,1,1,1,1,11974,0.970018373141807,0.0287289126440621,0.00125271421413062,0.0299816268581928
1,1,1,1,2,20809,0.990917391513288,0.00831371041376328,0.000768898072949205,0.00908260848671248
1,1,1,1,3,15166,0.995582223394435,0.00375840696294343,0.000659369642621654,0.00441777660556508
1,1,1,1,4+,10277,0.995134766955337,0.00340566313126399,0.00145956991339885,0.00486523304466284
2,2,1,1,1,21513,0.978571096546274,0.0204062659787105,0.00102263747501511,0.0214289034537257
2,2,1,1,2,34488,0.990837392716307,0.00835073068893528,0.000811876594757597,0.00916260728369288
2,2,1,1,3,30239,0.992426998247297,0.00661397532987202,0.000959026422831443,0.00757300175270346
2,2,1,1,4+,24791,0.993183009963293,0.00451776854503651,0.00229922149167036,0.00681699003670687
3,3,1,1,1,35549,0.957607808939773,0.0408450308025542,0.00154716025767251,0.0423921910602267
3,3,1,1,2,48264,0.978099618763468,0.0201185148350738,0.00178186640145864,0.0219003812365324
3,3,1,1,3,55735,0.983475374540235,0.0140486229478784,0.00247600251188661,0.016524625459765
3,3,1,1,4+,56566,0.985963299508539,0.009864582965032,0.0041721175264293,0.0140367004914613
4,4,1,1,1,45166,0.952729929593057,0.0456538103883452,0.00161626001859806,0.0472700704069433
4,4,1,1,2,55099,0.97070727236429,0.0269514873228189,0.00234124031289134,0.0292927276357103
4,4,1,1,3,70950,0.97723749119098,0.0191825229034531,0.0035799859055673,0.0227625088090204
4,4,1,1,4+,76683,0.979408734660877,0.0147751131280727,0.00581615221105069,0.0205912653391234
5,5,1,1,1,49120,0.964596905537459,0.0345887622149837,0.000814332247557003,0.0354030944625407
5,5,1,1,2,52616,0.972707921544777,0.0253344990117075,0.00195757944351528,0.0272920784552227
5,5,1,1,3,72911,0.976245011040858,0.0196678141844166,0.00408717477472535,0.023754988959142
5,5,1,1,4+,78851,0.979340781981205,0.0150029803046252,0.00565623771416976,0.0206592180187949
6,6,1,1,1,48924,0.97408225002044,0.0251410350748099,0.000776714904750225,0.0259177499795601
6,6,1,1,2,44726,0.975428162589992,0.021933550954702,0.00263828645530564,0.0245718374100076
