s_idx,A_bin,w_state,rho_state,n_bins,cell_n,spread_Pcl,spread_PE,spread_PR
22,6,1,2,4,37456,0.0410017856473802,0.0498575511205143,0.00885576547313417
21,5,1,2,4,38090,0.0312574461112166,0.0355918630860969,0.00622160774244519
23,7,1,2,4,29759,0.0293392634424505,0.0386051008219909,0.00937406473738654
3,3,1,1,4,196114,0.0283554905687654,0.0309804478375222,0.0026249572687568
4,4,1,1,4,247898,0.0266788050678199,0.0308786972602725,0.00419989219245263
14,6,2,1,4,17294,0.0259976065286371,0.0306062213101844,0.00460861478154728
1,1,1,1,4,58226,0.0255638502526277,0.0253232495127981,0.000800200270777198
24,8,1,2,4,26028,0.0236858125925588,0.0333349397048391,0.00964912711228031
31,7,2,2,4,1456,0.0220856295040271,0.0280203476049173,0.00977198697068404
20,4,1,2,4,28211,0.0203325405058426,0.0210223244275907,0.0028060998178612
29,5,2,2,4,7755,0.0163286004056795,0.0220564087704047,0.0057278083647252
12,4,2,1,4,59733,0.0149319591851742,0.015884175888199,0.00162544195855942
13,5,2,1,4,37657,0.0147641756810378,0.0185206838407878,0.00375650815974995
5,5,1,1,4,253498,0.0147438764437458,0.0195857819103585,0.00484190546661276
28,4,2,2,4,12775,0.0146236037585106,0.0187354880394918,0.0101612025154121
2,2,1,1,4,111031,0.0146119134170188,0.015888497433674,0.00148734489691277
16,8,2,1,4,2617,0.0131089661838343,0.00807815709280316,0.00656455142231947
11,3,2,1,4,76516,0.0120153038590685,0.013211748437935,0.0025321730956149
15,7,2,1,4,3354,0.0110626223443421,0.0117232744641656,0.0025923025161881
27,3,2,2,4,14383,0.00972517615011872,0.00999667239753757,0.00250923494559901
10,2,2,1,4,79010,0.00900515951294416,0.00890142257848721,0.000458140195751457
7,7,1,1,4,181364,0.00657831100984332,0.0053031294307985,0.00481778446657461
30,6,2,2,4,3752,0.00615632802395789,0.0140097311653192,0.0109289617486339
26,2,2,2,4,16152,0.00607040926135111,0.00607040926135111,0.000240963855421687
9,1,2,1,4,75344,0.00602542111976074,0.00575525103826991,0.000666761888829088
8,8,1,1,4,378963,0.00469799610218086,0.00287845794891679,0.00211849700122903
6,6,1,1,4,228865,0.00400025288959051,0.0100230723799798,0.00602281949038932
18,2,1,2,4,11787,0.00336457659987072,0.00311642605760253,0.000565610859728507
19,3,1,2,4,20292,0.00315928484355953,0.00232629012596506,0.00111553056279431
17,1,1,2,3,4302,0.0013840830449827,0.0013840830449827,0.000399680255795364
25,1,2,2,4,21234,0.00105061273235426,0.00150883109967161,0.000458218367317345
