size_boy,A_bin,rho_state,n_all-SW,n_mixed,P_cl_all-SW,P_cl_mixed,P_E_all-SW,P_E_mixed,P_R_all-SW,P_R_mixed,d_Pcl,d_PR,d_PE,wsum
2,1,1,19761,455,0.00349172612722028,0.0021978021978022,0.00318809776833156,0.0021978021978022,0.00030362835888872,0,-0.00129392392941808,-0.00030362835888872,-0.000990295570529364,20216
2,2,1,32346,1139,0.00905830705496816,0.00614574187884109,0.00834724540901503,0.00263388937664618,0.000711061645953132,0.00351185250219491,-0.00291256517612707,0.00280079085624178,-0.00571335603236884,33485
2,3,1,44773,1765,0.0219105264333415,0.00906515580736544,0.0202577446228754,0.00623229461756374,0.00165278181046613,0.0028328611898017,-0.0128453706259761,0.00118007937933557,-0.0140254500053117,46538
2,4,1,51265,1730,0.028225885106798,0.0092485549132948,0.0259826392275432,0.00578034682080925,0.00224324587925485,0.00346820809248555,-0.0189773301935032,0.0012249622132307,-0.0202022924067339,52995
2,5,1,49165,1413,0.026299196582935,0.00778485491861288,0.0244076070375267,0.00495399858457183,0.00189158954540832,0.00283085633404105,-0.0185143416643221,0.000939266788632729,-0.0194536084529549,50578
2,6,1,42134,919,0.0236151326719514,0.0184983677910773,0.021099349693834,0.0130576713819369,0.00251578297811744,0.00544069640914037,-0.00511676488087414,0.00292491343102294,-0.00804167831189707,43053
2,7,1,35103,398,0.0187448366236504,0.0150753768844221,0.0172919693473492,0.0100502512562814,0.00145286727630117,0.0050251256281407,-0.00366945973922829,0.00357225835183953,-0.00724171809106782,35501
2,8,1,84890,300,0.0138178819648957,0.0166666666666667,0.0132171044881612,0.0166666666666667,0.000600777476734598,0,0.00284878470177092,-0.000600777476734598,0.00344956217850552,85190
3,1,1,14437,432,0.00228579344739212,0.00462962962962963,0.00173166170256979,0.00462962962962963,0.000554131744822332,0,0.00234383618223751,-0.000554131744822332,0.00289796792705984,14869
3,2,1,28121,1304,0.0073966075175136,0.00613496932515337,0.00654315280395434,0.00460122699386503,0.000853454713559262,0.00153374233128834,-0.00126163819236023,0.000680287617729082,-0.00194192581008931,29425
3,3,1,50793,2309,0.0161833323489457,0.0116933737548722,0.0139586163447719,0.00606323083585968,0.0022247160041738,0.00563014291901256,-0.00448995859407348,0.00340542691483876,-0.00789538550891224,53102
3,3,2,3511,288,0.00740529763600114,0.00347222222222222,0.00541156365707776,0.00347222222222222,0.00199373397892338,0,-0.00393307541377892,-0.00199373397892338,-0.00193934143485553,3799
3,4,1,65098,2419,0.0223509170788657,0.0144687887556842,0.0188638667854619,0.00909466721785862,0.00348705029340379,0.00537412153782555,-0.00788212832318154,0.00188707124442176,-0.0097691995676033,67517
3,4,2,8186,349,0.0178353286098216,0.0114613180515759,0.0152699731248473,0.00573065902578797,0.00256535548497435,0.00573065902578797,-0.00637401055824572,0.00316530354081362,-0.00953931409905933,8535
3,5,1,67417,2003,0.0233620600145364,0.0169745381927109,0.0193868015485708,0.00998502246630055,0.00397525846596556,0.00698951572641038,-0.00638752182182546,0.00301425726044483,-0.00940177908227029,69420
3,5,2,14945,300,0.0196052191368351,0.0266666666666667,0.0155235864837738,0.02,0.00408163265306122,0.00666666666666667,0.00706144752983161,0.00258503401360544,0.00447641351622616,15245
3,6,1,60294,1279,0.0250937074999171,0.0226739640344019,0.0197532092745547,0.0164190774042221,0.00534049822536239,0.00625488663017983,-0.0024197434655152,0.000914388404817437,-0.00333413187033263,61573
3,6,2,16752,215,0.0252507163323782,0.0325581395348837,0.0173710601719198,0.0186046511627907,0.00787965616045845,0.013953488372093,0.0073074232025055,0.00607383221163457,0.00123359099087093,16967
3,7,1,44719,612,0.0245085981350209,0.00816993464052288,0.0192982848453677,0.00816993464052288,0.00521031328965317,0,-0.016338663494498,-0.00521031328965317,-0.0111283502048449,45331
3,8,1,68988,411,0.0155969154055778,0.024330900243309,0.0133356525772598,0.0170316301703163,0.00226126282831797,0.0072992700729927,0.00873398483773122,0.00503800724467473,0.00369597759305649,69399
4+,1,1,9342,788,0.00267608649111539,0.00253807106598985,0.00181973881395847,0,0.000856347677156926,0.00253807106598985,-0.000138015425125545,0.00168172338883292,-0.00181973881395847,10130
4+,2,1,21852,2404,0.00640673622551712,0.0103993344425957,0.00462200256269449,0.00291181364392679,0.00178473366282263,0.00748752079866889,0.00399259821707856,0.00570278713584626,-0.0017101889187677,24256
4+,3,1,48869,5237,0.0137919744623381,0.0131754821462669,0.010149583580593,0.00458277639870155,0.00364239088174507,0.0085927057475654,-0.000616492316071141,0.00495031486582033,-0.00556680718189147,54106
4+,3,2,1141,232,0.007011393514461,0,0.00613496932515337,0,0.000876424189307625,0,-0.007011393514461,-0.000876424189307625,-0.00613496932515337,1373
