size_boy,A_bin,rho_state,wall_comp,n,P_E,P_R,P_cl
1,1,1,all-SW,11288,0.00788447909284196,0.000531537916371368,0.00841601700921332
1,1,2,all-SW,1423,0,0,0
1,2,1,all-SW,20626,0.0202172015902259,0.000969649956365752,0.0211868515465917
1,2,2,all-SW,3514,0.00569151963574274,0.000569151963574274,0.00626067159931702
1,3,1,all-SW,33705,0.0392523364485981,0.00145379023883697,0.0407061266874351
1,3,2,all-SW,5108,0.00704776820673453,0.00156617071260767,0.00861393891934221
1,4,1,all-SW,42524,0.0438811024362713,0.00159909698052864,0.0454801994167999
1,4,2,all-SW,4901,0.0297898388084065,0.000816159967353601,0.0306059987757601
1,5,1,all-SW,46373,0.0325836154658961,0.0008410066202316,0.0334246220861277
1,5,2,all-SW,3800,0.048421052631579,0,0.048421052631579
1,6,1,all-SW,46363,0.0230140413691953,0.000754912322325993,0.0237689536915213
1,6,2,all-SW,2553,0.0654132393262828,0.000783392087739914,0.0661966314140227
1,7,1,all-SW,43442,0.0162055153998435,0.000368307168178261,0.0165738225680217
1,7,2,all-SW,1871,0.0625334045964725,0.00160342063067878,0.0641368252271513
1,8,1,all-SW,127697,0.0103996178453683,0.000164451788217421,0.0105640696335858
1,8,2,all-SW,2052,0.0662768031189084,0.00146198830409357,0.067738791423002
2,1,1,all-SW,19761,0.00318809776833156,0.00030362835888872,0.00349172612722028
2,1,1,mixed,455,0.0021978021978022,0,0.0021978021978022
2,1,2,all-SW,2461,0.000406338886631451,0.000406338886631451,0.000812677773262901
2,1,2,mixed,16,0,0,0
2,2,1,all-SW,32346,0.00834724540901503,0.000711061645953132,0.00905830705496816
2,2,1,mixed,1139,0.00263388937664618,0.00351185250219491,0.00614574187884109
2,2,2,all-SW,6133,0.00260883743681722,0.000326104679602152,0.00293494211641937
2,2,2,mixed,128,0,0,0
2,3,1,all-SW,44773,0.0202577446228754,0.00165278181046613,0.0219105264333415
2,3,1,mixed,1765,0.00623229461756374,0.0028328611898017,0.00906515580736544
2,3,2,all-SW,9742,0.00677478957092999,0.001129131595155,0.00790392116608499
2,3,2,mixed,190,0.0105263157894737,0,0.0105263157894737
2,4,1,all-SW,51265,0.0259826392275432,0.00224324587925485,0.028225885106798
2,4,1,mixed,1730,0.00578034682080925,0.00346820809248555,0.0092485549132948
2,4,2,all-SW,9838,0.0121976011384428,0.00142305346615166,0.0136206546045944
2,4,2,mixed,149,0.0268456375838926,0.00671140939597315,0.0335570469798658
2,5,1,all-SW,49165,0.0244076070375267,0.00189158954540832,0.026299196582935
2,5,1,mixed,1413,0.00495399858457183,0.00283085633404105,0.00778485491861288
2,5,2,all-SW,8224,0.0232247081712062,0.00194552529182879,0.025170233463035
