s_idx,action,fitted,resolved,abs_diff
17,maintain,0.981287,0.975834,0.00545251
18,maintain,0.980262,0.975283,0.00497907
19,maintain,0.978132,0.973481,0.0046503
20,maintain,0.975018,0.970786,0.0042318
21,maintain,0.972685,0.96918,0.00350584
22,maintain,0.97286,0.969535,0.003325
23,maintain,0.973143,0.970184,0.002959
24,maintain,0.973044,0.970509,0.00253486
25,maintain,0.989524,0.991701,0.00217625
26,maintain,0.991357,0.992894,0.00153704
27,maintain,0.991471,0.992999,0.00152817
28,maintain,0.99113,0.992832,0.00170295
29,maintain,0.991126,0.993017,0.0018913
30,maintain,0.990587,0.992736,0.00214871
31,maintain,0.988568,0.991775,0.00320732
32,maintain,0.983869,0.98946,0.00559132
17,exit,0.016272,0.022683,0.00641034
18,exit,0.017164,0.0232,0.00603673
19,exit,0.019016,0.024892,0.00587528
20,exit,0.021724,0.027421,0.00569752
21,exit,0.023752,0.028929,0.00517719
22,exit,0.023601,0.028596,0.00499542
23,exit,0.023354,0.027986,0.00463228
24,exit,0.02344,0.027681,0.00424099
25,exit,0.008165,7.9e-05,0.00808585
26,exit,0.006737,6.8e-05,0.00666873
27,exit,0.006648,6.7e-05,0.00658134
28,exit,0.006914,6.9e-05,0.00684559
29,exit,0.006917,6.7e-05,0.0068503
30,exit,0.007337,6.9e-05,0.00726717
31,exit,0.008911,7.9e-05,0.00883197
32,exit,0.012573,0.000101,0.01247253
17,replace,0.002441,0.001483,0.00095783
18,replace,0.002574,0.001517,0.00105766
19,replace,0.002852,0.001627,0.00122498
20,replace,0.003258,0.001793,0.00146572
21,replace,0.003562,0.001891,0.00167134
22,replace,0.00354,0.001869,0.00167042
23,replace,0.003503,0.001829,0.00167328
24,replace,0.003516,0.001809,0.00170614
25,replace,0.00231,0.00822,0.0059096
26,replace,0.001906,0.007038,0.0051317
27,replace,0.001881,0.006934,0.00505317
28,replace,0.001956,0.007099,0.00514264
29,replace,0.001957,0.006916,0.004959
30,replace,0.002076,0.007194,0.00511846
31,replace,0.002521,0.008146,0.00562465
32,replace,0.003558,0.010439,0.0068812
