action,size_bin,n,rate_pct
Maintain,1,513086,96.8611
Maintain,2,561930,96.6984
Maintain,3,596099,96.9519
Maintain,4+,537732,96.7539
Maintain,All,2208847,96.7632
Exit,1,12434,2.3473
Exit,2,9622,1.6558
Exit,3,9707,1.5788
Exit,4+,7487,1.3471
Exit,All,39702,1.7392
Downsize,2,1061,0.1826
Downsize,3,1467,0.2386
Downsize,4+,4506,0.8108
Downsize,All,7034,0.3081
Replace,1,491,0.0927
Replace,2,975,0.1678
Replace,3,2249,0.3658
Replace,4+,2284,0.411
Replace,All,6000,0.2628
Expansion,1,3702,0.6989
Expansion,2,7528,1.2954
Expansion,3,5318,0.8649
Expansion,4+,3764,0.6773
Expansion,All,21152,0.9266
