action,size_bin,has_SW,n_events,event_rate
Exit,1,0,3257,0.024398
Exit,1,1,9177,0.023162
Exit,2,0,1904,0.01197
Exit,2,1,7718,0.018287
Exit,3,0,1360,0.010346
Exit,3,1,8347,0.017267
Exit,4+,0,804,0.009815
Exit,4+,1,6683,0.014103
Downsize,1,0,0,0
Downsize,1,1,0,0
Downsize,2,0,171,0.001075
Downsize,2,1,890,0.002109
Downsize,3,0,158,0.001202
Downsize,3,1,1309,0.002708
Downsize,4+,0,394,0.00481
Downsize,4+,1,4112,0.008678
Replace,1,0,127,0.000951
Replace,1,1,364,0.000919
Replace,2,0,198,0.001245
Replace,2,1,777,0.001841
Replace,3,0,291,0.002214
Replace,3,1,1958,0.004051
Replace,4+,0,192,0.002344
Replace,4+,1,2092,0.004415
