wall,age_bin,era,p_cell
DW,1,2006,247.8
DW,1,2014,247.8
DW,1,2019,226.56
DW,1,2021,226.56
DW,2,2006,283.2
DW,2,2014,283.2
DW,2,2019,254.88
DW,2,2021,254.88
DW,3,2006,300.9
DW,3,2014,300.9
DW,3,2019,283.2
DW,3,2021,283.2
DW,4,2006,318.6
DW,4,2014,318.6
DW,4,2019,318.6
DW,4,2021,318.6
DW,5,2006,354
DW,5,2014,354
DW,5,2019,354
DW,5,2021,354
DW,6,2006,371.7
DW,6,2014,371.7
DW,6,2019,371.7
DW,6,2021,371.7
DW,7,2006,371.7
DW,7,2014,407.1
DW,7,2019,407.1
DW,7,2021,407.1
DW,8,2006,371.7
DW,8,2014,442.5
DW,8,2019,442.5
DW,8,2021,442.5
SW,1,2006,318.6
SW,1,2014,318.6
SW,1,2019,297.36
SW,1,2021,297.36
SW,2,2006,354
SW,2,2014,354
SW,2,2019,325.68
SW,2,2021,325.68
SW,3,2006,371.7
SW,3,2014,371.7
SW,3,2019,354
SW,3,2021,354
SW,4,2006,389.4
SW,4,2014,389.4
SW,4,2019,389.4
SW,4,2021,389.4
SW,5,2006,424.8
SW,5,2014,424.8
SW,5,2019,424.8
SW,5,2021,424.8
SW,6,2006,442.5
SW,6,2014,442.5
SW,6,2019,442.5
SW,6,2021,442.5
SW,7,2006,442.5
SW,7,2014,477.9
SW,7,2019,477.9
SW,7,2021,477.9
SW,8,2006,442.5
SW,8,2014,513.3
SW,8,2019,513.3
SW,8,2021,513.3
