action,size_bin,k_shed,n_events,exact_match_share,mean_L1,wall_violation_share,ageband_violation_share
Downsize,2,1,1027,0.761441,0.238559,0.042843,0.195716
Downsize,2,2+,1,1,0,0,0
Downsize,3,1,1061,0.791706,0.208294,0.039585,0.170594
Downsize,3,2+,403,0.729529,0.270471,0.029777,0.248139
Downsize,4+,1,2529,0.730328,0.269672,0.050217,0.227363
Downsize,4+,2+,1992,0.669177,0.59739,0.055723,0.290161
Replace,1,1,441,1,0,0,0
Replace,2,1,122,0.877049,0.122951,0.02459,0.098361
Replace,2,2+,900,1,0,0,0
Replace,3,1,124,0.862903,0.137097,0.048387,0.096774
Replace,3,2+,2326,0.994411,0.005589,0.00086,0.004729
Replace,4+,1,193,0.720207,0.279793,0.082902,0.202073
Replace,4+,2+,2241,0.947345,0.100402,0.00714,0.046854
