pred_wall,pred_bin,real_wall,real_bin,n,share_within_pred
DW,1,DW,1,39,1
DW,2,DW,1,2,0.010582
DW,2,DW,2,187,0.989418
DW,3,DW,1,4,0.007194
DW,3,DW,2,11,0.019784
DW,3,DW,3,541,0.973022
DW,4,DW,2,1,0.001441
DW,4,DW,3,25,0.036023
DW,4,DW,4,668,0.962536
DW,5,DW,2,2,0.003922
DW,5,DW,3,5,0.009804
DW,5,DW,4,10,0.019608
DW,5,DW,5,493,0.966667
DW,6,DW,1,1,0.002833
DW,6,DW,3,3,0.008499
DW,6,DW,4,4,0.011331
DW,6,DW,5,7,0.01983
DW,6,DW,6,338,0.957507
DW,7,DW,4,2,0.020408
DW,7,DW,5,4,0.040816
DW,7,DW,6,4,0.040816
DW,7,DW,7,88,0.897959
DW,8,DW,3,1,0.010638
DW,8,DW,5,2,0.021277
DW,8,DW,6,1,0.010638
DW,8,DW,7,1,0.010638
DW,8,DW,8,89,0.946809
SW,1,DW,1,1,0.014706
SW,1,DW,3,3,0.044118
SW,1,DW,4,3,0.044118
SW,1,DW,6,1,0.014706
SW,1,DW,8,1,0.014706
SW,1,SW,1,59,0.867647
SW,2,DW,1,1,0.003802
SW,2,DW,2,6,0.022814
SW,2,DW,4,2,0.007605
SW,2,DW,5,1,0.003802
SW,2,SW,1,3,0.011407
SW,2,SW,2,250,0.95057
SW,3,DW,1,4,0.001919
SW,3,DW,2,6,0.002879
SW,3,DW,3,28,0.013436
SW,3,DW,4,4,0.001919
SW,3,DW,5,3,0.00144
SW,3,DW,7,1,0.00048
SW,3,SW,1,3,0.00144
SW,3,SW,2,31,0.014875
SW,3,SW,3,2004,0.961612
SW,4,DW,1,5,0.001117
SW,4,DW,2,6,0.001341
SW,4,DW,3,7,0.001564
SW,4,DW,4,25,0.005587
SW,4,DW,5,1,0.000223
SW,4,DW,7,1,0.000223
SW,4,DW,8,5,0.001117
SW,4,SW,1,13,0.002905
SW,4,SW,2,27,0.006034
SW,4,SW,3,133,0.029721
SW,4,SW,4,4252,0.950168
SW,5,DW,2,4,0.000736
SW,5,DW,3,12,0.002207
SW,5,DW,4,26,0.004782
SW,5,DW,5,18,0.003311
SW,5,DW,6,1,0.000184
SW,5,DW,8,3,0.000552
SW,5,SW,1,1,0.000184
SW,5,SW,2,18,0.003311
SW,5,SW,3,94,0.017289
SW,5,SW,4,169,0.031083
SW,5,SW,5,5091,0.936362
SW,6,DW,1,3,0.000544
SW,6,DW,2,7,0.00127
SW,6,DW,3,8,0.001452
SW,6,DW,4,18,0.003267
SW,6,DW,5,7,0.00127
SW,6,DW,6,17,0.003085
SW,6,DW,7,1,0.000181
SW,6,DW,8,5,0.000907
SW,6,SW,1,5,0.000907
SW,6,SW,2,21,0.003811
SW,6,SW,3,90,0.016334
SW,6,SW,4,96,0.017423
SW,6,SW,5,148,0.02686
SW,6,SW,6,5084,0.922686
SW,7,DW,1,3,0.000655
SW,7,DW,2,9,0.001966
SW,7,DW,3,6,0.001311
SW,7,DW,4,15,0.003277
SW,7,DW,5,11,0.002403
SW,7,DW,6,12,0.002622
SW,7,DW,7,2,0.000437
SW,7,DW,8,3,0.000655
SW,7,SW,1,3,0.000655
SW,7,SW,2,16,0.003496
SW,7,SW,3,84,0.018353
SW,7,SW,4,130,0.028403
SW,7,SW,5,100,0.021848
SW,7,SW,6,103,0.022504
SW,7,SW,7,4080,0.891414
SW,8,DW,1,4,0.000702
SW,8,DW,2,22,0.003858
SW,8,DW,3,46,0.008067
SW,8,DW,4,43,0.007541
SW,8,DW,5,46,0.008067
SW,8,DW,6,27,0.004735
SW,8,DW,7,2,0.000351
SW,8,DW,8,3,0.000526
SW,8,SW,1,11,0.001929
SW,8,SW,2,29,0.005086
SW,8,SW,3,104,0.018239
SW,8,SW,4,190,0.033322
SW,8,SW,5,272,0.047703
SW,8,SW,6,248,0.043494
SW,8,SW,7,182,0.031919
SW,8,SW,8,4473,0.784462
