panel_year,group,n_installs,dw_share
1999,Control,7167,0.374076
1999,TX,1537,0.482108
2000,Control,4045,0.442274
2000,TX,1227,0.524042
2001,Control,3662,0.488531
2001,TX,1000,0.56
2002,Control,2851,0.585759
2002,TX,704,0.5
2003,Control,2481,0.570335
2003,TX,678,0.557522
2004,Control,2353,0.581385
2004,TX,653,0.574273
2005,Control,2449,0.59657
2005,TX,591,0.57022
2006,Control,2707,0.656077
2006,TX,602,0.519934
2007,Control,2283,0.702584
2007,TX,519,0.527938
2008,Control,1977,0.762266
2008,TX,600,0.626667
2009,Control,1506,0.851262
2009,TX,392,1
2010,Control,1569,0.89675
2010,TX,486,1
2011,Control,1656,0.904589
2011,TX,552,1
2012,Control,1814,0.936604
2012,TX,791,1
2013,Control,1901,0.953709
2013,TX,817,1
2014,Control,2101,0.976202
2014,TX,833,1
2015,Control,2058,0.976676
2015,TX,911,1
2016,Control,1972,0.987323
2016,TX,850,1
2017,Control,1978,0.972194
2017,TX,775,1
2018,Control,1134,0.981481
2018,TX,730,1
2019,Control,605,1
2019,TX,714,1
