outcome,panel,col,beta,se,p,stars,n,ctrl_mean,sample
facility_exit,A_exit,col1,0.011577,0.003858,0.008,***,3028719,0.000171,reform_cem_unconditional
facility_exit,A_exit,col2,0.011509,0.004148,0.013,**,3028689,0.000171,reform_cem_unconditional
facility_exit,A_exit,col3,0.011805,0.004028,0.0093,***,3028719,0.000171,reform_cem_unconditional
facility_exit,A_exit,col4,,,,,,0.000171,reform_cem_unconditional
replacement_closure_year,B_upgrade,col1,0.002599,0.001533,0.1083,"",3028719,0.01205,reform_cem_unconditional
replacement_closure_year,B_upgrade,col2,0.001642,0.000948,0.1014,"",3028689,0.01205,reform_cem_unconditional
replacement_closure_year,B_upgrade,col3,0.002458,0.001562,0.1341,"",3028719,0.01205,reform_cem_unconditional
replacement_closure_year,B_upgrade,col4,,,,,,0.01205,reform_cem_unconditional
permanent_closure_year,C_shrink,col1,0.011466,0.003481,0.0043,***,3028719,0.014713,reform_cem_unconditional
permanent_closure_year,C_shrink,col2,0.010553,0.004143,0.0208,**,3028689,0.014713,reform_cem_unconditional
permanent_closure_year,C_shrink,col3,0.011661,0.003723,0.0061,***,3028719,0.014713,reform_cem_unconditional
permanent_closure_year,C_shrink,col4,,,,,,0.014713,reform_cem_unconditional
