outcome,row_label,col,beta,se,p,stars,n,ctrl_mean
single_to_double_year,"SW Tank Removed, DW Tank Installed (0/1)",col1,0.001521,0.000335,0.0003,***,3028719,0.002127
single_to_double_year,"SW Tank Removed, DW Tank Installed (0/1)",col2,0.001155,0.000568,0.0581,*,3028689,0.002127
single_to_double_year,"SW Tank Removed, DW Tank Installed (0/1)",col3,0.001393,0.000587,0.0297,**,3028719,0.002127
single_to_double_year,"SW Tank Removed, DW Tank Installed (0/1)",col4,,,,,,0.002127
double_walled_installed_year,Any DW Tank Installed This Year (0/1),col1,0.000225,0.002494,0.9293,"",3028719,0.010633
double_walled_installed_year,Any DW Tank Installed This Year (0/1),col2,-0.000703,0.000879,0.4346,"",3028689,0.010633
double_walled_installed_year,Any DW Tank Installed This Year (0/1),col3,-0.000651,0.000827,0.4421,"",3028719,0.010633
double_walled_installed_year,Any DW Tank Installed This Year (0/1),col4,,,,,,0.010633
net_tank_change,Net Change in Tank Count (continuous),col1,-0.026591,0.009777,0.0146,**,2923453,-0.015817
net_tank_change,Net Change in Tank Count (continuous),col2,-0.022381,0.011792,0.0748,*,2923424,-0.015817
net_tank_change,Net Change in Tank Count (continuous),col3,-0.02544,0.010447,0.0262,**,2923453,-0.015817
net_tank_change,Net Change in Tank Count (continuous),col4,,,,,,-0.015817
capacity_change_year,"Change in Total Capacity, gallons (continuous)",col1,-3148.227786,2949.490949,0.3007,"",2923453,-1057.096481
capacity_change_year,"Change in Total Capacity, gallons (continuous)",col2,-3501.159805,3364.990612,0.3127,"",2923424,-1057.096481
capacity_change_year,"Change in Total Capacity, gallons (continuous)",col3,-3363.634435,3198.011351,0.3076,"",2923453,-1057.096481
capacity_change_year,"Change in Total Capacity, gallons (continuous)",col4,,,,,,-1057.096481
n_sw_eoy,Single-Wall Tanks at End of Year (continuous),col1,-0.060372,0.065644,0.3706,"",3028719,2.730716
n_sw_eoy,Single-Wall Tanks at End of Year (continuous),col2,-0.082129,0.05461,0.151,"",3028689,2.730716
n_sw_eoy,Single-Wall Tanks at End of Year (continuous),col3,-0.070255,0.059153,0.2513,"",3028719,2.730716
n_sw_eoy,Single-Wall Tanks at End of Year (continuous),col4,,,,,,2.730716
n_dw_eoy,Double-Wall Tanks at End of Year (continuous),col1,-0.04375,0.035708,0.2372,"",3028719,0.145043
n_dw_eoy,Double-Wall Tanks at End of Year (continuous),col2,-0.022725,0.014934,0.1465,"",3028689,0.145043
n_dw_eoy,Double-Wall Tanks at End of Year (continuous),col3,-0.032576,0.015124,0.0459,**,3028719,0.145043
n_dw_eoy,Double-Wall Tanks at End of Year (continuous),col4,,,,,,0.145043
pct_sw,Share of Portfolio That Is Single-Wall (0--1),col1,-0.00049,0.012495,0.9692,"",3028719,0.924159
pct_sw,Share of Portfolio That Is Single-Wall (0--1),col2,-0.008779,0.007542,0.2605,"",3028689,0.924159
pct_sw,Share of Portfolio That Is Single-Wall (0--1),col3,-0.005046,0.007807,0.5266,"",3028719,0.924159
pct_sw,Share of Portfolio That Is Single-Wall (0--1),col4,,,,,,0.924159
