rel_year,est,se,ci_lo,ci_hi,margin,period
-13,4.51231015011324e-05,0.00149948325585534,-0.00289386407997534,0.00298411028297761,closure_share,pre
-12,-0.000528408952839892,0.00134145034589088,-0.00315765163078602,0.00210083372510623,closure_share,pre
-11,0.00327241940037762,0.00165447952382706,2.96395336765827e-05,0.00651519926707865,closure_share,pre
-10,-0.00137425005261672,0.0020752524185103,-0.0054417447928969,0.00269324468766347,closure_share,pre
-9,0.000427036297987979,0.00219290874715342,-0.00387106484643272,0.00472513744240868,closure_share,pre
-8,0.00291938213081447,0.00212673191267923,-0.00124901241803682,0.00708777667966575,closure_share,pre
-7,0.00499230481026764,0.002024961926297,0.00102337943472551,0.00896123018580977,closure_share,pre
-6,0.00134623466205384,0.00103493900680882,-0.00068224579129145,0.00337471511539913,closure_share,pre
-5,-0.000474202815731779,0.00128504536598505,-0.00299289173306247,0.00204448610159891,closure_share,pre
-4,0.00104319140105668,0.00159996410633316,-0.00209273824735631,0.00417912104946967,closure_share,pre
-3,0.00196577331761865,0.000825696060299565,0.000347409039431501,0.00358413759580579,closure_share,pre
-2,0.00225251489149023,0.000720469532818201,0.000840394607166553,0.0036646351758139,closure_share,pre
-1,0,0,0,0,closure_share,pre
0,-0.00289419972507163,0.00137059181917807,-0.00558055969066064,-0.000207839759482614,closure_share,event
1,0.0310514793761324,0.00798369824786505,0.0154034308103169,0.0466995279419479,closure_share,post
2,0.0108127454455379,0.00361418876707965,0.0037289354620618,0.017896555429014,closure_share,post
3,0.0130460607012423,0.00390875402608271,0.0053849028101202,0.0207072185923644,closure_share,post
4,0.0160857318465729,0.00367471938121136,0.00888328185939868,0.0232881818337472,closure_share,post
5,0.0164634142416058,0.00381161202297771,0.00899265467656945,0.0239341738066421,closure_share,post
6,0.0125255467829564,0.00374174761721262,0.00519172145321968,0.0198593721126932,closure_share,post
7,0.0101517722461429,0.00361792038572007,0.0030606482901316,0.0172428962021543,closure_share,post
8,0.01108669810793,0.0037927654969002,0.00365287773400558,0.0185205184818544,closure_share,post
9,0.0255120417851384,0.00493659696545949,0.0158363117328378,0.035187771837439,closure_share,post
10,0.0161254097523397,0.0047806197545452,0.0067553950334311,0.0254954244712483,closure_share,post
11,0.012213983488822,0.00460301888595793,0.0031920664723445,0.0212359005052996,closure_share,post
12,0.0160710415008923,0.00425492513763578,0.00773138823112622,0.0244106947706585,closure_share,post
13,0.0113345241316438,0.00392255099902509,0.0036463241735546,0.0190227240897329,closure_share,post
14,0.0106476847353004,0.00415089709225751,0.00251192643447567,0.0187834430361251,closure_share,post
15,0.0117388887059198,0.0042308503562924,0.00344642200758669,0.0200313554042529,closure_share,post
16,0.0162066282123042,0.0040924718125634,0.00818538345967997,0.0242278729649285,closure_share,post
17,0.0153590888466957,0.00411091326073803,0.00730169885564919,0.0234164788377423,closure_share,post
18,0.0191378367085775,0.00442518935769508,0.0104644655674951,0.0278112078496598,closure_share,post
19,0.0200222363320824,0.00504527120306354,0.0101335047740778,0.0299109678900869,closure_share,post
20,0.0234022839863452,0.00481791279902503,0.0139591749002562,0.0328453930724343,closure_share,post
21,0.0301149247510307,0.00468300179910959,0.0209362412247759,0.0392936082772855,closure_share,post
22,0.030048066616843,0.00370110267102452,0.0227939053816349,0.037302227852051,closure_share,post
-13,0.003550313221365,0.00176695109622142,8.70890727710165e-05,0.00701353736995898,downsize,pre
-12,0.00220188780047079,0.00182708853066574,-0.00137920571963406,0.00578298132057563,downsize,pre
-11,0.00879506282225709,0.00168640181595507,0.00548971526298516,0.012100410381529,downsize,pre
-10,0.000492723283455638,0.00233130042186658,-0.00407662554340285,0.00506207211031413,downsize,pre
-9,0.00222804307083562,0.0022108076147885,-0.00210513985414984,0.00656122599582108,downsize,pre
-8,0.00399643537335641,0.00244808200186911,-0.000801805350307054,0.00879467609701987,downsize,pre
-7,0.00781152170457024,0.0020114118337617,0.00386915451039731,0.0117538888987432,downsize,pre
-6,0.00220453320010933,0.00142547822089618,-0.000589404112847188,0.00499847051306584,downsize,pre
-5,-0.000362598440744061,0.00171734466794026,-0.00372859398990697,0.00300339710841885,downsize,pre
-4,0.00059916330977835,0.00165609905375241,-0.00264679083557638,0.00384511745513308,downsize,pre
-3,0.00212390004783087,0.000801489225499531,0.000552981165851793,0.00369481892980995,downsize,pre
-2,0.00233101197077165,0.000903813438314508,0.000559537631675215,0.00410248630986809,downsize,pre
-1,0,0,0,0,downsize,pre
0,-0.0040836228289422,0.00174771236868459,-0.00750913907156399,-0.000658106586320411,downsize,event
1,0.00229776930811097,0.00144263423984449,-0.000529793801984224,0.00512533241820617,downsize,post
2,0.00412055651420714,0.00125654620953296,0.00165772594352254,0.00658338708489175,downsize,post
3,0.00477762695279366,0.00127143012296384,0.00228562391178452,0.00726962999380279,downsize,post
4,0.0049556276605261,0.0012270797290772,0.0025505513915348,0.00736070392951741,downsize,post
5,0.00603159500645586,0.00136588214192226,0.00335446600828823,0.00870872400462349,downsize,post
6,0.00564593828143302,0.00131077485132418,0.00307681957283764,0.00821505699002841,downsize,post
7,0.00299196790486089,0.00124343474773262,0.000554835799304955,0.00542910001041683,downsize,post
