margin,dimension,did_term,did_Z,se_Z,p_Z
closure_share,gas_station,0.00508480629576545,0.0182402032739071,0.00163037586599249,2.91743647504238e-09
closure_share,rural,0.018143328968279,-0.00410028869617327,0.00031984750241588,3.63909945714847e-10
closure_share,low_pop,0.0176388337012823,-0.00137060490742093,0.000311568984212848,0.000391989823554144
closure_share,low_income,0.0188510197258278,-0.00277578064889253,0.000379349099441089,1.20289979171944e-06
closure_share,high_pov,0.0189047945365717,-0.00253698554257764,0.000359145604746582,1.90207486496561e-06
closure_share,thin_market,0.0273295654414609,-0.0128148878387528,0.000997552544718398,3.52317168965768e-10
facility_exit,gas_station,0.00829627939392379,0.00687260407151073,0.00158240605177529,0.000442000889345895
facility_exit,rural,0.0144998133589034,-0.00420587982170789,0.000276407788886004,2.46662549360204e-11
facility_exit,low_pop,0.0137967261215921,-0.000672807311487369,0.00025616441917809,0.0176837559546255
facility_exit,low_income,0.0124215256972802,0.00215587519233995,0.000372471642816344,2.18386088605811e-05
facility_exit,high_pov,0.0124663317349994,0.00179508358618658,0.000369079957283734,0.000145888970897002
facility_exit,thin_market,0.0247413468363349,-0.0163918156482137,0.000853067379811605,5.75125601364949e-13
downsize,gas_station,-0.00272254840396541,0.00875368565221219,0.000266334337245029,7.93514573500079e-17
downsize,rural,0.00278603356279934,-0.000583940347829024,9.07633331713254e-05,6.17862883569107e-06
downsize,low_pop,0.00298195471452753,-0.00123467311221915,0.000108823606719284,2.36107582158131e-09
downsize,low_income,0.00479459022560921,-0.00378746102004376,0.000122094522857147,2.08842342557213e-16
downsize,high_pov,0.00494490309992028,-0.00353949434316221,0.000110159627293013,1.15986615357882e-16
downsize,thin_market,0.00286559313689989,0.000674755560591178,0.000134530630882245,0.00010605454920787
consolidate,gas_station,-0.00175595172580869,0.00225241979351763,0.000144612910303598,1.70108719752501e-11
consolidate,rural,-0.000422636148820617,0.000568535185976203,3.69727618287742e-05,2.08649962019693e-11
consolidate,low_pop,-0.000434892739193489,0.000520263411928487,3.83334441926743e-05,1.49755453861123e-10
consolidate,low_income,0.000253139580007735,-0.000996738861685132,4.66994517675765e-05,1.03139005606565e-13
consolidate,high_pov,0.000374379736543512,-0.00105710649151546,4.24671850996628e-05,8.154100820865e-15
consolidate,thin_market,-0.000506284483497754,0.00111519407862328,5.50358729224447e-05,2.41699256587412e-13
repl_share,gas_station,-0.00253477861321691,0.00889764880787177,0.000116910312583706,5.5554302234352e-23
repl_share,rural,0.00305253237624801,-0.00105890648232864,6.52356266081408e-05,8.79250269171243e-12
repl_share,low_pop,0.0032575854458309,-0.00168950501774848,7.07148075359698e-05,1.60795285907946e-14
repl_share,low_income,0.0046378427584317,-0.00321809801458838,8.53512170509476e-05,7.92414023549238e-18
repl_share,high_pov,0.0045002835591343,-0.00260303596708782,7.30523385819694e-05,2.04762142680769e-17
repl_share,thin_market,0.00306981715683192,0.00133211194424825,0.000128567938092282,9.18168003631102e-09
