outcome,beta,se,ci_lo,ci_hi,p,n
closure_share,0.0161500446011348,0.00458818031004959,0.00715721119343762,0.025142878008832,0.00262802170919626,3443560
any_closure,0.0182766516081841,0.00462621038423809,0.0092092792550774,0.0273440239612907,0.00103182686869176,3443560
facility_exit,0.0124654764520785,0.00453099860195823,0.00358471919224041,0.0213462337119167,0.0136349636167773,3443560
downsize,0.00258778812778711,0.00086826440678553,0.000885989890487471,0.00428958636508675,0.00839795507765409,3443560
consolidate,-0.000389543610464001,0.000320212206077881,-0.00101715953437665,0.000238072313448646,0.240409149098424,3443560
reconfigure_up,0.00156420694661302,0.000306792447209765,0.00096289375008188,0.00216552014314416,8.92008545909853e-05,3443560
perm_share,0.0133017745712798,0.00443524438388917,0.004608695578857,0.0219948535637026,0.00807003809283396,3443560
repl_share,0.00286289173826584,0.000482581779431131,0.00191703145058082,0.00380875202595085,1.63861881962812e-05,3443560
cap_decrease,0.0147737219721622,0.00440656288367322,0.0061368587201627,0.0234105852241617,0.00377519917881397,3443560
closure_share (route B: tau),0.0118356208320584,0.003807095847729,0.00437371297050959,0.0192975286936073,0.00638257618912456,3443560
