rel_year,est,se,ci_lo,ci_hi,period
-13,4.51231015011324e-05,0.00149948325585534,-0.00289386407997534,0.00298411028297761,pre
-12,-0.000528408952839892,0.00134145034589088,-0.00315765163078602,0.00210083372510623,pre
-11,0.00327241940037762,0.00165447952382706,2.96395336765827e-05,0.00651519926707865,pre
-10,-0.00137425005261672,0.0020752524185103,-0.0054417447928969,0.00269324468766347,pre
-9,0.000427036297987979,0.00219290874715342,-0.00387106484643272,0.00472513744240868,pre
-8,0.00291938213081447,0.00212673191267923,-0.00124901241803682,0.00708777667966575,pre
-7,0.00499230481026764,0.002024961926297,0.00102337943472551,0.00896123018580977,pre
-6,0.00134623466205384,0.00103493900680882,-0.00068224579129145,0.00337471511539913,pre
-5,-0.000474202815731779,0.00128504536598505,-0.00299289173306247,0.00204448610159891,pre
-4,0.00104319140105668,0.00159996410633316,-0.00209273824735631,0.00417912104946967,pre
-3,0.00196577331761865,0.000825696060299565,0.000347409039431501,0.00358413759580579,pre
-2,0.00225251489149023,0.000720469532818201,0.000840394607166553,0.0036646351758139,pre
-1,0,0,0,0,pre
0,-0.00289419972507163,0.00137059181917807,-0.00558055969066064,-0.000207839759482614,event
1,0.0310514793761324,0.00798369824786505,0.0154034308103169,0.0466995279419479,post
2,0.0108127454455379,0.00361418876707965,0.0037289354620618,0.017896555429014,post
3,0.0130460607012423,0.00390875402608271,0.0053849028101202,0.0207072185923644,post
4,0.0160857318465729,0.00367471938121136,0.00888328185939868,0.0232881818337472,post
5,0.0164634142416058,0.00381161202297771,0.00899265467656945,0.0239341738066421,post
6,0.0125255467829564,0.00374174761721262,0.00519172145321968,0.0198593721126932,post
7,0.0101517722461429,0.00361792038572007,0.0030606482901316,0.0172428962021543,post
8,0.01108669810793,0.0037927654969002,0.00365287773400558,0.0185205184818544,post
9,0.0255120417851384,0.00493659696545949,0.0158363117328378,0.035187771837439,post
10,0.0161254097523397,0.0047806197545452,0.0067553950334311,0.0254954244712483,post
11,0.012213983488822,0.00460301888595793,0.0031920664723445,0.0212359005052996,post
12,0.0160710415008923,0.00425492513763578,0.00773138823112622,0.0244106947706585,post
13,0.0113345241316438,0.00392255099902509,0.0036463241735546,0.0190227240897329,post
14,0.0106476847353004,0.00415089709225751,0.00251192643447567,0.0187834430361251,post
15,0.0117388887059198,0.0042308503562924,0.00344642200758669,0.0200313554042529,post
16,0.0162066282123042,0.0040924718125634,0.00818538345967997,0.0242278729649285,post
17,0.0153590888466957,0.00411091326073803,0.00730169885564919,0.0234164788377423,post
18,0.0191378367085775,0.00442518935769508,0.0104644655674951,0.0278112078496598,post
19,0.0200222363320824,0.00504527120306354,0.0101335047740778,0.0299109678900869,post
20,0.0234022839863452,0.00481791279902503,0.0139591749002562,0.0328453930724343,post
21,0.0301149247510307,0.00468300179910959,0.0209362412247759,0.0392936082772855,post
22,0.030048066616843,0.00370110267102452,0.0227939053816349,0.037302227852051,post
