margin,config,sample,spec,beta,se,p,n
closure_share,matched_full,matched,FE+Yhat0,0.0161500446011348,0.00458818031004959,0.00262802170919626,3443560
facility_exit,matched_full,matched,FE+Yhat0,0.0124654764520785,0.00453099860195823,0.0136349636167773,3443560
downsize,matched_full,matched,FE+Yhat0,0.00258778812778711,0.00086826440678553,0.00839795507765409,3443560
consolidate,matched_full,matched,FE+Yhat0,-0.000389543610464001,0.000320212206077881,0.240409149098424,3443560
reconfigure_up,matched_full,matched,FE+Yhat0,0.00156420694661302,0.000306792447209765,8.92008545909853e-05,3443560
repl_share,matched_full,matched,FE+Yhat0,0.00286289173826584,0.000482581779431131,1.63861881962812e-05,3443560
cap_decrease,matched_full,matched,FE+Yhat0,0.0147737219721622,0.00440656288367322,0.00377519917881397,3443560
closure_share,matched_feonly,matched,FE-only,0.0170214813260726,0.00470884154387864,0.0021391117474105,3443560
facility_exit,matched_feonly,matched,FE-only,0.0130465462906287,0.00458595493883682,0.0111943444901583,3443560
downsize,matched_feonly,matched,FE-only,0.0029114981376045,0.000894786173785479,0.00467293896224995,3443560
consolidate,matched_feonly,matched,FE-only,-0.000340515140244444,0.000324022252965422,0.308014466260734,3443560
reconfigure_up,matched_feonly,matched,FE-only,0.00163565534829777,0.000318154478101899,8.16580941139722e-05,3443560
repl_share,matched_feonly,matched,FE-only,0.00303333489576421,0.000507196232579947,1.48989627051728e-05,3443560
cap_decrease,matched_feonly,matched,FE-only,0.0157149633506348,0.00453318958961825,0.00294977547666146,3443560
closure_share,allinc_feonly,allinc,FE-only,0.0132066376092725,0.0049102467175303,0.0155076852576807,4821527
facility_exit,allinc_feonly,allinc,FE-only,0.0110975597800288,0.00475921479400891,0.0322671867381691,4821527
downsize,allinc_feonly,allinc,FE-only,0.00160644065361047,0.00100406286110036,0.128030236296499,4821527
consolidate,allinc_feonly,allinc,FE-only,-0.000440431270101066,0.000328739050476499,0.197959055376931,4821527
reconfigure_up,allinc_feonly,allinc,FE-only,0.00101677278434174,0.00032696506980469,0.00637031198112879,4821527
repl_share,allinc_feonly,allinc,FE-only,0.00112264243207937,0.000527997467051109,0.0484319788780839,4821527
cap_decrease,allinc_feonly,allinc,FE-only,0.0118586042081418,0.004710064800234,0.0221298749506149,4821527
