margin,dimension,level,is_reference,estimate,std_error,p_value,config
closure_share,cap_G,G1_lt9k,TRUE,0.0650065050607405,0.00536702033337184,8.72568372878714e-10,matched_feonly
closure_share,cap_G,G2_9to20k,FALSE,-0.0491610932436999,0.000949499693480224,3.77473420492742e-20,matched_feonly
closure_share,cap_G,G3_20to30k,FALSE,-0.0615206508047848,0.00145460576470891,1.14652160937066e-18,matched_feonly
closure_share,cap_G,G4_gt30k,FALSE,-0.0569571474204003,0.00206999497720393,1.54399111334431e-15,matched_feonly
facility_exit,cap_G,G1_lt9k,TRUE,0.0670097088213301,0.00522409891287407,3.60616813907342e-10,matched_feonly
facility_exit,cap_G,G2_9to20k,FALSE,-0.0525254104699762,0.000842562036984119,1.6324313192108e-21,matched_feonly
facility_exit,cap_G,G3_20to30k,FALSE,-0.0689585987154169,0.00132800821826905,3.59399637144786e-20,matched_feonly
facility_exit,cap_G,G4_gt30k,FALSE,-0.0681904123928676,0.00185728620946439,1.23868877241345e-17,matched_feonly
downsize,cap_G,G1_lt9k,TRUE,-0.00430605040371308,0.00094014226917016,0.000266046658161043,matched_feonly
downsize,cap_G,G2_9to20k,FALSE,0.00273075199898711,0.000163986940951693,5.8343319430584e-12,matched_feonly
downsize,cap_G,G3_20to30k,FALSE,0.00950363520758554,0.0001631181713524,5.1296937495959e-21,matched_feonly
downsize,cap_G,G4_gt30k,FALSE,0.0147666645655144,0.000313555234108189,1.87060434681631e-19,matched_feonly
consolidate,cap_G,G1_lt9k,TRUE,0.00020821658516117,0.000305789998678138,0.505095915762007,matched_feonly
consolidate,cap_G,G2_9to20k,FALSE,-0.000189224112602181,4.14210201488493e-05,0.000272884998689654,matched_feonly
consolidate,cap_G,G3_20to30k,FALSE,-0.00123697104554985,4.82353174062336e-05,4.97718534663548e-15,matched_feonly
consolidate,cap_G,G4_gt30k,FALSE,-0.000520480581935753,0.000100250116761002,7.34999073123609e-05,matched_feonly
reconfigure_up,cap_G,G1_lt9k,TRUE,0.00210404493600085,0.000286491035516512,1.14619648325736e-06,matched_feonly
reconfigure_up,cap_G,G2_9to20k,FALSE,-4.35591536278657e-05,0.000102355477648421,0.675761806481589,matched_feonly
reconfigure_up,cap_G,G3_20to30k,FALSE,-0.000832034506502778,8.67015821579846e-05,2.82171713127319e-08,matched_feonly
reconfigure_up,cap_G,G4_gt30k,FALSE,-0.000872821948789294,9.36782815121672e-05,4.3206112484656e-08,matched_feonly
repl_share,cap_G,G1_lt9k,TRUE,-0.00109781139369594,0.000500820184194015,0.0425869998081802,matched_feonly
repl_share,cap_G,G2_9to20k,FALSE,0.00194557256562821,0.000158743128383933,7.27947730799823e-10,matched_feonly
repl_share,cap_G,G3_20to30k,FALSE,0.00516898945821655,0.000175837104778419,5.12858057662452e-16,matched_feonly
repl_share,cap_G,G4_gt30k,FALSE,0.00826544245467594,0.000223531089962313,1.09939497993466e-17,matched_feonly
cap_decrease,cap_G,G1_lt9k,TRUE,0.0633044904506645,0.00513339039994883,6.62127347339742e-10,matched_feonly
cap_decrease,cap_G,G2_9to20k,FALSE,-0.0503145109595268,0.000898287906396685,9.98913969255214e-21,matched_feonly
cap_decrease,cap_G,G3_20to30k,FALSE,-0.0610127108537338,0.00136597907865897,4.56958988471892e-19,matched_feonly
cap_decrease,cap_G,G4_gt30k,FALSE,-0.0543307768357549,0.00202101579139312,2.27371024316807e-15,matched_feonly
closure_share,cap_G,G1_lt9k,TRUE,0.0618233610332558,0.00499534701113146,6.26601307818265e-10,allinc_feonly
closure_share,cap_G,G2_9to20k,FALSE,-0.04807631378356,0.000891779980659574,1.90679072569155e-20,allinc_feonly
closure_share,cap_G,G3_20to30k,FALSE,-0.0605272846962081,0.00128961867743399,1.98122735572968e-19,allinc_feonly
closure_share,cap_G,G4_gt30k,FALSE,-0.0574324441962543,0.00178501412846224,1.13348689616879e-16,allinc_feonly
facility_exit,cap_G,G1_lt9k,TRUE,0.0634749844170908,0.00501948278097384,4.49470346287971e-10,allinc_feonly
facility_exit,cap_G,G2_9to20k,FALSE,-0.0500370678026815,0.000784003237808892,1.09654150431712e-21,allinc_feonly
facility_exit,cap_G,G3_20to30k,FALSE,-0.0660162727803318,0.00120403258790477,1.43288261663369e-20,allinc_feonly
facility_exit,cap_G,G4_gt30k,FALSE,-0.0654310920969513,0.00169134247550863,5.1434156086433e-18,allinc_feonly
downsize,cap_G,G1_lt9k,TRUE,-0.00358581472128334,0.000974686146311259,0.00186100654138496,allinc_feonly
downsize,cap_G,G2_9to20k,FALSE,0.00184873032906491,0.000154682806117792,1.07017605627833e-09,allinc_feonly
downsize,cap_G,G3_20to30k,FALSE,0.00748731224493752,0.000131810573700302,7.87742391403581e-21,allinc_feonly
downsize,cap_G,G4_gt30k,FALSE,0.0111156371916227,0.000202734195849696,1.43318418349632e-20,allinc_feonly
consolidate,cap_G,G1_lt9k,TRUE,0.000502540962776402,0.000315320311415014,0.129414384798056,allinc_feonly
consolidate,cap_G,G2_9to20k,FALSE,-0.000652469532431518,4.55087855628439e-05,6.32845657245511e-11,allinc_feonly
consolidate,cap_G,G3_20to30k,FALSE,-0.00178599227236809,5.46486550301917e-05,8.72608343144348e-17,allinc_feonly
consolidate,cap_G,G4_gt30k,FALSE,-0.00121451235732787,0.00010393579004997,1.50951015818333e-09,allinc_feonly
reconfigure_up,cap_G,G1_lt9k,TRUE,0.00149997217499777,0.000274559207263567,4.20760229698676e-05,allinc_feonly
reconfigure_up,cap_G,G2_9to20k,FALSE,-0.000330069856508327,9.54912103739478e-05,0.00301503431345712,allinc_feonly
reconfigure_up,cap_G,G3_20to30k,FALSE,-0.000633022309171623,8.16496725829826e-05,5.58013301203143e-07,allinc_feonly
reconfigure_up,cap_G,G4_gt30k,FALSE,-0.000667087521314895,7.93783123573673e-05,1.854667395652e-07,allinc_feonly
repl_share,cap_G,G1_lt9k,TRUE,-0.00102264893857674,0.000423063087917124,0.0271610602381446,allinc_feonly
repl_share,cap_G,G2_9to20k,FALSE,0.000906493766471433,0.000159432832141536,2.68091829572868e-05,allinc_feonly
repl_share,cap_G,G3_20to30k,FALSE,0.00350124036897012,0.000150155252933544,2.4037185561899e-14,allinc_feonly
repl_share,cap_G,G4_gt30k,FALSE,0.00548772549390043,0.000153058575341135,1.84548706198008e-17,allinc_feonly
