margin,dimension,level,is_reference,estimate,std_error,p_value
closure_share,vintage,1989-1998,TRUE,0.00838909210308424,0.00309061705027889,0.0147261843486668
closure_share,vintage,1975-1984,FALSE,0.00824693938693205,0.0025935618375528,0.00548088536393348
closure_share,vintage,1985-1988,FALSE,0.00805940862772236,0.00144106017365744,3.23446424791594e-05
closure_share,vintage,Pre-1975,FALSE,0.00940630697917248,0.00272086411306286,0.00301140570813334
facility_exit,vintage,1989-1998,TRUE,-0.0018488779493355,0.00281630623197637,0.520296929313024
facility_exit,vintage,1975-1984,FALSE,0.0109029818381955,0.00294078534528986,0.0017490895014567
facility_exit,vintage,1985-1988,FALSE,0.0110664230931593,0.00147536575919454,8.67627313217023e-07
facility_exit,vintage,Pre-1975,FALSE,0.026561448682612,0.00275805319258526,2.68080729382827e-08
downsize,vintage,1989-1998,TRUE,0.00530436557797226,0.00038311554760138,1.09589053256845e-10
downsize,vintage,1975-1984,FALSE,0.000635277619561876,0.0011018658426409,0.571801076721958
downsize,vintage,1985-1988,FALSE,0.000835913125033876,0.00093420772288387,0.383397259137176
downsize,vintage,Pre-1975,FALSE,-0.0112278262743774,0.00124912554701295,7.21546196961575e-08
consolidate,vintage,1989-1998,TRUE,0.000598819505728502,0.000168794924272751,0.00247481843628856
consolidate,vintage,1975-1984,FALSE,9.50648833161392e-05,0.00033840777979509,0.782163506650277
consolidate,vintage,1985-1988,FALSE,-0.000453491040102338,0.000332918381040827,0.190921893542124
consolidate,vintage,Pre-1975,FALSE,-0.00332757630491279,0.000301906656637659,3.65264415569758e-09
reconfigure_up,vintage,1989-1998,TRUE,0.00432001670409604,0.000393189600542975,3.83008474310367e-09
reconfigure_up,vintage,1975-1984,FALSE,-0.00150448972086194,0.000277515936819584,4.58367007735528e-05
reconfigure_up,vintage,1985-1988,FALSE,-0.00138528163743748,0.000370682988121259,0.00164020917522091
reconfigure_up,vintage,Pre-1975,FALSE,-0.00654677430633305,0.000424577073205155,1.99703346186354e-11
repl_share,vintage,1989-1998,TRUE,0.00694536705720983,0.000415303684510821,5.44693990856816e-12
repl_share,vintage,1975-1984,FALSE,-0.00138296223602296,0.000522304016262813,0.0169174149635554
repl_share,vintage,1985-1988,FALSE,-0.00281270960837869,0.000545864241348624,7.96997359318211e-05
repl_share,vintage,Pre-1975,FALSE,-0.0104053866389193,0.000570926290466952,1.35844707253069e-12
cap_decrease,vintage,1989-1998,TRUE,0.0044786958917619,0.00295491750794439,0.147974489248962
cap_decrease,vintage,1975-1984,FALSE,0.0113236078849439,0.00254014225339533,0.000345547692703713
cap_decrease,vintage,1985-1988,FALSE,0.0112955226948804,0.00152668654881264,1.0399068679267e-06
cap_decrease,vintage,Pre-1975,FALSE,0.0114619669839339,0.00269790766793911,0.000541911035880209
