age_bin,outcome,is_ref,est,se,ci_lo,ci_hi,p,stars,n_fy,n_tx,n_ctl
0-4yr,Any Tank Closure,TRUE,-0.012268,0.003816,-0.019747,-0.004789,0.0013,***,430895,81578,349317
5-9yr,Any Tank Closure,FALSE,-0.004747,0.004921,-0.014392,0.004897,0.3347,"",423421,63508,359913
10-14yr,Any Tank Closure,FALSE,0.012241,0.003941,0.004518,0.019965,0.0019,***,583729,136206,447523
15-19yr,Any Tank Closure,FALSE,0.012131,0.004768,0.002786,0.021477,0.011,**,456564,104719,351845
20-24yr,Any Tank Closure,FALSE,0.019782,0.006208,0.007615,0.031949,0.0014,***,348891,63908,284983
25yr+,Any Tank Closure,FALSE,0.04075,0.007182,0.026672,0.054827,0,***,785219,75204,710015
0-4yr,Background Leak Discovery,TRUE,-0.001508,0.002183,-0.005787,0.00277,0.4896,"",430895,81578,349317
5-9yr,Background Leak Discovery,FALSE,-0.004984,0.002275,-0.009444,-0.000525,0.0285,**,423421,63508,359913
10-14yr,Background Leak Discovery,FALSE,-0.011219,0.002954,-0.017009,-0.005429,0.0001,***,583729,136206,447523
15-19yr,Background Leak Discovery,FALSE,-0.009039,0.002349,-0.013644,-0.004435,0.0001,***,456564,104719,351845
20-24yr,Background Leak Discovery,FALSE,-0.00792,0.002699,-0.01321,-0.002631,0.0033,***,348891,63908,284983
25yr+,Background Leak Discovery,FALSE,-0.00516,0.003238,-0.011507,0.001187,0.111,"",785219,75204,710015
0-4yr,Facility Exit,TRUE,-0.002865,0.0021,-0.006982,0.001251,0.1725,"",430895,81578,349317
5-9yr,Facility Exit,FALSE,0.003133,0.002416,-0.001603,0.007868,0.1947,"",423421,63508,359913
10-14yr,Facility Exit,FALSE,0.00724,0.003741,-0.000093,0.014574,0.053,*,583729,136206,447523
15-19yr,Facility Exit,FALSE,0.009212,0.004914,-0.00042,0.018844,0.0609,*,456564,104719,351845
20-24yr,Facility Exit,FALSE,0.018459,0.006025,0.00665,0.030268,0.0022,***,348891,63908,284983
25yr+,Facility Exit,FALSE,0.036282,0.007232,0.022108,0.050456,0,***,785219,75204,710015
0-4yr,Tank Upgrade,TRUE,-0.006956,0.001968,-0.010814,-0.003099,0.0004,***,430895,81578,349317
5-9yr,Tank Upgrade,FALSE,-0.00267,0.002048,-0.006684,0.001345,0.1924,"",423421,63508,359913
10-14yr,Tank Upgrade,FALSE,0.004164,0.001164,0.001882,0.006446,0.0003,***,583729,136206,447523
15-19yr,Tank Upgrade,FALSE,0.004214,0.00078,0.002685,0.005744,0,***,456564,104719,351845
20-24yr,Tank Upgrade,FALSE,0.002289,0.000804,0.000714,0.003864,0.0044,***,348891,63908,284983
25yr+,Tank Upgrade,FALSE,0.003837,0.000686,0.002493,0.005181,0,***,785219,75204,710015
