outcome,vintage,is_ref,est,se,ci_lo,ci_hi,p,stars,diff_est,diff_se,diff_p,outcome_f
Any Tank Closure,Pre-1989,TRUE,0.012105,0.004637,0.003017,0.021194,0.009,***,-0.001214,0.00342,0.7226,Any Tank Closure
Any Tank Closure,All-Post-1989,FALSE,0.010891,0.00434,0.002385,0.019397,0.0121,**,-0.001214,0.00342,0.7226,Any Tank Closure
Facility Exit,Pre-1989,TRUE,0.01266,0.004309,0.004213,0.021106,0.0033,***,-0.014569,0.002662,0,Facility Exit
Facility Exit,All-Post-1989,FALSE,-0.001909,0.002682,-0.007167,0.003349,0.4767,"",-0.014569,0.002662,0,Facility Exit
Tank Upgrade,Pre-1989,TRUE,0.000897,0.000965,-0.000994,0.002789,0.3525,"",0.00862,0.00116,0,Tank Upgrade
Tank Upgrade,All-Post-1989,FALSE,0.009517,0.001412,0.006749,0.012285,0,***,0.00862,0.00116,0,Tank Upgrade
Tank Stock Reduction,Pre-1989,TRUE,0.011256,0.004278,0.002871,0.01964,0.0085,***,-0.009646,0.002726,0.0004,Tank Stock Reduction
Tank Stock Reduction,All-Post-1989,FALSE,0.00161,0.00331,-0.004877,0.008097,0.6266,"",-0.009646,0.002726,0.0004,Tank Stock Reduction
Total Leak Discovery,Pre-1989,TRUE,-0.01297,0.003389,-0.019611,-0.006328,0.0001,***,0.006576,0.002161,0.0023,Total Leak Discovery
Total Leak Discovery,All-Post-1989,FALSE,-0.006394,0.002369,-0.011037,-0.001751,0.007,***,0.006576,0.002161,0.0023,Total Leak Discovery
Background Leak Discovery,Pre-1989,TRUE,-0.007877,0.002283,-0.012352,-0.003403,0.0006,***,0.005087,0.001796,0.0046,Background Leak Discovery
Background Leak Discovery,All-Post-1989,FALSE,-0.002791,0.001846,-0.006409,0.000828,0.1307,"",0.005087,0.001796,0.0046,Background Leak Discovery
