outcome,wall,is_ref,est,se,ci_lo,ci_hi,p,stars,outcome_f
Any Tank Closure,All-DW,TRUE,-0.003194,0.004263,-0.01155,0.005161,0.4537,"",Any Tank Closure
Any Tank Closure,Mixed,FALSE,-0.004897,0.006619,-0.017871,0.008077,0.4594,"",Any Tank Closure
Any Tank Closure,All-SW,FALSE,0.015331,0.005142,0.005253,0.025409,0.0029,***,Any Tank Closure
Facility Exit,All-DW,TRUE,0.004119,0.004198,-0.00411,0.012348,0.3266,"",Facility Exit
Facility Exit,Mixed,FALSE,0.011175,0.003626,0.004068,0.018282,0.0021,***,Facility Exit
Facility Exit,All-SW,FALSE,0.013795,0.005034,0.003928,0.023662,0.0061,***,Facility Exit
Tank Upgrade,All-DW,TRUE,0.000132,0.001503,-0.002814,0.003079,0.9298,"",Tank Upgrade
Tank Upgrade,Mixed,FALSE,-0.013591,0.005762,-0.024885,-0.002297,0.0183,**,Tank Upgrade
Tank Upgrade,All-SW,FALSE,0.001526,0.000845,-0.000131,0.003182,0.071,*,Tank Upgrade
Tank Stock Reduction,All-DW,TRUE,-0.003483,0.005055,-0.013391,0.006426,0.4909,"",Tank Stock Reduction
Tank Stock Reduction,Mixed,FALSE,0.007245,0.004532,-0.001637,0.016128,0.1099,"",Tank Stock Reduction
Tank Stock Reduction,All-SW,FALSE,0.013701,0.004893,0.00411,0.023292,0.0051,***,Tank Stock Reduction
Total Leak Discovery,All-DW,TRUE,-0.003605,0.003613,-0.010687,0.003477,0.3184,"",Total Leak Discovery
Total Leak Discovery,Mixed,FALSE,-0.012121,0.004187,-0.020327,-0.003915,0.0038,***,Total Leak Discovery
Total Leak Discovery,All-SW,FALSE,-0.012274,0.003543,-0.019219,-0.00533,0.0005,***,Total Leak Discovery
Background Leak Discovery,All-DW,TRUE,-0.006173,0.004044,-0.014099,0.001753,0.1269,"",Background Leak Discovery
Background Leak Discovery,Mixed,FALSE,-0.009793,0.004739,-0.019082,-0.000504,0.0388,**,Background Leak Discovery
Background Leak Discovery,All-SW,FALSE,-0.006656,0.00255,-0.011653,-0.001659,0.009,***,Background Leak Discovery
