window,type,outcome,col,beta,se,p,stars,n,ctrl_mean
total,total,leak_year,col1,-0.011999,0.003074,0.0011,***,3028719,0.014654
total,total,leak_year,col2,-0.012436,0.00326,0.0014,***,3028689,0.014654
total,total,leak_year,col3,-0.012041,0.003154,0.0014,***,3028719,0.014654
total,total,leak_year,col4,,,,,,0.014654
Primary (0--60 day window),background,lust_standalone,col1,-0.007311,0.002181,0.0038,***,3028719,0.012135
Primary (0--60 day window),background,lust_standalone,col2,-0.00747,0.002193,0.0034,***,3028689,0.012135
Primary (0--60 day window),background,lust_standalone,col3,-0.007321,0.002182,0.0038,***,3028719,0.012135
Primary (0--60 day window),background,lust_standalone,col4,,,,,,0.012135
Primary (0--60 day window),inspection,lust_closure_induced,col1,-0.004793,0.001648,0.0098,***,3028719,0.002639
Primary (0--60 day window),inspection,lust_closure_induced,col2,-0.00508,0.001739,0.0095,***,3028689,0.002639
Primary (0--60 day window),inspection,lust_closure_induced,col3,-0.004824,0.001667,0.0101,**,3028719,0.002639
Primary (0--60 day window),inspection,lust_closure_induced,col4,,,,,,0.002639
Narrow (0--30 day window),background,lust_standalone_narrow,col1,-0.007913,0.002307,0.0032,***,3028719,0.012548
Narrow (0--30 day window),background,lust_standalone_narrow,col2,-0.00812,0.002341,0.0029,***,3028689,0.012548
Narrow (0--30 day window),background,lust_standalone_narrow,col3,-0.007931,0.002321,0.0033,***,3028719,0.012548
Narrow (0--30 day window),background,lust_standalone_narrow,col4,,,,,,0.012548
Narrow (0--30 day window),inspection,lust_closure_induced_narrow,col1,-0.00412,0.001399,0.0091,***,3028719,0.002151
Narrow (0--30 day window),inspection,lust_closure_induced_narrow,col2,-0.004352,0.001475,0.0089,***,3028689,0.002151
Narrow (0--30 day window),inspection,lust_closure_induced_narrow,col3,-0.004143,0.001418,0.0095,***,3028719,0.002151
Narrow (0--30 day window),inspection,lust_closure_induced_narrow,col4,,,,,,0.002151
Regulatory (0--45 day window),background,lust_standalone_reg,col1,-0.00756,0.002239,0.0036,***,3028719,0.012301
Regulatory (0--45 day window),background,lust_standalone_reg,col2,-0.007739,0.002259,0.0032,***,3028689,0.012301
Regulatory (0--45 day window),background,lust_standalone_reg,col3,-0.007572,0.002246,0.0036,***,3028719,0.012301
Regulatory (0--45 day window),background,lust_standalone_reg,col4,,,,,,0.012301
Regulatory (0--45 day window),inspection,lust_closure_induced_reg,col1,-0.004517,0.001525,0.0087,***,3028719,0.00244
Regulatory (0--45 day window),inspection,lust_closure_induced_reg,col2,-0.00478,0.001606,0.0085,***,3028689,0.00244
Regulatory (0--45 day window),inspection,lust_closure_induced_reg,col3,-0.004547,0.001541,0.0089,***,3028719,0.00244
Regulatory (0--45 day window),inspection,lust_closure_induced_reg,col4,,,,,,0.00244
Wide (0--90 day window),background,lust_standalone_wide,col1,-0.006996,0.002129,0.0044,***,3028719,0.011943
Wide (0--90 day window),background,lust_standalone_wide,col2,-0.007137,0.002133,0.0038,***,3028689,0.011943
Wide (0--90 day window),background,lust_standalone_wide,col3,-0.007008,0.002125,0.0042,***,3028719,0.011943
Wide (0--90 day window),background,lust_standalone_wide,col4,,,,,,0.011943
Wide (0--90 day window),inspection,lust_closure_induced_wide,col1,-0.005173,0.001827,0.0115,**,3028719,0.002909
Wide (0--90 day window),inspection,lust_closure_induced_wide,col2,-0.005486,0.001928,0.0112,**,3028689,0.002909
Wide (0--90 day window),inspection,lust_closure_induced_wide,col3,-0.005203,0.001847,0.0119,**,3028719,0.002909
Wide (0--90 day window),inspection,lust_closure_induced_wide,col4,,,,,,0.002909
