model,col,coef,se_model,se_boot,ci_lo_boot,ci_hi_boot,p_boot,B,n_obs
OLS,1,0.0119283106560295,0.00288707263506425,0.00288633917710922,0.00783166566085142,0.0160864643157786,0,9999,9761982
OLS,2,0.0115744130443666,0.00315212438502615,0.00315029238003855,0.00700168800720884,0.0162033865984989,0,9999,9761982
OLS,3,0.0174867277977015,0.00399557985490234,0.00399531040456229,0.0118724819647464,0.0231664194514523,0,9999,9761982
OLS,4,0.0136219454251519,0.00620052204922034,0.00620043144673528,0.00352766029884556,0.0238320840686956,0,9999,9761590
OLS,5,0.00888039173293991,0.00241128312725955,0.00241280771230074,0.00522746970564973,0.0125725740935403,0,9999,9761044
OLS,6,0.0187457520264521,0.00555467055976986,0.00555573258174604,0.0107499766939433,0.0267901349628617,0,9999,9760652
OLS,7,0.0158355350491318,0.00399405372045365,0.0039958645451743,0.0101164908114618,0.0216044052893686,0,9999,9761044
Cox,1,0.502463452996883,0.134670508984749,0.134670642348493,0.367792944012135,0.637133961981632,0,9999,207847
Cox,2,0.383251116846894,0.122143590316613,0.122143711274992,0.261107526530281,0.505394707163506,0,9999,207847
Cox,3,0.441308971805693,0.12811671951534,0.128116846388889,0.313192252290354,0.569425691321033,0,9999,207847
Cox,4,0.365611877295262,0.11676544030781,0.116765555940226,0.248846436987452,0.482377317603072,0,9999,207847
