lb,ub,method,Delta,Mbar
-0.00147992258547146,0.00588174360892505,C-LF,DeltaRM,0
-0.00330136576759019,0.00777908025696539,C-LF,DeltaRM,0.1
-0.00550227627931697,0.0100558842346138,C-LF,DeltaRM,0.2
-0.00808265412065183,0.0126362620759486,C-LF,DeltaRM,0.3
-0.0107389254279083,0.0153684268491267,C-LF,DeltaRM,0.4
-0.0136228771329296,0.018252378554148,C-LF,DeltaRM,0.5
-0.0165068288379509,0.0211363302591694,C-LF,DeltaRM,0.6
-0.0193907805429722,0.0240202819641907,C-LF,DeltaRM,0.7
-0.0223506257139152,0.0269801271351336,C-LF,DeltaRM,0.8
-0.0253104708848581,0.0299399723060765,C-LF,DeltaRM,0.9
-0.028270316055801,0.0328998174770194,C-LF,DeltaRM,1
-0.0312301612267439,0.0358596626479624,C-LF,DeltaRM,1.1
-0.0342658998636085,0.0379087862278459,C-LF,DeltaRM,1.2
-0.0372257450345514,0.0379087862278459,C-LF,DeltaRM,1.3
-0.0379087862278459,0.0379087862278459,C-LF,DeltaRM,1.4
-0.0379087862278459,0.0379087862278459,C-LF,DeltaRM,1.5
-0.0379087862278459,0.0379087862278459,C-LF,DeltaRM,1.6
-0.0379087862278459,0.0379087862278459,C-LF,DeltaRM,1.7
-0.0379087862278459,0.0379087862278459,C-LF,DeltaRM,1.8
-0.0379087862278459,0.0379087862278459,C-LF,DeltaRM,1.9
-0.0379087862278459,0.0379087862278459,C-LF,DeltaRM,2
