lb,ub,method,Delta,Mbar
-0.000109971118057869,0.00692818043764562,C-LF,DeltaRM,0
-0.000916425983815562,0.00795457753951905,C-LF,DeltaRM,0.1
-0.0017961949282785,0.00912760279880296,C-LF,DeltaRM,0.2
-0.00289590610885717,0.0105938843729079,C-LF,DeltaRM,0.3
-0.00414224544684633,0.0120601659470127,C-LF,DeltaRM,0.4
-0.00553521294224598,0.0135264475211176,C-LF,DeltaRM,0.5
-0.00700149451635087,0.015139357252633,C-LF,DeltaRM,0.6
-0.00854109016916101,0.0166789529054432,C-LF,DeltaRM,0.7
-0.0100806858219711,0.0182918626369585,C-LF,DeltaRM,0.8
-0.0116202814747813,0.0199047723684739,C-LF,DeltaRM,0.9
-0.0132331912062967,0.0215176820999893,C-LF,DeltaRM,1
