lb,ub,method,Delta,M,spec
0.00268364556683589,0.00491835024324683,FLCI,DeltaSD,0,Above-median: avg all post
0.00259524535585167,0.00500666754534697,FLCI,DeltaSD,0.000237653767606752,Above-median: avg all post
0.0023876252648712,0.00521428763632744,FLCI,DeltaSD,0.000475307535213503,Above-median: avg all post
0.00215216753995203,0.0054497453612466,FLCI,DeltaSD,0.000712961302820254,Above-median: avg all post
0.00191457972472249,0.00568733317647615,FLCI,DeltaSD,0.000950615070427006,Above-median: avg all post
0.00167692594388607,0.00592498695731257,FLCI,DeltaSD,0.00118826883803376,Above-median: avg all post
0.00143927216304965,0.00616264073814899,FLCI,DeltaSD,0.00142592260564051,Above-median: avg all post
0.00120161838221323,0.0064002945189854,FLCI,DeltaSD,0.00166357637324726,Above-median: avg all post
0.000963964601376814,0.00663794829982182,FLCI,DeltaSD,0.00190123014085401,Above-median: avg all post
0.000726310820540395,0.00687560208065824,FLCI,DeltaSD,0.00213888390846076,Above-median: avg all post
0.0017258860296099,0.00293230697047737,FLCI,DeltaSD,0,Pooled: avg all post
0.00155888908295893,0.00309924061110811,FLCI,DeltaSD,0.000263965314609716,Pooled: avg all post
0.00129594661904615,0.00336218307502089,FLCI,DeltaSD,0.000527930629219433,Pooled: avg all post
0.00103198129325795,0.00362614840080909,FLCI,DeltaSD,0.000791895943829149,Pooled: avg all post
0.000768015967469757,0.00389011372659728,FLCI,DeltaSD,0.00105586125843886,Pooled: avg all post
0.000504050641681562,0.00415407905238548,FLCI,DeltaSD,0.00131982657304858,Pooled: avg all post
0.000240085315893367,0.00441804437817367,FLCI,DeltaSD,0.0015837918876583,Pooled: avg all post
-0.000023880009894828,0.00468200970396187,FLCI,DeltaSD,0.00184775720226801,Pooled: avg all post
-0.000287845335683024,0.00494597502975006,FLCI,DeltaSD,0.00211172251687773,Pooled: avg all post
-0.000551810661471218,0.00520994035553826,FLCI,DeltaSD,0.00237568783148745,Pooled: avg all post
0.00468436217410266,0.0279755556479936,FLCI,DeltaSD,0,Above-median: avg \u03c4 = 0\u20134
0.00425629377931695,0.0284036854020809,FLCI,DeltaSD,0.000237653767606752,Above-median: avg \u03c4 = 0\u20134
0.00309652681223782,0.0295636551158808,FLCI,DeltaSD,0.000475307535213503,Above-median: avg \u03c4 = 0\u20134
0.00156395138498123,0.0310962305431374,FLCI,DeltaSD,0.000712961302820254,Above-median: avg \u03c4 = 0\u20134
-0.0000803613474542331,0.0327405432755729,FLCI,DeltaSD,0.000950615070427006,Above-median: avg \u03c4 = 0\u20134
-0.00174095877653524,0.0344011407046539,FLCI,DeltaSD,0.00118826883803376,Above-median: avg \u03c4 = 0\u20134
-0.00340436085073619,0.0360645427788548,FLCI,DeltaSD,0.00142592260564051,Above-median: avg \u03c4 = 0\u20134
-0.00506793722388281,0.0377281191520014,FLCI,DeltaSD,0.00166357637324726,Above-median: avg \u03c4 = 0\u20134
-0.00673151359702942,0.0393916955251481,FLCI,DeltaSD,0.00190123014085401,Above-median: avg \u03c4 = 0\u20134
-0.00839508997017604,0.0410552718982947,FLCI,DeltaSD,0.00213888390846076,Above-median: avg \u03c4 = 0\u20134
0.00994927956503285,0.0357731458874695,FLCI,DeltaSD,0,Above-median: avg \u03c4 = 5\u20139
0.0032542686340661,0.0424684902308826,FLCI,DeltaSD,0.000237653767606752,Above-median: avg \u03c4 = 5\u20139
-0.00553856818551766,0.0512613270504663,FLCI,DeltaSD,0.000475307535213503,Above-median: avg \u03c4 = 5\u20139
-0.0143317575869672,0.0600545164519159,FLCI,DeltaSD,0.000712961302820254,Above-median: avg \u03c4 = 5\u20139
-0.0231249469884168,0.0688477058533655,FLCI,DeltaSD,0.000950615070427006,Above-median: avg \u03c4 = 5\u20139
-0.0319181363898664,0.0776408952548151,FLCI,DeltaSD,0.00118826883803376,Above-median: avg \u03c4 = 5\u20139
-0.040711325791316,0.0864340846562647,FLCI,DeltaSD,0.00142592260564051,Above-median: avg \u03c4 = 5\u20139
-0.0495045151927656,0.0952272740577142,FLCI,DeltaSD,0.00166357637324726,Above-median: avg \u03c4 = 5\u20139
-0.0582977045942152,0.104020463459164,FLCI,DeltaSD,0.00190123014085401,Above-median: avg \u03c4 = 5\u20139
-0.0670908939956648,0.112813652860613,FLCI,DeltaSD,0.00213888390846076,Above-median: avg \u03c4 = 5\u20139
