Variable,TX,CTL,Diff.,TX ,CTL ,Diff. 
Active tanks (Dec.),2.7,2.6,+0.1$^{***}$,2.7,2.6,+0.1$^{***}$
"Total capacity (gal., Dec.)","17,346","67,185","-49,839$^{***}$","17,346","67,185","-49,839$^{***}$"
"Mean tank age (years, Dec.)",13.5,14.7,-1.3$^{***}$,13.5,14.7,-1.3$^{***}$
Single-walled share,85.8,75.6,+10.2$^{***}$,85.8,75.6,+10.2$^{***}$
Gasoline-only share,66.4,77.4,-11.0$^{***}$,66.4,77.4,-11.0$^{***}$
Pre-1989 install,95.0,91.2,+3.8$^{***}$,95.0,91.2,+3.8$^{***}$
Annual closure rate,9.60,9.88,-0.28$^{***}$,9.60,9.88,-0.28$^{***}$
Annual leak rate,1.26,2.16,-0.90$^{***}$,1.26,2.16,-0.90$^{***}$
\quad $N$ facilities,"46,768","157,912",---,"46,768","157,912",---
\quad $N$ facility-years,"273,535","958,566",---,"273,535","958,566",---
