Group,age_bin,wall_label,leak_rate_per_1000,n_fac_years,n_first_leaks
Control,,Double-Walled,84.03,3570,300
Texas,,Double-Walled,11.41,1577,18
Control,0-4,Double-Walled,23.51,39984,940
Texas,0-4,Double-Walled,9.36,10255,96
Control,0-4,Single-Walled,24.13,71438,1724
Texas,0-4,Single-Walled,10.52,24719,260
Control,5-9,Double-Walled,10.57,52987,560
Texas,5-9,Double-Walled,9.38,12904,121
Control,5-9,Single-Walled,15.55,154963,2410
Texas,5-9,Single-Walled,13.23,55166,730
Control,10-14,Double-Walled,10.61,44937,477
Texas,10-14,Double-Walled,12.25,6202,76
Control,10-14,Single-Walled,21.17,174218,3689
Texas,10-14,Single-Walled,13.33,59127,788
Control,15-19,Double-Walled,10.07,35435,357
Texas,15-19,Double-Walled,10.58,2930,31
Control,15-19,Single-Walled,26.98,138127,3726
Texas,15-19,Single-Walled,13.71,44492,610
Control,20-24,Double-Walled,10.32,36337,375
Texas,20-24,Double-Walled,12.03,2410,29
Control,20-24,Single-Walled,28.99,131375,3808
Texas,20-24,Single-Walled,13.15,36655,482
Control,25-29,Double-Walled,7.55,11783,89
Texas,25-29,Double-Walled,5.76,694,4
Control,25-29,Single-Walled,31.73,30700,974
Texas,25-29,Single-Walled,6.05,9426,57
