State,Tanks,Close Date,Install Date,Wall Type,LUST Date
LA,"46,520",0.0,0.1,33.7,0.0
MA,"36,448",5.7,8.2,45.7,0.0
ME,"16,902",0.6,0.0,0.2,0.0
ND,"10,372",8.4,5.9,0.0,100.0
NJ,"108,992",4.3,0.1,0.5,100.0
NM,"16,322",2.5,15.9,100.0,0.0
PA,"100,554",20.0,17.4,16.1,100.0
TX,"178,611",0.0,0.0,9.9,4.2
AL,"48,635",9.4,24.1,85.0,0.0
AR,"34,083",7.7,18.5,21.7,63.4
CO,"32,910",6.9,21.6,24.7,20.6
OK,"40,004",11.1,13.2,0.0,0.0
TN,"60,277",10.8,0.6,9.6,55.0
ID,"14,880",0.8,2.2,0.0,0.0
KS,"27,477",16.5,9.4,0.0,0.0
KY,"51,771",5.2,18.0,0.0,100.0
MD,"54,296",15.5,18.1,0.0,0.0
MN,"45,575",6.8,22.3,0.0,12.4
NC,"91,664",0.3,1.4,8.2,14.2
OH,"73,200",3.0,28.4,0.0,38.8
VA,"78,612",26.7,14.1,0.0,0.0
GA,"79,273",100.0,3.3,0.0,21.8
MO,"41,774",100.0,37.0,1.0,15.8
WV,"25,796",100.0,16.4,0.0,0.0
AZ,"28,544",0.3,15.4,37.9,0.0
CT,"36,076",26.2,4.7,81.1,0.4
FL,"127,314",100.0,28.8,100.0,0.0
IA,"37,200",100.0,10.8,100.0,0.2
MI,"98,847",0.2,15.9,10.8,100.0
WI,"83,600",100.0,79.7,59.3,0.0
OR,"30,900",2.4,18.6,100.0,0.0
WA,"52,245",93.7,7.1,100.0,100.0
AK,"6,853",100.0,15.0,100.0,100.0
CA,"37,400",---,2.6,0.2,100.0
DE,"9,388",8.6,18.1,100.0,100.0
HI,"6,763",100.0,19.4,100.0,100.0
IL,"84,307",6.4,48.4,100.0,0.1
IN,"57,525",100.0,53.3,100.0,100.0
MS,"32,132",100.0,100.0,100.0,0.0
MT,"16,060",4.7,9.9,12.2,0.0
NE,"6,188",100.0,3.8,99.7,0.9
NH,"15,350",100.0,1.7,100.0,100.0
NV,"12,023",100.0,1.8,0.0,41.9
NY,"122,648",100.0,30.0,100.0,0.0
RI,"10,834",100.0,1.4,78.0,0.0
SC,"45,996",100.0,100.0,100.0,0.0
SD,"10,178",80.0,9.1,0.0,0.0
UT,"18,100",100.0,1.6,0.0,0.0
VT,"11,001",0.5,100.0,100.0,29.3
WY,"10,172",100.0,13.0,100.0,100.0
