make_model_fac,fac_wall,fac_fuel,fac_oldest_age_bin,closure_TX,closure_CTL,closure_diff,lust_TX,lust_CTL,lust_diff,replace_TX,replace_CTL,replace_diff,n_fy_tx,n_fy_ctl,n_years,n_tx,n_ctl,w,age_ord
All-DW_Diesel-Only_0-2yr,All-DW,Diesel-Only,0-2yr,13.0407718643013,10.1781156706434,2.86265619365784,1.96078431372549,2.68953931731455,-0.728755003589065,7.22066604419546,6.60901624573088,0.611649798464575,165,1447,9,21,202,1612,0-2yr
All-DW_Diesel-Only_3-5yr,All-DW,Diesel-Only,3-5yr,7.52127904301817,9.86458815500331,-2.34330911198514,0.800552104899931,2.44038342075672,-1.63983131585679,5.60961582700713,4.99157663399523,0.618039193011897,236,1853,9,35,245,2089,3-5yr
All-DW_Diesel-Only_6-8yr,All-DW,Diesel-Only,6-8yr,9.08435838103357,7.57563844602411,1.50871993500947,1.51828847481021,1.40662432795939,0.111664146850823,3.13806682093127,3.60836682533424,-0.470300004402964,489,2388,9,56,278,2877,6-8yr
All-DW_Diesel-Only_9-11yr,All-DW,Diesel-Only,9-11yr,2.05761316872428,2.03873598369011,0.0188771850341675,0.411522633744856,0.713557594291539,-0.302034960546683,0.823045267489712,0.101936799184506,0.721108468305206,243,981,9,27,109,1224,9-11yr
All-DW_Diesel-Only_12-14yr,All-DW,Diesel-Only,12-14yr,2.02020202020202,2.35690235690236,-0.336700336700337,2.02020202020202,3.7037037037037,-1.68350168350168,0,0,0,99,297,9,11,33,396,12-14yr
All-DW_Gasoline-Only_0-2yr,All-DW,Gasoline-Only,0-2yr,5.86434332875042,8.71347093916102,-2.8491276104106,1.69753086419753,3.48776635948642,-1.79023549528889,4.50842298688354,5.6424008704274,-1.13397788354387,947,2808,9,191,428,3755,0-2yr
All-DW_Gasoline-Only_3-5yr,All-DW,Gasoline-Only,3-5yr,7.38798578699244,8.30242439613874,-0.914438609146296,1.26438838194072,3.2991990056792,-2.03481062373848,5.28571151410334,5.98141510265482,-0.695703588551477,1047,2374,9,162,351,3421,3-5yr
All-DW_Gasoline-Only_6-8yr,All-DW,Gasoline-Only,6-8yr,9.15017195543645,7.41975618793312,1.73041576750333,1.5717424370458,2.00507420980397,-0.433331772758166,4.32988684742107,4.03500006328889,0.294886784132185,1063,2949,9,122,341,4012,6-8yr
All-DW_Gasoline-Only_9-11yr,All-DW,Gasoline-Only,9-11yr,1.68350168350168,1.6016016016016,0.0819000819000821,1.01010101010101,1.6016016016016,-0.591500591500591,0.336700336700337,0.2002002002002,0.136500136500137,891,999,9,99,111,1890,9-11yr
All-DW_Gasoline-Only_12-14yr,All-DW,Gasoline-Only,12-14yr,2.43055555555556,2.02020202020202,0.410353535353535,2.43055555555556,1.34680134680135,1.08375420875421,0.347222222222222,0.336700336700337,0.0105218855218855,288,297,9,32,33,585,12-14yr
All-DW_Gasoline-Only_15-19yr,All-DW,Gasoline-Only,15-19yr,1.14942528735632,0.505050505050505,0.644374782305817,0.383141762452107,2.52525252525253,-2.14211076280042,0.383141762452107,0.505050505050505,-0.121908742598398,261,198,9,29,22,459,15-19yr
All-DW_Gasoline-Only_20yr-Plus,All-DW,Gasoline-Only,20yr-Plus,0.617283950617284,0.317460317460317,0.299823633156966,0,1.58730158730159,-1.58730158730159,0.308641975308642,0,0.308641975308642,324,315,9,36,35,639,20yr-Plus
All-DW_Mixed-Or-Other_0-2yr,All-DW,Mixed-Or-Other,0-2yr,6.88741634105115,8.27474157516259,-1.38732523411144,1.48965634838459,3.98200204096397,-2.49234569257939,5.32241342857117,5.75640422363823,-0.433990795067058,1638,3711,9,327,603,5349,0-2yr
All-DW_Mixed-Or-Other_3-5yr,All-DW,Mixed-Or-Other,3-5yr,9.28880313893855,8.68886609592167,0.599937043016885,0.921274190879924,4.22916438166924,-3.30789019078931,5.97212806020759,5.83051280300342,0.141615257204169,2030,4224,9,303,610,6254,3-5yr
All-DW_Mixed-Or-Other_6-8yr,All-DW,Mixed-Or-Other,6-8yr,7.93432916761467,7.46744598596377,0.466883181650896,1.09867745970656,3.15467037950588,-2.05599291979932,3.74814740193109,4.31739890797923,-0.569251506048139,2679,5988,9,311,697,8667,6-8yr
All-DW_Mixed-Or-Other_9-11yr,All-DW,Mixed-Or-Other,9-11yr,1.75669740887132,1.93920335429769,-0.182505945426372,0.790513833992095,1.31027253668763,-0.519758702695536,0.483091787439614,0.9958071278826,-0.512715340442986,2277,1908,9,253,212,4185,9-11yr
All-DW_Mixed-Or-Other_12-14yr,All-DW,Mixed-Or-Other,12-14yr,1.45985401459854,4.71380471380471,-3.25395069920617,0.72992700729927,2.35690235690236,-1.62697534960309,0.16220600162206,1.68350168350168,-1.52129568187962,1233,594,9,137,66,1827,12-14yr
All-DW_Mixed-Or-Other_15-19yr,All-DW,Mixed-Or-Other,15-19yr,2.27920227920228,2.29885057471264,-0.0196482955103645,1.13960113960114,4.21455938697318,-3.07495824737204,0.56980056980057,0,0.56980056980057,702,261,9,78,29,963,15-19yr
All-DW_Mixed-Or-Other_20yr-Plus,All-DW,Mixed-Or-Other,20yr-Plus,1.79738562091503,2.64550264550265,-0.848117024587613,1.63398692810458,1.32275132275132,0.311235605353253,0.326797385620915,0.529100529100529,-0.202303143479614,612,378,9,68,42,990,20yr-Plus
All-SW_Diesel-Only_0-2yr,All-SW,Diesel-Only,0-2yr,8.22569243621875,10.9424012734431,-2.7167088372243,0.854700854700855,3.53888969013242,-2.68418883543156,3.3523980892402,6.46847106709613,-3.11607297785594,139,2637,9,21,341,2776,0-2yr
All-SW_Diesel-Only_3-5yr,All-SW,Diesel-Only,3-5yr,9.81481481481481,9.72938235296842,0.0854324618463977,1.11111111111111,3.802432744578,-2.69132163346689,6.48148148148148,5.42463570159314,1.05684577988834,137,2223,9,20,298,2360,3-5yr
