state,n_tanks,n_active,pct_miss_install_date,pct_closed_missing_date,pct_miss_tank_type,pass_install,pass_closure,pass_wall,group,note
AL,48635,19351,24.1,9.4,85,\checkmark,\checkmark,\texttimes,Control Tier 1,
AR,34083,12623,18.5,7.7,21.7,\checkmark,\checkmark,\checkmark,Control Tier 1,
ID,14880,3445,2.2,0.8,0,\checkmark,\checkmark,\checkmark,Control Tier 1,
KS,27477,9624,9.4,16.5,0,\checkmark,\checkmark,\checkmark,Control Tier 1,
LA,46520,8903,0.1,0,33.7,\checkmark,\checkmark,\checkmark,Control Tier 1,
ME,16902,96,0,0.6,0.2,\checkmark,\checkmark,\checkmark,Control Tier 1,
MN,45575,13408,22.3,6.8,0,\checkmark,\checkmark,\checkmark,Control Tier 1,
MT,16060,3899,9.9,4.7,12.2,\checkmark,\checkmark,\checkmark,Control Tier 1,
NC,91664,24969,1.4,0.3,8.2,\checkmark,\checkmark,\checkmark,Control Tier 1,
NM,16322,3363,15.9,2.5,100,\checkmark,\checkmark,\texttimes,Control Tier 1,
OK,40004,12046,13.2,11.1,0,\checkmark,\checkmark,\checkmark,Control Tier 1,
SD,10178,8739,9.1,80,0,\checkmark,\texttimes,\checkmark,Control Tier 1,
CO,32910,8449,21.6,6.9,24.7,\checkmark,\checkmark,\checkmark,Control Tier 2,
IL,84307,22153,48.4,6.4,100,\texttimes,\checkmark,\texttimes,Control Tier 2,
MA,36448,10201,8.2,5.7,45.7,\checkmark,\checkmark,\checkmark,Control Tier 2,
OH,73200,21830,28.4,3,0,\texttimes,\checkmark,\checkmark,Control Tier 2,
PA,100554,21043,17.4,20,16.1,\checkmark,\checkmark,\checkmark,Control Tier 2,
TN,60277,21114,0.6,10.8,9.6,\checkmark,\checkmark,\checkmark,Control Tier 2,Fund est. 2008; pre-2008 LUST may be zero
VA,78612,34033,14.1,26.7,0,\checkmark,\texttimes,\checkmark,Control Tier 2,
AK,6853,6853,15,100,100,\checkmark,\texttimes,\texttimes,Excluded - Data/Institutional,
AZ,28544,5874,15.4,0.3,37.9,\checkmark,\checkmark,\checkmark,Excluded - Data/Institutional,
CA,37400,37400,2.6,,0.2,\checkmark,\checkmark,\checkmark,Excluded - Data/Institutional,
DE,9388,1901,18.1,8.6,100,\checkmark,\checkmark,\texttimes,Excluded - Data/Institutional,
GA,79273,79273,3.3,100,0,\checkmark,\texttimes,\checkmark,Excluded - Data/Institutional,
HI,6763,6763,19.4,100,100,\checkmark,\texttimes,\texttimes,Excluded - Data/Institutional,
IN,57525,57525,53.3,100,100,\texttimes,\texttimes,\texttimes,Excluded - Data/Institutional,
KY,51771,12569,18,5.2,0,\checkmark,\checkmark,\checkmark,Excluded - Data/Institutional,
MO,41774,41774,37,100,1,\texttimes,\texttimes,\checkmark,Excluded - Data/Institutional,
MS,32132,32132,100,100,100,\texttimes,\texttimes,\texttimes,Excluded - Data/Institutional,
ND,10372,2991,5.9,8.4,0,\checkmark,\checkmark,\checkmark,Excluded - Data/Institutional,
NE,6188,6188,3.8,100,99.7,\checkmark,\texttimes,\texttimes,Excluded - Data/Institutional,
NH,15350,15350,1.7,100,100,\checkmark,\texttimes,\texttimes,Excluded - Data/Institutional,
NV,12023,12023,1.8,100,0,\checkmark,\texttimes,\checkmark,Excluded - Data/Institutional,
NY,122648,122648,30,100,100,\texttimes,\texttimes,\texttimes,Excluded - Data/Institutional,
OR,30900,5883,18.6,2.4,100,\checkmark,\checkmark,\texttimes,Excluded - Data/Institutional,
RI,10834,10834,1.4,100,78,\checkmark,\texttimes,\texttimes,Excluded - Data/Institutional,
SC,45996,45996,100,100,100,\texttimes,\texttimes,\texttimes,Excluded - Data/Institutional,
UT,18100,18100,1.6,100,0,\checkmark,\texttimes,\checkmark,Excluded - Data/Institutional,
VT,11001,1917,100,0.5,100,\texttimes,\checkmark,\texttimes,Excluded - Data/Institutional,
WA,52245,49536,7.1,93.7,100,\checkmark,\texttimes,\texttimes,Excluded - Data/Institutional,
WI,83600,83600,79.7,100,59.3,\texttimes,\texttimes,\texttimes,Excluded - Data/Institutional,
WV,25796,25796,16.4,100,0,\checkmark,\texttimes,\checkmark,Excluded - Data/Institutional,
WY,10172,10172,13,100,100,\checkmark,\texttimes,\texttimes,Excluded - Data/Institutional,
MD,54296,14602,18.1,15.5,0,\checkmark,\checkmark,\checkmark,Excluded - No State Fund,Never operated state FA fund
CT,36076,13536,4.7,26.2,81.1,\checkmark,\texttimes,\texttimes,Excluded - Treated,
FL,127314,127314,28.8,100,100,\texttimes,\texttimes,\texttimes,Excluded - Treated,
IA,37200,37200,10.8,100,100,\checkmark,\texttimes,\texttimes,Excluded - Treated,
MI,98847,18961,15.9,0.2,10.8,\checkmark,\checkmark,\checkmark,Excluded - Treated (fund transition 1995),
NJ,108992,15660,0.1,4.3,0.5,\checkmark,\checkmark,\checkmark,Excluded - Treated (private ins. May 2003),Private insurance req. May 2003
TX,178611,46621,0,0,9.9,\checkmark,\checkmark,\checkmark,Target,
